Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME
2018-01-01,235.37,57.07,96.71,187.41,153.09,63.32,175.24,10.28,99.69,10.83,180.39,205.25,43.89,66.97,164.08,65.04,73.51,127.89,130.59,119.59,222.19,79.56,163.58,253.48,42.61,104.71,1053.4,1046.4,71.41,1169.47,58.99,52.03,73.57,99.31,59.58,142.67,91.49,169.47,91.82,72.47
2018-01-02,235.64,58.79,98.41,192.49,153.84,64.31,177.7,10.98,106.09,10.88,180.69,203.04,43.985,67.6,165.51,65.56,75.01,131.53,129.93,124.05,224.62,79.91,170.32,255.33,42.11,101.92,1073.21,1065.0,70.74,1189.01,58.39,52.99,72.41,98.94,59.5,141.13,89.08,169.91,94.04,72.75
2018-01-03,235.63,58.92,99.95,195.82,154.55,65.31,181.04,11.55,107.05,10.87,181.8,202.12,44.115,69.32,166.41,65.94,74.66,131.79,129.32,124.95,231.2,80.25,170.14,260.07,41.74,101.98,1091.52,1082.48,70.48,1204.2,58.09,52.34,71.8,99.55,60.16,141.68,88.45,169.07,94.39,73.39
2018-01-04,238.71,58.82,99.38,199.25,156.38,64.66,183.22,12.12,111.0,10.83,183.37,198.54,44.57,68.8,167.05,65.6,73.85,130.22,126.74,122.69,233.3,81.37,171.58,264.05,41.25,100.8,1095.76,1086.4,70.2,1209.59,57.43,52.67,70.95,100.85,60.4,139.61,87.61,169.69,94.18,73.98
2018-01-05,240.57,58.99,101.11,202.32,157.67,66.37,185.34,11.88,112.18,10.87,185.81,199.47,44.865,69.9,168.45,65.83,73.74,131.72,127.0,122.8,241.07,81.57,172.29,264.76,41.08,101.87,1110.29,1102.23,70.4,1229.14,57.39,52.65,70.8,101.08,60.65,140.51,86.75,170.27,95.32,73.79
2018-01-08,239.79,58.82,99.49,207.8,158.93,66.63,185.04,12.28,111.39,10.87,184.65,200.53,44.98,70.05,168.63,65.88,72.75,137.45,127.28,119.7,248.9,81.24,170.56,263.3,41.54,101.39,1114.21,1106.94,70.31,1246.87,58.07,52.13,71.42,100.15,60.25,142.01,87.5,172.0,96.9,74.28
2018-01-09,241.28,58.92,100.24,209.76,159.46,66.19,186.7,11.82,110.49,10.76,183.6,200.27,45.0,71.77,169.06,67.49,71.29,135.44,126.32,121.8,251.44,82.93,175.65,267.96,40.91,100.94,1112.79,1106.26,69.57,1252.7,57.32,52.08,70.58,100.52,60.63,141.05,86.71,174.08,97.52,74.0
2018-01-10,241.14,58.83,99.69,208.14,158.9,66.83,187.11,11.96,110.59,10.78,183.48,198.38,45.37,70.79,168.35,66.33,72.05,132.96,125.28,121.46,248.31,82.6,173.99,272.09,40.19,100.43,1110.14,1102.61,70.29,1254.33,56.48,53.78,69.5,101.22,61.0,137.61,85.7,175.83,97.21,73.72
2018-01-11,242.31,58.95,99.27,210.15,159.11,69.24,188.92,12.14,112.95,10.96,184.21,200.72,45.845,70.8,169.97,65.21,74.81,134.69,125.1,122.48,252.91,84.38,177.12,273.62,39.84,100.78,1112.05,1105.52,70.29,1276.68,56.15,56.42,68.73,100.73,61.15,134.97,84.74,178.98,98.14,74.57
2018-01-12,244.47,58.84,100.34,215.11,160.11,70.36,195.05,12.02,115.94,11.04,184.2,202.8,42.47,71.73,170.15,65.52,73.52,133.52,125.12,122.71,258.43,85.04,176.05,276.37,39.53,102.11,1130.65,1122.26,69.61,1305.2,55.52,58.47,67.46,100.97,60.97,133.0,80.83,182.04,99.0,75.2
