Symbol,Date,Close,High,Low,Open,Volume
A,2018-01-01,66.97,66.97,66.97,66.97,0
A,2018-01-02,67.6,67.89,67.34,67.42,1047830
A,2018-01-03,69.32,69.49,67.6,67.62,1698899
A,2018-01-04,68.8,69.82,68.78,69.54,2231534
A,2018-01-05,69.9,70.1,68.73,68.73,1632512
A,2018-01-08,70.05,70.33,69.545,69.73,1613911
A,2018-01-09,71.77,72.33,70.17,70.68,2666711
A,2018-01-10,70.79,71.45,70.11,71.45,2957184
A,2018-01-11,70.8,71.18,70.3,70.92,1511134
A,2018-01-12,71.73,71.86,70.5,70.73,1448155
A,2018-01-15,71.73,71.73,71.73,71.73,0
A,2018-01-16,71.23,72.47,71.06,72.02,1703398
A,2018-01-17,72.06,72.31,71.59,71.72,1824511
A,2018-01-18,72.19,72.5,71.67,72.2,1828309
A,2018-01-19,73.07,73.215,72.06,72.48,2266103
A,2018-01-22,73.48,73.55,72.6,73.17,1963669
A,2018-01-23,73.44,74.075,73.25,74.05,1213446
A,2018-01-24,73.58,73.86,73.05,73.66,1754331
A,2018-01-25,73.86,74.49,73.65,74.17,1664109
A,2018-01-26,74.82,74.83,73.59,74.3,2386914
A,2018-01-29,74.53,75.0,74.3,74.48,1321854
A,2018-01-30,72.99,74.08,72.93,73.99,1816966
A,2018-01-31,73.43,74.39,73.24,73.77,2032808
A,2018-02-01,72.83,73.78,72.51,73.18,2008176
A,2018-02-02,71.25,72.76,71.22,72.32,1955697
A,2018-02-05,68.22,71.48,68.18,70.86,2860726
A,2018-02-06,68.45,68.83,66.13,66.96,4121239
A,2018-02-07,68.06,69.085,67.905,68.19,1988391
A,2018-02-08,65.05,68.16,65.03,68.09,4163351
A,2018-02-09,66.98,67.53,65.29,66.4,4516960
A,2018-02-12,68.43,69.05,67.37,67.46,4227645
A,2018-02-13,68.34,68.49,67.66,67.97,1825531
A,2018-02-14,69.7,69.89,67.62,67.8,3637770
A,2018-02-15,72.02,74.99,71.22,74.94,4899109
A,2018-02-16,71.97,72.7,71.6207,71.97,2887139
A,2018-02-19,71.97,71.97,71.97,71.97,0
A,2018-02-20,71.08,71.85,70.7,71.5,2580405
A,2018-02-21,71.25,72.7,70.97,71.12,1995589
A,2018-02-22,70.68,71.76,70.51,71.72,2403351
A,2018-02-23,70.7,71.37,70.06,71.15,4226987
A,2018-02-26,70.58,71.21,70.01,71.0,5947419
A,2018-02-27,69.0,70.92,69.0,70.75,3370532
A,2018-02-28,68.59,70.0,68.57,69.42,3289162
A,2018-03-01,67.38,68.8,66.79,68.47,2401795
A,2018-03-02,67.51,67.68,66.65,66.82,2057259
A,2018-03-05,67.55,67.85,66.51,67.25,1890858
A,2018-03-06,68.11,68.42,67.45,67.78,2944632
A,2018-03-07,69.7,69.855,67.3,67.36,3125788
A,2018-03-08,69.85,70.27,69.19,69.72,2453402
A,2018-03-09,71.13,71.5,70.0,70.27,2061189
A,2018-03-12,70.71,71.53,70.67,71.2,2049402
A,2018-03-13,70.68,71.52,70.42,71.0,1728144
A,2018-03-14,69.92,71.16,69.6907,71.07,1866288
A,2018-03-15,70.18,70.66,69.87,70.09,2530377
A,2018-03-16,69.9,70.34,69.05,69.92,3378129
A,2018-03-19,69.34,70.31,69.06,69.79,2639402
A,2018-03-20,69.85,70.07,69.45,69.77,2379124
