Symbol,Date,Close,High,Low,Open,Volume
AAP,2018-01-01,99.69,99.69,99.69,99.69,0
AAP,2018-01-02,106.09,107.93,99.71,100.9,2624529
AAP,2018-01-03,107.05,107.66,105.3,106.42,2086814
AAP,2018-01-04,111.0,111.529,107.48,107.75,2104476
AAP,2018-01-05,112.18,113.15,110.3,111.96,1996658
AAP,2018-01-08,111.39,112.29,110.64,112.05,1257110
AAP,2018-01-09,110.49,111.69,109.81,111.69,1091423
AAP,2018-01-10,110.59,112.0,109.79,110.27,711429
AAP,2018-01-11,112.95,113.42,108.9,110.7,1015946
AAP,2018-01-12,115.94,116.05,113.02,114.38,1579194
AAP,2018-01-15,115.94,115.94,115.94,115.94,0
AAP,2018-01-16,113.9,116.84,112.86,116.76,1498101
AAP,2018-01-17,115.35,116.24,112.98,114.74,1354175
AAP,2018-01-18,115.53,115.86,113.66,115.67,920874
AAP,2018-01-19,117.02,117.51,115.21,116.24,1169949
AAP,2018-01-22,118.03,118.19,115.9,116.88,1612108
AAP,2018-01-23,119.1,119.14,116.6,117.74,1276958
AAP,2018-01-24,120.99,121.24,118.26,119.26,1198596
AAP,2018-01-25,120.92,121.34,119.63,121.12,1250816
AAP,2018-01-26,123.64,123.9,121.66,123.34,1488390
AAP,2018-01-29,122.89,123.63,122.72,123.52,1403699
AAP,2018-01-30,119.27,122.7,117.575,121.57,1889671
AAP,2018-01-31,116.99,120.47,115.825,119.86,1235733
AAP,2018-02-01,117.29,118.83,115.83,116.24,760629
AAP,2018-02-02,113.93,117.18,113.125,115.92,1092333
AAP,2018-02-05,109.86,114.97,109.81,113.05,1281592
AAP,2018-02-06,112.2,113.11,106.745,108.28,1240784
AAP,2018-02-07,109.93,114.5799,109.9,112.09,2163545
AAP,2018-02-08,109.63,115.35,109.3,109.93,1549881
AAP,2018-02-09,109.14,110.45,103.34,110.39,1577895
AAP,2018-02-12,109.48,110.8,108.05,109.795,1181363
AAP,2018-02-13,106.22,109.99,105.961,109.17,1392064
AAP,2018-02-14,109.02,110.0,105.26,105.5,1106655
AAP,2018-02-15,108.78,110.28,107.5723,109.23,818447
AAP,2018-02-16,107.57,109.34,105.776,108.72,946725
AAP,2018-02-19,107.57,107.57,107.57,107.57,0
AAP,2018-02-20,105.35,108.38,103.72,107.4,2369221
AAP,2018-02-21,114.0,119.3,113.23,116.96,5545204
AAP,2018-02-22,110.49,115.5,110.2,115.1,1465787
AAP,2018-02-23,116.32,117.07,111.0753,111.15,1504193
AAP,2018-02-26,114.85,117.74,112.08,116.5,1409612
AAP,2018-02-27,109.8,113.91,108.9,113.26,2161269
AAP,2018-02-28,114.25,116.11,109.68,110.71,1901660
AAP,2018-03-01,117.51,117.89,113.43,114.24,2062471
AAP,2018-03-02,116.07,116.79,113.12,116.67,1462064
AAP,2018-03-05,116.36,117.55,115.12,115.45,1088501
