Symbol,Date,Close,High,Low,Open,Volume
ABBV,2018-01-01,96.71,96.71,96.71,96.71,0
ABBV,2018-01-02,98.41,98.9,96.75,97.14,4561295
ABBV,2018-01-03,99.95,100.1,98.04,98.55,4702328
ABBV,2018-01-04,99.38,100.12,98.35,100.07,3578996
ABBV,2018-01-05,101.11,101.2,98.56,99.34,4599309
ABBV,2018-01-08,99.49,101.28,98.18,101.28,5581980
ABBV,2018-01-09,100.24,100.66,98.7,99.49,4055449
ABBV,2018-01-10,99.69,100.2,99.18,99.65,4608550
ABBV,2018-01-11,99.27,99.49,98.56,99.37,4241690
ABBV,2018-01-12,100.34,100.64,98.66,99.34,4372638
ABBV,2018-01-15,100.34,100.34,100.34,100.34,0
ABBV,2018-01-16,102.49,103.0,100.0,100.26,8528643
ABBV,2018-01-17,104.36,104.84,102.55,103.0,5384935
ABBV,2018-01-18,103.81,104.85,103.44,104.29,6371180
ABBV,2018-01-19,104.64,104.87,103.55,104.33,4991260
ABBV,2018-01-22,106.49,106.54,104.461,104.7,4538146
ABBV,2018-01-23,105.38,106.97,105.03,106.17,5095319
ABBV,2018-01-24,105.51,106.23,104.1,105.26,4436532
ABBV,2018-01-25,108.3,108.37,105.739,105.95,6327544
ABBV,2018-01-26,123.21,125.86,113.5,114.5,19614480
ABBV,2018-01-29,122.31,124.15,118.98,121.5,10182688
ABBV,2018-01-30,115.88,121.45,115.87,119.42,11851447
ABBV,2018-01-31,112.22,116.5,111.29,116.21,15744809
ABBV,2018-02-01,116.34,117.53,112.23,112.24,9943452
ABBV,2018-02-02,115.17,117.93,114.92,115.5,7184413
ABBV,2018-02-05,109.51,115.535,109.4,113.0,9827825
ABBV,2018-02-06,111.2,113.52,101.0,104.91,14107829
ABBV,2018-02-07,113.62,116.85,111.38,111.52,10030837
ABBV,2018-02-08,108.48,114.0,108.32,113.33,7212380
ABBV,2018-02-09,111.3,112.75,106.41,109.57,8909320
ABBV,2018-02-12,111.93,113.329,110.65,112.57,4823261
ABBV,2018-02-13,111.86,112.41,110.39,111.54,5316151
ABBV,2018-02-14,113.08,113.67,110.28,111.04,6189148
