Symbol,Date,Close,High,Low,Open,Volume
ABC,2018-01-01,91.82,91.82,91.82,91.82,0
ABC,2018-01-02,94.04,94.07,92.12,92.15,1138157
ABC,2018-01-03,94.39,94.73,92.47,93.4,1035206
ABC,2018-01-04,94.18,94.83,92.86,94.64,1781646
ABC,2018-01-05,95.32,95.63,93.77,93.77,1342778
ABC,2018-01-08,96.9,97.81,94.81,95.11,1731070
ABC,2018-01-09,97.52,97.86,95.91,96.95,1783471
ABC,2018-01-10,97.21,97.31,94.75,96.54,1070249
ABC,2018-01-11,98.14,98.14,96.52,97.4,780736
ABC,2018-01-12,99.0,99.0,97.55,98.5,1469349
ABC,2018-01-15,99.0,99.0,99.0,99.0,0
ABC,2018-01-16,99.55,100.67,98.97,99.1,1869731
ABC,2018-01-17,101.3,101.85,99.77,99.77,1864850
ABC,2018-01-18,100.86,101.64,99.75,101.53,1895835
ABC,2018-01-19,100.06,101.58,99.63,100.87,1371361
ABC,2018-01-22,102.66,102.73,99.66,100.28,1313414
ABC,2018-01-23,102.81,103.67,102.1,103.0,1371502
ABC,2018-01-24,104.62,104.96,102.9,103.29,2111679
ABC,2018-01-25,104.37,104.67,103.435,104.67,992747
ABC,2018-01-26,105.48,105.73,104.11,104.56,1453297
ABC,2018-01-29,105.09,106.27,104.865,105.14,1422994
ABC,2018-01-30,102.46,103.65,100.03,102.0,3113941
ABC,2018-01-31,99.67,103.04,99.06,102.98,2458633
ABC,2018-02-01,99.29,99.81,95.73,97.74,2786798
ABC,2018-02-02,96.02,99.09,95.91,99.09,1660267
ABC,2018-02-05,91.9,96.52,91.69,95.62,2278534
ABC,2018-02-06,91.54,93.37,86.9403,92.58,4574997
ABC,2018-02-07,94.22,95.34,91.1,91.6,2509484
ABC,2018-02-08,91.55,95.56,91.46,94.56,1742133
ABC,2018-02-09,89.19,92.54,85.8,92.54,3670831
ABC,2018-02-12,89.45,91.54,88.755,89.85,2157414
ABC,2018-02-13,97.77,101.9999,95.94,101.67,9725753
ABC,2018-02-14,96.4,98.19,95.6,97.25,3977566
ABC,2018-02-15,97.6,97.62,94.505,96.93,2884036
ABC,2018-02-16,99.4,100.055,96.55,96.73,2787823
ABC,2018-02-19,99.4,99.4,99.4,99.4,0
ABC,2018-02-20,99.94,100.05,98.52,98.98,1683681
ABC,2018-02-21,98.57,99.96,98.34,99.82,2815482
ABC,2018-02-22,97.12,99.19,96.65,98.75,3416759
ABC,2018-02-23,98.42,98.49,96.67,97.57,1127598
ABC,2018-02-26,100.58,100.9586,98.1,98.59,1551056
ABC,2018-02-27,97.64,101.56,93.16,101.01,4738397
ABC,2018-02-28,95.16,99.75,95.15,97.94,1432256
ABC,2018-03-01,93.3,95.34,92.51,94.84,2178479
ABC,2018-03-02,93.96,94.58,92.56,92.7,1489868
ABC,2018-03-05,94.9,95.26,92.84,93.01,1317605
ABC,2018-03-06,94.7,95.53,94.0763,95.49,1338205
ABC,2018-03-07,95.6,95.89,93.12,93.78,1025425
ABC,2018-03-08,96.24,98.03,95.21,96.26,1148306
ABC,2018-03-09,99.0,99.05,96.76,96.89,1037949
ABC,2018-03-12,100.29,101.02,98.9698,99.21,1586737
ABC,2018-03-13,100.6,101.39,100.34,100.44,1509026
ABC,2018-03-14,98.58,101.12,98.151,100.88,1288173
ABC,2018-03-15,97.36,99.25,97.33,99.05,1251468
ABC,2018-03-16,96.61,98.23,96.46,97.43,1597497
ABC,2018-03-19,93.0,96.34,92.82,96.34,1127156
ABC,2018-03-20,89.19,93.19,88.152,92.96,2602351
ABC,2018-03-21,89.5,91.46,89.27,89.45,1714595
ABC,2018-03-22,85.0,88.4,84.66,88.4,4618935
ABC,2018-03-23,84.03,86.46,83.81,85.34,1629554
ABC,2018-03-26,84.95,85.08,82.88,84.89,1649231
ABC,2018-03-27,84.01,85.205,83.38,84.93,1454646
ABC,2018-03-28,85.11,85.75,84.1268,84.45,1969574
ABC,2018-03-29,86.21,86.62,85.04,85.13,1528085
ABC,2018-03-30,86.21,86.21,86.21,86.21,0
ABC,2018-04-02,82.67,86.59,81.82,86.1,1957684
ABC,2018-04-03,83.93,84.01,81.58,83.19,1318566
ABC,2018-04-04,86.25,86.68,82.72,82.76,1485583
ABC,2018-04-05,87.38,88.57,85.14,85.6,3188226
ABC,2018-04-06,85.41,87.08,84.62,86.29,1592695
ABC,2018-04-09,86.79,87.69,85.34,85.81,1119640
ABC,2018-04-10,88.91,89.47,87.35,87.62,1167507
ABC,2018-04-11,89.09,89.9034,87.82,87.95,724736
ABC,2018-04-12,88.19,89.84,87.89,89.55,649423
ABC,2018-04-13,86.82,88.78,86.11,88.39,1235726
ABC,2018-04-16,88.77,89.67,84.19,86.82,5103493
ABC,2018-04-17,91.04,91.39,89.44,89.5,2832580
ABC,2018-04-18,92.75,94.22,91.4,91.67,2130081
ABC,2018-04-19,91.69,92.59,90.28,92.59,1075527
ABC,2018-04-20,89.87,92.02,89.12,92.0,886708
ABC,2018-04-23,90.74,90.82,89.84,90.15,959891
ABC,2018-04-24,90.14,91.98,89.385,91.4,994343
ABC,2018-04-25,91.43,91.46,89.3,89.92,722434
ABC,2018-04-26,92.08,92.82,91.12,91.85,1059266
ABC,2018-04-27,93.07,93.25,91.725,91.93,1080625
ABC,2018-04-30,90.58,93.28,90.53,93.28,1108237
ABC,2018-05-01,89.2,90.685,87.69,90.45,1672882
ABC,2018-05-02,92.18,95.0,87.05,88.56,3502257
ABC,2018-05-03,85.37,89.49,85.27,89.25,3482534
ABC,2018-05-04,86.37,87.3,83.49,84.51,1962449
ABC,2018-05-07,84.69,87.48,84.6,86.45,1285238
ABC,2018-05-08,84.69,85.47,83.765,84.58,1593349
ABC,2018-05-09,84.72,85.61,84.28,84.82,2054237
ABC,2018-05-10,85.53,87.83,85.41,85.41,1996543
ABC,2018-05-11,86.88,87.5,84.64,85.6,1853279
ABC,2018-05-14,87.28,88.475,86.91,87.43,1014964
ABC,2018-05-15,85.67,87.48,85.43,86.6,1028198
ABC,2018-05-16,85.99,86.73,85.31,85.93,1017531
ABC,2018-05-17,87.07,87.86,85.33,85.94,1531683
ABC,2018-05-18,84.77,87.03,84.7,86.84,1309254
ABC,2018-05-21,84.34,85.61,84.04,85.23,972450
ABC,2018-05-22,84.51,85.74,84.26,84.59,1058271
ABC,2018-05-23,83.96,84.63,83.35,83.88,923507
ABC,2018-05-24,84.09,85.23,82.34,83.56,1223640
ABC,2018-05-25,85.49,86.13,83.985,84.46,786150
ABC,2018-05-28,85.49,85.49,85.49,85.49,0
ABC,2018-05-29,82.57,84.845,82.0975,84.57,1390587
ABC,2018-05-30,84.13,84.58,82.49,82.82,903459
ABC,2018-05-31,82.14,84.43,81.97,84.43,1346693
ABC,2018-06-01,83.34,83.63,82.14,82.66,1020497
ABC,2018-06-04,84.32,85.235,82.74,82.87,1037825
ABC,2018-06-05,84.79,85.45,84.07,84.4,976768
ABC,2018-06-06,87.15,87.19,84.84,84.87,1080064
ABC,2018-06-07,86.6,87.71,86.43,87.34,1261045
ABC,2018-06-08,86.09,87.089,85.13,86.6,1198663
ABC,2018-06-11,87.28,87.86,86.13,86.25,1595236
ABC,2018-06-12,88.04,88.05,86.25,87.44,1014116
ABC,2018-06-13,90.66,91.89,88.545,88.61,2459618
ABC,2018-06-14,93.35,93.82,90.41,90.85,1903541
ABC,2018-06-15,94.85,94.88,92.0,92.9,2042722
ABC,2018-06-18,91.57,94.41,91.31,94.27,1270803
ABC,2018-06-19,92.17,92.18,90.39,90.93,1159071
ABC,2018-06-20,93.23,93.58,91.69,92.03,640624
ABC,2018-06-21,93.21,93.96,92.86,93.67,962809
ABC,2018-06-22,93.5,94.34,92.87,93.35,1031188
ABC,2018-06-25,92.22,93.81,91.35,93.15,670936
ABC,2018-06-26,90.39,92.33,90.23,91.91,959181
