Symbol,Date,Close,High,Low,Open,Volume
ABMD,2018-01-01,187.41,187.41,187.41,187.41,0
ABMD,2018-01-02,192.49,193.355,188.05,188.13,233813
ABMD,2018-01-03,195.82,196.48,192.53,193.29,208882
ABMD,2018-01-04,199.25,200.14,197.274,198.0,300923
ABMD,2018-01-05,202.32,202.96,200.78,200.78,277387
ABMD,2018-01-08,207.8,211.34,204.67,208.24,387478
ABMD,2018-01-09,209.76,210.15,206.82,209.11,234945
ABMD,2018-01-10,208.14,209.76,206.541,209.57,166431
ABMD,2018-01-11,210.15,210.24,207.5,209.61,215975
ABMD,2018-01-12,215.11,216.1534,210.36,210.72,283376
ABMD,2018-01-15,215.11,215.11,215.11,215.11,0
ABMD,2018-01-16,218.09,219.11,216.0,216.69,558672
ABMD,2018-01-17,224.13,225.24,217.58,219.11,535188
ABMD,2018-01-18,225.89,228.08,224.0,224.76,332510
ABMD,2018-01-19,228.29,229.0472,226.09,227.33,179201
ABMD,2018-01-22,228.18,229.4297,226.83,229.23,245040
ABMD,2018-01-23,230.27,231.3899,227.4492,228.71,231505
ABMD,2018-01-24,232.95,233.5,228.78,231.25,331392
ABMD,2018-01-25,236.32,237.4,232.931,234.0,264776
ABMD,2018-01-26,238.89,239.1,233.505,237.3,199120
ABMD,2018-01-29,236.65,239.92,235.87,239.0,306116
ABMD,2018-01-30,235.06,237.61,219.61,233.56,488141
ABMD,2018-01-31,235.0,237.31,233.49,236.1,332713
ABMD,2018-02-01,253.13,253.88,238.0,238.0,949727
ABMD,2018-02-02,248.2,255.4225,246.61,251.1,426663
ABMD,2018-02-05,239.37,245.0,236.51,245.0,872766
ABMD,2018-02-06,232.11,242.365,227.2,232.46,916496
ABMD,2018-02-07,239.02,240.14,232.11,232.11,518816
ABMD,2018-02-08,229.5,240.39,229.23,240.0,495300
ABMD,2018-02-09,229.38,231.73,219.13,230.21,556968
ABMD,2018-02-12,233.72,235.4943,228.9892,232.15,371412
ABMD,2018-02-13,233.99,236.14,225.5,230.04,313818
ABMD,2018-02-14,255.47,256.13,236.66,237.27,1013933
ABMD,2018-02-15,261.04,262.61,255.03,259.08,536246
ABMD,2018-02-16,267.74,268.72,260.01,260.43,512495
ABMD,2018-02-19,267.74,267.74,267.74,267.74,0
ABMD,2018-02-20,270.48,273.27,264.45,267.9,475470
ABMD,2018-02-21,268.25,273.9999,267.78,271.99,515634
ABMD,2018-02-22,263.97,271.1,261.32,269.64,640131
ABMD,2018-02-23,268.45,268.57,261.24,265.01,367297
ABMD,2018-02-26,273.18,274.0,269.15,270.52,339641
ABMD,2018-02-27,271.25,273.6,269.39,273.6,214973
ABMD,2018-02-28,268.18,274.4,267.98,272.63,208097
ABMD,2018-03-01,265.71,269.9321,258.1,268.0,570935
ABMD,2018-03-02,275.13,276.21,260.0,263.13,458854
