Symbol,Date,Close,High,Low,Open,Volume
ABT,2018-01-01,57.07,57.07,57.07,57.07,0
ABT,2018-01-02,58.79,59.2,57.817,58.2,10113305
ABT,2018-01-03,58.92,59.015,58.31,58.99,5684407
ABT,2018-01-04,58.82,59.6,58.76,59.5,6239956
ABT,2018-01-05,58.99,59.09,58.635,59.04,5836945
ABT,2018-01-08,58.82,58.98,58.525,58.85,5411995
ABT,2018-01-09,58.92,59.1,58.375,59.1,7467672
ABT,2018-01-10,58.83,58.91,58.29,58.75,4340836
ABT,2018-01-11,58.95,58.96,58.29,58.65,4240938
ABT,2018-01-12,58.84,59.24,58.79,58.96,6321142
ABT,2018-01-15,58.84,58.84,58.84,58.84,0
ABT,2018-01-16,58.44,59.14,58.23,58.891,7175001
ABT,2018-01-17,58.99,59.1,58.625,58.76,5037504
ABT,2018-01-18,59.07,59.265,58.53,58.78,5658579
ABT,2018-01-19,59.31,59.68,58.96,59.23,7363008
ABT,2018-01-22,59.57,59.57,58.45,58.88,6841939
ABT,2018-01-23,59.23,59.5661,58.975,59.52,8122077
ABT,2018-01-24,61.72,64.16,60.74,61.0,11704949
ABT,2018-01-25,63.22,64.6,62.32,63.18,15261885
ABT,2018-01-26,63.42,63.435,62.67,63.15,10242797
ABT,2018-01-29,63.31,63.465,62.85,63.09,8638541
ABT,2018-01-30,62.44,63.115,62.2901,62.44,6497641
ABT,2018-01-31,62.16,62.76,61.85,62.66,7804362
ABT,2018-02-01,62.18,62.54,61.66,61.75,8101584
ABT,2018-02-02,61.69,62.42,61.64,62.2,12346542
ABT,2018-02-05,58.73,61.87,58.55,61.6,11548229
ABT,2018-02-06,58.86,59.2606,57.33,57.92,15214679
ABT,2018-02-07,58.67,59.85,58.5,58.6,6872663
ABT,2018-02-08,56.27,58.83,56.22,58.77,6874534
ABT,2018-02-09,57.17,57.69,55.58,56.63,8028354
ABT,2018-02-12,57.41,57.98,56.875,57.7,8234201
ABT,2018-02-13,57.64,57.7919,56.81,57.14,5816623
ABT,2018-02-14,58.28,58.4,57.15,57.32,3728920
ABT,2018-02-15,59.5,59.51,58.33,58.72,3871897
ABT,2018-02-16,60.17,60.539,59.33,59.44,7849189
ABT,2018-02-19,60.17,60.17,60.17,60.17,0
ABT,2018-02-20,59.12,59.87,58.84,59.68,8182537
ABT,2018-02-21,58.99,59.99,58.82,59.07,4793848
ABT,2018-02-22,58.99,59.4,58.8,59.21,5539926
ABT,2018-02-23,59.71,59.74,58.98,59.22,5190445
ABT,2018-02-26,60.53,60.585,59.73,59.86,5364248
ABT,2018-02-27,60.55,61.24,60.39,60.75,6747678
ABT,2018-02-28,60.33,61.12,60.18,60.67,8325744
ABT,2018-03-01,58.79,60.18,58.53,60.16,9711891
ABT,2018-03-02,59.46,59.53,58.43,58.48,7979196
ABT,2018-03-05,60.37,60.63,58.9,58.91,9000405
ABT,2018-03-06,60.88,61.02,60.105,60.59,6620048
ABT,2018-03-07,61.29,61.415,60.19,60.27,7726484
ABT,2018-03-08,61.87,61.95,61.3,61.34,5245774
ABT,2018-03-09,63.6,63.7,62.0172,62.05,8184391
ABT,2018-03-12,63.62,63.95,63.415,63.59,8858484
ABT,2018-03-13,63.2,63.95,63.005,63.89,6428545
ABT,2018-03-14,62.86,63.62,62.73,63.42,5162114
ABT,2018-03-15,62.59,63.13,62.52,63.05,3364910
ABT,2018-03-16,63.18,63.315,62.71,62.78,11840947
ABT,2018-03-19,62.26,63.24,61.6901,63.13,5286162
ABT,2018-03-20,62.65,62.76,62.15,62.48,3943042
ABT,2018-03-21,62.42,63.07,62.34,62.75,3478298
ABT,2018-03-22,60.93,62.1,60.85,61.82,5345250
ABT,2018-03-23,59.5,61.27,59.36,61.03,6000798
ABT,2018-03-26,61.07,61.15,59.68,60.28,5694714
ABT,2018-03-27,60.28,61.62,59.985,61.27,6365304
ABT,2018-03-28,59.23,60.71,59.175,60.53,8128752
ABT,2018-03-29,59.92,60.38,59.3,59.57,6656596
ABT,2018-03-30,59.92,59.92,59.92,59.92,0
ABT,2018-04-02,58.21,60.09,57.63,59.82,6686491
ABT,2018-04-03,59.0,59.07,58.0,58.4,6113531
ABT,2018-04-04,59.46,59.61,57.45,58.34,7405245
ABT,2018-04-05,59.86,60.145,59.55,59.9,6644536
ABT,2018-04-06,57.57,59.6,56.99,59.44,7447118
ABT,2018-04-09,58.22,59.11,57.45,57.86,5712315
ABT,2018-04-10,59.14,59.61,58.71,59.02,5244751
ABT,2018-04-11,58.45,59.045,58.21,58.64,4044894
ABT,2018-04-12,58.83,59.18,58.46,58.5,4572325
ABT,2018-04-13,58.49,59.375,58.47,59.18,8223673
ABT,2018-04-16,59.27,59.53,58.92,59.0,6807514
ABT,2018-04-17,59.8,59.96,59.05,59.65,5604601
ABT,2018-04-18,59.52,59.62,57.45,59.0,12648456
ABT,2018-04-19,59.88,60.03,59.2,59.52,7675521
ABT,2018-04-20,59.19,59.95,58.815,59.85,5867509
ABT,2018-04-23,58.84,59.46,58.59,59.28,4516125
ABT,2018-04-24,58.31,59.17,57.665,59.09,7480274
ABT,2018-04-25,58.65,58.67,57.7,58.04,5909974
ABT,2018-04-26,59.5,59.52,58.495,58.69,7372804
ABT,2018-04-27,59.56,59.69,59.1437,59.49,4135386
ABT,2018-04-30,58.13,59.8,58.1,59.76,6096123
ABT,2018-05-01,58.82,58.87,57.55,57.7,6406388
ABT,2018-05-02,57.85,58.56,57.67,58.49,4519911
ABT,2018-05-03,57.93,57.94,56.81,57.79,5641008
ABT,2018-05-04,58.74,59.08,57.48,57.64,5833159
ABT,2018-05-07,59.32,59.76,58.94,58.99,5656052
ABT,2018-05-08,58.71,59.13,58.24,59.12,6778490
ABT,2018-05-09,59.4,59.58,58.42,58.81,4103361
ABT,2018-05-10,60.56,60.61,59.36,59.63,4791091
ABT,2018-05-11,61.26,61.3,60.22,60.22,5768124
ABT,2018-05-14,62.02,62.17,61.39,61.5,7705740
ABT,2018-05-15,60.54,61.58,60.32,61.44,5333461
ABT,2018-05-16,60.77,61.15,60.4,60.57,3588561
ABT,2018-05-17,61.06,61.16,60.37,60.8,4157899
ABT,2018-05-18,61.71,61.87,60.94,61.02,6357689
ABT,2018-05-21,62.11,62.49,61.79,62.0,4610142
ABT,2018-05-22,61.39,62.29,60.96,62.1,6802246
ABT,2018-05-23,61.84,61.97,61.22,61.22,4318022
ABT,2018-05-24,62.51,62.72,61.89,61.89,5764981
ABT,2018-05-25,62.37,62.58,62.06,62.49,3839066
