Symbol,Date,Close,High,Low,Open,Volume
ACN,2018-01-01,153.09,153.09,153.09,153.09,0
ACN,2018-01-02,153.84,154.1,152.78,153.5,3061912
ACN,2018-01-03,154.55,154.99,152.985,152.985,2064185
ACN,2018-01-04,156.38,156.86,154.77,155.0,1777024
ACN,2018-01-05,157.67,157.72,156.13,156.61,1597608
ACN,2018-01-08,158.93,159.01,156.84,157.37,2616907
ACN,2018-01-09,159.46,159.49,157.4535,158.5,3204962
ACN,2018-01-10,158.9,159.15,157.7308,158.95,1624075
ACN,2018-01-11,159.11,159.4,158.051,158.9,1809390
ACN,2018-01-12,160.11,160.635,158.57,159.5,2048944
ACN,2018-01-15,160.11,160.11,160.11,160.11,0
ACN,2018-01-16,157.96,160.37,157.91,160.25,2858729
ACN,2018-01-17,160.21,160.47,158.81,159.1,2143095
ACN,2018-01-18,160.94,161.0823,159.82,160.13,1715458
ACN,2018-01-19,161.75,162.498,160.2,161.6,2246733
ACN,2018-01-22,161.43,161.88,160.82,161.21,1719976
ACN,2018-01-23,160.88,162.05,160.64,161.29,1635846
ACN,2018-01-24,160.6,161.99,160.54,161.2,1951898
ACN,2018-01-25,160.79,161.75,160.615,161.12,1327113
ACN,2018-01-26,162.55,162.58,160.33,161.25,1950655
ACN,2018-01-29,161.19,162.6,160.97,162.33,1314847
ACN,2018-01-30,159.7,161.16,159.11,160.96,1699965
ACN,2018-01-31,160.7,160.945,159.73,160.09,1878301
ACN,2018-02-01,160.46,161.13,159.54,160.155,1692576
ACN,2018-02-02,156.9,160.27,156.63,159.98,2183611
ACN,2018-02-05,151.83,159.27,150.73,156.12,3733711
ACN,2018-02-06,154.69,155.18,149.43,150.29,4259634
ACN,2018-02-07,155.15,158.93,153.07,154.22,2918659
ACN,2018-02-08,150.51,155.47,150.37,155.31,2900917
ACN,2018-02-09,153.84,154.99,148.79,151.69,3656802
ACN,2018-02-12,154.95,156.47,153.9,154.67,2273661
ACN,2018-02-13,156.84,156.99,153.99,154.2,2059482
ACN,2018-02-14,159.79,160.12,155.15,156.01,2583153
ACN,2018-02-15,161.06,161.11,158.11,160.39,1854915
ACN,2018-02-16,162.66,163.6,160.845,160.96,1998555
ACN,2018-02-19,162.66,162.66,162.66,162.66,0
ACN,2018-02-20,161.44,162.72,161.07,162.38,1425743
ACN,2018-02-21,160.46,163.76,160.42,161.59,1628586
ACN,2018-02-22,160.32,161.995,159.905,161.08,1511705
ACN,2018-02-23,162.95,163.05,160.32,161.1,1577234
ACN,2018-02-26,164.74,164.83,162.915,163.82,1782844
ACN,2018-02-27,162.55,165.58,162.55,164.8,1820815
ACN,2018-02-28,161.01,164.39,160.95,162.9,2002240
ACN,2018-03-01,156.15,161.5884,155.88,161.28,3005395
ACN,2018-03-02,157.5,157.63,154.69,155.21,2960136
ACN,2018-03-05,158.85,159.66,156.99,157.17,1936791
ACN,2018-03-06,158.03,160.15,156.98,159.17,2352499
ACN,2018-03-07,158.55,158.96,156.5201,156.98,3176151
ACN,2018-03-08,158.5,159.42,158.04,159.01,3093240
ACN,2018-03-09,161.51,161.8328,159.21,159.65,2988026
ACN,2018-03-12,161.69,162.77,161.02,162.0,2105433
ACN,2018-03-13,162.49,164.3,162.06,162.12,2742227
ACN,2018-03-14,161.0,163.2,160.42,162.76,2214813
ACN,2018-03-15,162.86,163.485,160.89,161.29,1840336
ACN,2018-03-16,160.89,163.29,160.88,162.61,4018631
ACN,2018-03-19,160.62,161.5,159.37,160.56,1890033
ACN,2018-03-20,162.88,163.15,160.95,160.95,2249443
ACN,2018-03-21,162.03,163.72,161.93,163.2,3452550
ACN,2018-03-22,150.23,157.94,149.73,156.75,8203576
ACN,2018-03-23,147.35,152.47,147.16,151.33,4039805
ACN,2018-03-26,152.85,153.17,149.0,149.0,4231021
ACN,2018-03-27,148.86,153.66,147.8,153.23,3212019
ACN,2018-03-28,147.41,150.3458,147.335,149.68,2965696
ACN,2018-03-29,153.5,153.5,147.825,148.29,3595891
ACN,2018-03-30,153.5,153.5,153.5,153.5,0
ACN,2018-04-02,147.98,151.82,146.5,151.82,2845793
ACN,2018-04-03,148.79,148.97,146.05,148.49,2363306
ACN,2018-04-04,149.97,150.48,146.0642,146.69,2161074
ACN,2018-04-05,151.57,152.07,150.01,151.1,3336328
ACN,2018-04-06,147.38,150.79,146.19,149.9,1927191
ACN,2018-04-09,148.25,150.43,148.01,148.26,1465760
ACN,2018-04-10,152.05,152.74,149.84,149.99,2268187
ACN,2018-04-11,148.4,149.87,148.16,149.4,1734854
ACN,2018-04-12,150.09,151.13,148.93,149.18,2005561
ACN,2018-04-13,150.13,151.41,149.46,151.0,1607799
ACN,2018-04-16,151.42,152.05,150.48,151.45,2151649
ACN,2018-04-17,154.24,154.59,152.08,152.65,2702290
ACN,2018-04-18,155.52,155.7,153.34,154.35,1975665
ACN,2018-04-19,154.59,155.21,153.62,155.0,1512894
ACN,2018-04-20,152.41,154.75,151.905,154.02,2301966
ACN,2018-04-23,153.04,153.46,152.11,153.23,1533001
ACN,2018-04-24,151.07,154.34,149.85,153.57,1922646
ACN,2018-04-25,150.09,151.5,148.43,151.5,2040159
ACN,2018-04-26,152.29,153.13,150.6,150.93,1634609
ACN,2018-04-27,152.39,152.97,151.19,152.29,1179514
ACN,2018-04-30,151.2,153.26,151.18,153.17,1504694
