Symbol,Date,Close,High,Low,Open,Volume
ADBE,2018-01-01,175.24,175.24,175.24,175.24,0
ADBE,2018-01-02,177.7,177.8,175.26,175.85,2432814
ADBE,2018-01-03,181.04,181.89,177.7,178.0,2561213
ADBE,2018-01-04,183.22,184.0599,181.64,181.93,2211383
ADBE,2018-01-05,185.34,185.9,183.54,185.0,2376524
ADBE,2018-01-08,185.04,185.599,183.83,184.95,2087952
ADBE,2018-01-09,186.7,186.97,183.9314,185.57,1804423
ADBE,2018-01-10,187.11,187.27,185.073,185.21,1664485
ADBE,2018-01-11,188.92,188.94,186.185,187.29,1600065
ADBE,2018-01-12,195.05,195.5,188.99,189.09,4246044
ADBE,2018-01-15,195.05,195.05,195.05,195.05,0
ADBE,2018-01-16,192.46,198.21,191.71,195.92,4595560
ADBE,2018-01-17,196.49,197.12,192.77,194.015,2969469
ADBE,2018-01-18,196.2,196.586,194.06,196.21,2539356
ADBE,2018-01-19,195.73,196.63,194.65,196.24,2342979
ADBE,2018-01-22,197.84,198.0,194.424,195.7,1701342
ADBE,2018-01-23,200.09,204.45,199.44,202.29,3980994
ADBE,2018-01-24,197.78,202.3,196.52,201.82,3250450
ADBE,2018-01-25,197.51,199.244,196.07,198.08,2574213
ADBE,2018-01-26,201.3,201.55,198.25,198.5,2338080
ADBE,2018-01-29,198.23,200.86,197.87,200.11,1938978
ADBE,2018-01-30,196.9,197.73,194.89,197.25,3343348
ADBE,2018-01-31,199.76,200.96,196.75,197.13,2747576
ADBE,2018-02-01,199.38,201.75,198.0845,199.12,2366120
ADBE,2018-02-02,195.64,199.4,195.44,197.33,2813785
ADBE,2018-02-05,190.27,198.46,188.0,194.06,3801346
ADBE,2018-02-06,194.47,194.82,182.1,186.59,4479960
ADBE,2018-02-07,192.34,196.24,192.02,193.87,2988024
ADBE,2018-02-08,185.16,192.97,185.02,192.84,3978688
ADBE,2018-02-09,187.99,189.71,179.34,187.33,3818835
ADBE,2018-02-12,192.15,192.99,188.56,189.0,2824726
ADBE,2018-02-13,193.48,194.31,190.39,190.85,1961306
ADBE,2018-02-14,197.13,197.5,191.95,192.48,2542392
ADBE,2018-02-15,202.97,203.28,197.13,198.97,2233313
ADBE,2018-02-16,201.56,203.9,200.74,202.52,2172590
ADBE,2018-02-19,201.56,201.56,201.56,201.56,0
ADBE,2018-02-20,202.98,205.115,199.18,200.46,2722668
ADBE,2018-02-21,202.09,206.83,202.02,204.45,2043494
ADBE,2018-02-22,202.61,204.22,201.68,203.07,1541519
ADBE,2018-02-23,209.74,209.78,203.31,204.22,2349265
ADBE,2018-02-26,212.15,212.35,209.261,211.29,2418674
ADBE,2018-02-27,208.82,212.76,208.25,211.99,2330752
ADBE,2018-02-28,209.13,213.44,209.1,210.69,2356944
ADBE,2018-03-01,206.03,210.6834,204.45,210.32,2632234
ADBE,2018-03-02,209.79,210.21,201.76,203.96,2624675
ADBE,2018-03-05,211.16,212.0,206.92,208.75,2111808
ADBE,2018-03-06,212.01,212.74,209.88,212.44,2169010
ADBE,2018-03-07,216.86,217.44,211.0033,211.33,2795072
ADBE,2018-03-08,216.4,219.71,214.86,218.03,2284446
ADBE,2018-03-09,221.11,221.27,217.19,218.0,2642259
ADBE,2018-03-12,220.94,223.11,220.34,222.97,3216924
ADBE,2018-03-13,219.76,224.9,218.43,223.0,4731961
ADBE,2018-03-14,218.44,221.46,217.6,220.75,3357597
ADBE,2018-03-15,218.87,221.47,218.061,220.0,4457006
ADBE,2018-03-16,225.55,228.88,224.0,227.18,8783042
ADBE,2018-03-19,222.18,226.59,218.68,224.48,4029302
ADBE,2018-03-20,229.75,231.34,223.0,223.19,5019294
ADBE,2018-03-21,226.85,229.25,225.61,228.76,3971832
ADBE,2018-03-22,220.52,225.87,220.255,223.86,3008694
ADBE,2018-03-23,215.02,222.455,214.78,219.52,4297236
ADBE,2018-03-26,228.91,229.15,218.5,218.83,4485445
ADBE,2018-03-27,213.8,230.98,212.25,229.9,5468070
ADBE,2018-03-28,212.54,217.15,209.04,213.72,4503154
ADBE,2018-03-29,216.08,219.59,210.2737,213.35,3757447
ADBE,2018-03-30,216.08,216.08,216.08,216.08,0
ADBE,2018-04-02,212.28,216.5,207.22,214.81,3494946
ADBE,2018-04-03,215.93,217.8549,212.28,214.78,3017824
ADBE,2018-04-04,225.05,226.28,210.5,210.71,4474394
ADBE,2018-04-05,223.54,228.8,221.605,227.94,4084913
ADBE,2018-04-06,218.61,224.46,216.7471,221.89,2964487
ADBE,2018-04-09,219.17,224.437,218.82,220.08,2536139
ADBE,2018-04-10,224.53,225.16,221.181,222.61,2845870
ADBE,2018-04-11,223.63,226.62,222.54,222.93,1851054
ADBE,2018-04-12,226.96,228.39,225.115,225.72,2084110
ADBE,2018-04-13,224.06,228.95,222.55,228.85,2029265
ADBE,2018-04-16,226.52,227.23,222.9535,226.08,2130698
ADBE,2018-04-17,231.16,232.21,228.07,228.56,3404449
ADBE,2018-04-18,231.1,233.1713,228.62,231.7,2261576
ADBE,2018-04-19,227.62,230.43,226.28,230.11,2620107
ADBE,2018-04-20,225.24,227.6,223.05,227.0,2403683
ADBE,2018-04-23,225.3,229.15,224.75,226.39,2137988
ADBE,2018-04-24,217.89,228.3,215.778,227.0,3450849
ADBE,2018-04-25,217.32,219.4,213.25,218.16,2946092
ADBE,2018-04-26,221.91,223.19,218.851,219.77,2235942
ADBE,2018-04-27,221.9,224.18,219.68,223.08,1503148
ADBE,2018-04-30,221.6,224.14,219.538,223.27,1766330
ADBE,2018-05-01,224.08,224.49,219.38,220.77,1792948
ADBE,2018-05-02,221.1,224.5,220.55,224.3,2202895
ADBE,2018-05-03,226.05,227.37,218.7396,220.01,2507925
ADBE,2018-05-04,228.51,229.39,223.39,223.89,1663737
ADBE,2018-05-07,230.99,232.36,229.02,229.54,1808338
ADBE,2018-05-08,234.56,234.9971,228.75,229.74,2244572
ADBE,2018-05-09,239.74,240.15,233.525,235.0,3091588
ADBE,2018-05-10,241.15,241.76,238.24,240.46,1941395
ADBE,2018-05-11,241.88,241.93,238.7901,241.03,2261704
ADBE,2018-05-14,238.37,243.34,237.24,242.0,2670821
ADBE,2018-05-15,236.6,237.345,233.0,235.64,2130349
ADBE,2018-05-16,237.39,238.12,235.8396,236.59,1843652
ADBE,2018-05-17,236.85,239.665,234.8288,237.32,1690642
ADBE,2018-05-18,238.09,239.28,235.2581,236.24,1888196
ADBE,2018-05-21,238.1,240.78,237.11,239.85,1757941
ADBE,2018-05-22,238.79,243.49,237.76,241.15,2950223
ADBE,2018-05-23,243.91,244.09,236.0,236.32,2757629
ADBE,2018-05-24,245.15,245.9,240.7218,243.79,2713621
ADBE,2018-05-25,243.56,245.79,242.87,245.0,2152871
ADBE,2018-05-28,243.56,243.56,243.56,243.56,0
ADBE,2018-05-29,242.19,243.385,240.38,242.99,2093449
ADBE,2018-05-30,247.4,248.56,244.39,244.4,2296482
ADBE,2018-05-31,249.28,251.52,246.58,247.11,3780913
ADBE,2018-06-01,251.31,251.83,248.8486,250.55,2773194
ADBE,2018-06-04,253.34,254.72,251.1,252.85,3058747
ADBE,2018-06-05,252.7,254.06,251.11,254.0,2677427
ADBE,2018-06-06,253.95,254.07,251.5,253.75,3963638
ADBE,2018-06-07,247.51,254.05,244.03,253.24,4169213
ADBE,2018-06-08,251.21,251.66,245.83,246.86,2880597
ADBE,2018-06-11,251.0,253.48,250.125,251.76,2868208
ADBE,2018-06-12,252.59,254.8,251.13,252.65,3513342
ADBE,2018-06-13,256.13,257.9,253.65,253.7,3590741
ADBE,2018-06-14,258.1,258.9102,256.58,257.15,5618308
ADBE,2018-06-15,251.82,253.87,247.52,251.28,9052820
ADBE,2018-06-18,255.69,256.77,249.8,250.52,3764273
ADBE,2018-06-19,251.74,253.65,247.9,251.83,3532529
ADBE,2018-06-20,251.24,254.8,250.98,253.5,2577487
ADBE,2018-06-21,248.83,252.719,247.57,252.0,2639732
ADBE,2018-06-22,243.63,248.7999,243.26,248.11,4124488
