Symbol,Date,Close,High,Low,Open,Volume
ADI,2018-01-01,89.03,89.03,89.03,89.03,0
ADI,2018-01-02,90.28,90.65,88.93,89.24,2343204
ADI,2018-01-03,91.4,91.61,90.05,90.28,2009599
ADI,2018-01-04,91.3,92.28,91.25,91.87,1879594
ADI,2018-01-05,91.67,92.2699,90.83,91.52,1799107
ADI,2018-01-08,91.83,92.21,91.36,91.81,1907387
ADI,2018-01-09,91.64,92.33,91.42,91.8,2780187
ADI,2018-01-10,90.11,91.15,89.79,91.08,2654440
ADI,2018-01-11,91.19,91.26,89.94,90.4,1924204
ADI,2018-01-12,92.02,92.59,90.565,91.06,3175716
ADI,2018-01-15,92.02,92.02,92.02,92.02,0
ADI,2018-01-16,93.1,93.7,92.35,92.38,3373675
ADI,2018-01-17,95.57,95.955,93.61,94.0,4011288
ADI,2018-01-18,97.24,98.38,95.33,95.58,5285179
ADI,2018-01-19,96.14,97.9399,96.14,97.64,2762390
ADI,2018-01-22,96.65,97.0,95.77,96.39,4442387
ADI,2018-01-23,96.47,97.12,95.89,96.69,3247107
ADI,2018-01-24,95.34,96.6353,93.21,94.38,6258394
ADI,2018-01-25,91.98,96.99,91.93,96.19,3655853
ADI,2018-01-26,93.84,94.17,92.58,93.09,4752279
ADI,2018-01-29,93.78,94.44,92.41,93.2,3078148
ADI,2018-01-30,91.55,93.39,91.365,92.77,3684942
ADI,2018-01-31,91.88,92.55,91.42,91.89,3462002
ADI,2018-02-01,91.65,92.58,91.25,91.25,2312175
ADI,2018-02-02,89.11,91.29,89.06,90.74,2922619
ADI,2018-02-05,85.4,89.61,85.33,88.75,3817435
ADI,2018-02-06,88.54,88.71,82.76,84.2,5440793
ADI,2018-02-07,85.35,87.95,85.29,86.75,4555784
ADI,2018-02-08,82.68,85.6011,82.57,85.54,5279077
ADI,2018-02-09,83.93,84.58,80.95,83.91,5649666
ADI,2018-02-12,85.05,85.9,84.03,84.3,3287666
ADI,2018-02-13,84.34,86.43,83.77,86.01,2688995
ADI,2018-02-14,85.13,85.45,83.3899,83.52,2819560
ADI,2018-02-15,85.4,85.94,84.21,85.94,2214365
ADI,2018-02-16,86.09,86.79,85.1701,85.28,2570580
ADI,2018-02-19,86.09,86.09,86.09,86.09,0
ADI,2018-02-20,88.41,89.49,86.92,87.28,3960959
ADI,2018-02-21,88.41,90.04,87.85,88.71,2604385
ADI,2018-02-22,88.56,89.36,88.07,88.46,2430033
ADI,2018-02-23,90.37,90.43,89.17,89.35,2114897
ADI,2018-02-26,92.36,92.42,90.57,90.57,2683639
ADI,2018-02-27,92.26,93.65,91.6303,92.21,3256317
ADI,2018-02-28,90.15,94.92,89.6001,94.5,4248509
ADI,2018-03-01,88.31,90.53,86.79,89.89,4136104
ADI,2018-03-02,89.53,89.67,86.98,87.44,2298681
ADI,2018-03-05,91.14,91.7,88.765,88.83,2972161
ADI,2018-03-06,91.93,92.57,91.18,91.73,1958754
ADI,2018-03-07,92.74,92.8,90.55,91.33,2981069
ADI,2018-03-08,92.72,93.3,92.07,92.9,2175599
ADI,2018-03-09,94.73,94.85,93.3,93.3,2769075
ADI,2018-03-12,95.53,95.73,94.665,94.74,2766087
ADI,2018-03-13,94.66,96.85,94.22,96.0,3521766
ADI,2018-03-14,94.09,95.329,93.27,94.94,1549718
ADI,2018-03-15,93.94,94.36,93.16,93.92,1273980
ADI,2018-03-16,94.15,95.01,93.76,94.1,4067799
ADI,2018-03-19,93.5,93.82,91.84,93.73,2900298
ADI,2018-03-20,92.71,93.63,92.37,93.51,1764046
ADI,2018-03-21,92.8,93.89,92.3228,92.5,1612749
ADI,2018-03-22,90.54,92.43,90.48,91.53,2842437
ADI,2018-03-23,87.7,90.85,87.65,90.36,2613285
ADI,2018-03-26,93.11,93.19,88.94,89.33,3669351
ADI,2018-03-27,91.05,94.32,90.27,93.78,4507475
ADI,2018-03-28,89.91,91.6206,89.41,90.71,2601968
ADI,2018-03-29,91.13,92.015,89.85,90.7,2663466
ADI,2018-03-30,91.13,91.13,91.13,91.13,0
ADI,2018-04-02,88.75,90.88,87.92,90.47,3308596
ADI,2018-04-03,89.52,89.92,87.9,89.61,2721620
ADI,2018-04-04,91.24,91.525,87.54,87.81,2069939
ADI,2018-04-05,90.94,92.45,90.26,92.1,1769446
ADI,2018-04-06,88.31,90.48,88.13,89.85,2294318
ADI,2018-04-09,87.99,90.44,87.9,89.12,2513876
ADI,2018-04-10,90.03,90.81,88.76,89.5,2242970
ADI,2018-04-11,90.8,91.15,89.18,89.25,1785178
ADI,2018-04-12,93.02,93.24,91.2,91.69,2984233
ADI,2018-04-13,92.78,93.6,92.195,93.5,1869665
ADI,2018-04-16,93.14,93.58,92.48,93.18,2125310
ADI,2018-04-17,95.17,95.54,93.65,93.65,1920040
ADI,2018-04-18,94.57,95.45,94.025,94.78,1909797
ADI,2018-04-19,89.85,92.98,89.76,92.98,3774177
ADI,2018-04-20,89.76,90.0,88.66,89.39,4413807
ADI,2018-04-23,88.0,90.19,87.52,90.17,2790338
ADI,2018-04-24,87.65,89.47,87.32,89.27,3137035
ADI,2018-04-25,87.77,88.92,87.33,88.06,2652389
ADI,2018-04-26,88.7,89.03,87.72,88.45,1981386
ADI,2018-04-27,87.68,89.382,87.21,89.27,2738572
ADI,2018-04-30,87.35,88.205,86.03,87.77,3756174
ADI,2018-05-01,88.86,89.0,86.74,87.14,2094342
ADI,2018-05-02,88.3,89.205,87.48,89.01,1586748
ADI,2018-05-03,87.91,88.27,86.23,87.52,2261117
ADI,2018-05-04,90.27,90.315,87.12,87.55,2404772
ADI,2018-05-07,90.5,91.17,89.86,89.86,1867006
ADI,2018-05-08,91.42,91.45,90.11,90.93,1575027
ADI,2018-05-09,92.62,92.74,91.42,91.86,1939391
ADI,2018-05-10,93.34,93.4,92.39,93.08,1914403
ADI,2018-05-11,92.6,93.64,92.42,93.08,1359030
ADI,2018-05-14,93.87,94.92,93.19,93.19,2173465
ADI,2018-05-15,93.56,93.85,92.79,93.07,2074876
ADI,2018-05-16,94.77,94.8,93.58,93.95,1472840
ADI,2018-05-17,95.04,95.18,94.16,94.21,3344110
ADI,2018-05-18,94.88,95.57,94.08,94.7,3222037
