Symbol,Date,Close,High,Low,Open,Volume
AEE,2018-01-01,58.99,58.99,58.99,58.99,0
AEE,2018-01-02,58.39,59.0326,58.16,58.98,1313803
AEE,2018-01-03,58.09,58.64,57.82,58.16,1373838
AEE,2018-01-04,57.43,58.5,57.32,57.96,1647477
AEE,2018-01-05,57.39,57.81,57.23,57.62,1321491
AEE,2018-01-08,58.07,58.09,57.28,57.61,964209
AEE,2018-01-09,57.32,57.99,57.23,57.9,1165284
AEE,2018-01-10,56.48,57.08,56.39,56.98,1017450
AEE,2018-01-11,56.15,56.745,55.89,56.7,1497655
AEE,2018-01-12,55.52,56.19,55.42,55.96,1385138
AEE,2018-01-15,55.52,55.52,55.52,55.52,0
AEE,2018-01-16,55.46,55.92,54.83,55.67,1684912
AEE,2018-01-17,55.79,55.94,55.3,55.64,1600845
AEE,2018-01-18,55.39,55.79,54.92,55.76,1807659
AEE,2018-01-19,55.16,55.785,55.105,55.61,1450030
AEE,2018-01-22,55.3,55.8406,55.26,55.47,1065589
AEE,2018-01-23,56.07,56.38,55.28,55.31,1351102
AEE,2018-01-24,55.74,56.17,55.67,56.02,2683579
AEE,2018-01-25,56.74,56.85,55.68,55.74,1849107
AEE,2018-01-26,56.92,57.09,56.26,56.87,1616584
AEE,2018-01-29,55.88,56.63,55.86,56.59,1270403
AEE,2018-01-30,56.09,56.33,55.73,55.91,1299637
AEE,2018-01-31,56.63,56.74,55.78,56.12,2066582
AEE,2018-02-01,55.21,56.62,54.96,56.62,3167081
AEE,2018-02-02,54.89,55.41,54.7705,54.91,1440562
AEE,2018-02-05,54.15,55.54,54.01,54.92,1921642
AEE,2018-02-06,53.0,53.66,51.89,53.52,2420804
AEE,2018-02-07,53.19,53.82,52.8,53.0,2669942
AEE,2018-02-08,52.59,54.3,52.57,53.02,3938146
AEE,2018-02-09,55.42,55.72,53.05,53.07,4565129
AEE,2018-02-12,55.07,55.44,54.49,55.42,1789098
AEE,2018-02-13,55.25,55.45,54.321,54.85,1201565
AEE,2018-02-14,54.68,55.27,54.36,54.89,1410072
AEE,2018-02-15,56.26,56.27,54.77,54.87,2539122
AEE,2018-02-16,56.32,56.85,55.665,56.4,2605647
AEE,2018-02-19,56.32,56.32,56.32,56.32,0
AEE,2018-02-20,55.08,56.27,54.8,56.02,2336507
AEE,2018-02-21,54.4,55.45,54.38,55.03,1740254
AEE,2018-02-22,54.59,55.32,54.23,54.68,1655249
AEE,2018-02-23,56.35,56.39,54.63,54.7,1993770
AEE,2018-02-26,55.75,56.4595,55.38,56.38,1448296
AEE,2018-02-27,54.89,56.3,54.8,55.93,1838874
AEE,2018-02-28,54.3,55.24,54.28,55.12,1849336
AEE,2018-03-01,53.96,54.84,53.68,54.28,1844624
AEE,2018-03-02,54.03,54.62,53.47,54.05,1444483
AEE,2018-03-05,55.12,55.32,53.68,53.94,1915050
AEE,2018-03-06,53.94,55.02,53.865,55.02,1719637
AEE,2018-03-07,53.58,54.0,53.08,53.77,1800625
AEE,2018-03-08,53.86,54.08,53.58,53.84,1030295
AEE,2018-03-09,53.99,54.06,53.43,53.82,2057020
AEE,2018-03-12,54.41,54.6,54.0985,54.15,1559290
AEE,2018-03-13,54.09,54.65,53.88,54.14,1602958
AEE,2018-03-14,54.63,54.87,54.19,54.22,2062995
AEE,2018-03-15,54.77,55.43,54.53,54.66,1513904
AEE,2018-03-16,55.49,55.64,54.87,54.88,2834365
