Symbol,Date,Close,High,Low,Open,Volume
AEP,2018-01-01,73.57,73.57,73.57,73.57,0
AEP,2018-01-02,72.41,73.42,72.3,73.18,3016947
AEP,2018-01-03,71.8,72.82,71.61,72.21,2235678
AEP,2018-01-04,70.95,71.98,70.92,71.68,3392056
AEP,2018-01-05,70.8,71.31,70.305,71.12,2967908
AEP,2018-01-08,71.42,71.53,70.8,70.83,5715506
AEP,2018-01-09,70.58,71.4,70.2626,71.3,4323683
AEP,2018-01-10,69.5,70.36,69.4,70.31,3978401
AEP,2018-01-11,68.73,69.82,68.38,69.59,2794211
AEP,2018-01-12,67.46,68.5,67.23,68.47,6646960
AEP,2018-01-15,67.46,67.46,67.46,67.46,0
AEP,2018-01-16,67.5,67.9334,67.1111,67.75,3999858
AEP,2018-01-17,68.25,68.55,67.74,68.18,2934657
AEP,2018-01-18,67.8,68.59,67.56,68.58,2704764
AEP,2018-01-19,67.76,68.22,67.56,68.09,3221568
AEP,2018-01-22,68.13,68.78,68.04,68.37,4622542
AEP,2018-01-23,68.77,69.46,68.13,68.35,3888455
AEP,2018-01-24,68.48,68.88,68.39,68.76,3519613
AEP,2018-01-25,69.7,69.8,68.33,68.47,3721267
AEP,2018-01-26,68.75,69.73,68.32,69.58,4900587
AEP,2018-01-29,67.9,68.62,67.67,68.52,5796088
AEP,2018-01-30,68.35,68.72,67.97,67.97,4215980
AEP,2018-01-31,68.78,68.85,67.8109,68.46,3754399
AEP,2018-02-01,67.84,68.98,67.66,68.74,2968573
AEP,2018-02-02,67.75,68.23,67.52,67.74,2800181
AEP,2018-02-05,66.48,68.42,66.3,67.82,4146484
AEP,2018-02-06,64.91,65.87,63.94,65.45,7872392
AEP,2018-02-07,64.45,65.44,64.36,64.92,5927662
AEP,2018-02-08,63.38,64.83,63.32,63.59,4464720
AEP,2018-02-09,64.72,65.19,63.39,63.54,4761520
AEP,2018-02-12,64.8,65.16,64.21,64.68,3538230
AEP,2018-02-13,65.58,65.82,64.19,64.81,3859241
AEP,2018-02-14,65.3,65.8,64.5875,65.16,5755964
AEP,2018-02-15,66.68,66.68,65.31,65.43,3870378
AEP,2018-02-16,67.26,67.52,66.53,66.62,3559549
AEP,2018-02-19,67.26,67.26,67.26,67.26,0
AEP,2018-02-20,66.37,67.41,65.96,67.01,2750056
AEP,2018-02-21,65.58,67.21,65.56,66.5,3570420
AEP,2018-02-22,65.68,66.21,65.43,65.74,2639102
AEP,2018-02-23,67.37,67.5,65.65,65.72,2401008
AEP,2018-02-26,66.97,67.76,66.81,67.69,2088245
AEP,2018-02-27,65.95,67.5,65.88,67.04,3678000
AEP,2018-02-28,65.58,66.56,65.56,66.24,2935307
AEP,2018-03-01,65.62,66.73,65.2391,65.65,3568049
AEP,2018-03-02,65.18,66.35,64.6,65.74,4418660
AEP,2018-03-05,66.49,66.72,64.831,65.09,2720225
AEP,2018-03-06,65.5,66.385,65.18,66.35,3507731
AEP,2018-03-07,64.92,65.52,64.645,65.35,3071030
AEP,2018-03-08,65.3,65.58,65.0,65.04,2346306
AEP,2018-03-09,65.65,65.68,65.08,65.35,3379796
AEP,2018-03-12,65.87,65.99,65.58,65.74,3190442
AEP,2018-03-13,66.04,66.35,65.57,66.01,3006372
AEP,2018-03-14,66.59,66.93,66.11,66.23,3138936
AEP,2018-03-15,66.99,67.58,66.495,66.59,4182488
AEP,2018-03-16,67.81,67.92,67.071,67.09,6399405
AEP,2018-03-19,67.45,68.16,67.105,67.69,2595556
AEP,2018-03-20,67.45,67.86,67.18,67.21,2496436
AEP,2018-03-21,66.91,67.93,66.72,67.45,2805259
AEP,2018-03-22,67.36,68.34,66.86,67.03,3137695
AEP,2018-03-23,66.39,67.97,66.25,67.43,3111803
AEP,2018-03-26,67.31,67.51,66.56,66.82,2917849
AEP,2018-03-27,68.43,68.98,67.05,67.31,3484367
AEP,2018-03-28,68.66,68.92,68.03,68.63,3274695
AEP,2018-03-29,68.59,69.24,68.5,68.71,2238888
AEP,2018-03-30,68.59,68.59,68.59,68.59,0
AEP,2018-04-02,68.28,69.3,67.77,68.79,2808529
AEP,2018-04-03,68.45,68.79,67.93,68.26,2551460
AEP,2018-04-04,68.67,68.81,67.89,68.41,2082744
AEP,2018-04-05,68.94,69.185,67.69,68.59,2017869
AEP,2018-04-06,68.53,69.4154,68.42,68.94,2307493
AEP,2018-04-09,68.71,69.14,68.28,68.4,1940911
AEP,2018-04-10,67.87,68.75,67.65,68.62,2189182
AEP,2018-04-11,67.79,68.2,67.51,67.8,1803220
AEP,2018-04-12,66.64,67.91,66.46,67.8,2565372
AEP,2018-04-13,67.34,67.59,66.69,66.92,1833748
AEP,2018-04-16,68.27,68.4024,67.42,67.48,1537306
AEP,2018-04-17,68.86,69.04,68.05,68.24,1710855
AEP,2018-04-18,68.73,69.665,68.6774,69.0,2040641
AEP,2018-04-19,68.52,68.8708,68.1,68.63,2464342
AEP,2018-04-20,68.46,68.875,68.15,68.69,2634556
AEP,2018-04-23,68.44,68.91,68.19,68.57,1875738
AEP,2018-04-24,68.88,69.3501,68.35,68.51,2022293
AEP,2018-04-25,69.09,69.33,68.51,68.71,3067772
AEP,2018-04-26,69.77,69.92,68.85,69.16,2326163
AEP,2018-04-27,70.55,70.9825,69.5,69.5,3009979
AEP,2018-04-30,69.98,70.8112,69.95,70.81,3056165
AEP,2018-05-01,69.44,69.99,69.31,69.97,3027976
AEP,2018-05-02,69.19,69.6371,68.84,69.3,2669278
AEP,2018-05-03,69.24,69.72,68.52,69.08,2346389
AEP,2018-05-04,69.39,69.8,69.17,69.24,2238832
AEP,2018-05-07,68.78,69.4494,68.64,69.34,1961245
AEP,2018-05-08,67.25,68.74,67.09,68.55,4789658
AEP,2018-05-09,66.27,66.99,66.03,66.75,3535021
AEP,2018-05-10,67.02,67.04,66.33,66.47,1909849
AEP,2018-05-11,67.16,67.3492,66.87,67.15,1541608
AEP,2018-05-14,67.11,67.4,66.74,67.32,2843872
AEP,2018-05-15,66.81,67.09,66.411,66.65,4596104
AEP,2018-05-16,66.15,66.88,65.89,66.88,3652799
AEP,2018-05-17,65.22,66.43,65.0,66.17,3186762
AEP,2018-05-18,64.93,65.55,64.455,65.38,3145857
AEP,2018-05-21,65.09,65.24,64.58,65.0,2764992
AEP,2018-05-22,65.44,65.66,65.02,65.12,2319763
AEP,2018-05-23,66.47,66.5,65.42,65.61,2819954
AEP,2018-05-24,66.84,66.93,66.2,66.2,2437959
AEP,2018-05-25,67.22,67.395,66.74,66.84,2039191
AEP,2018-05-28,67.22,67.22,67.22,67.22,0
AEP,2018-05-29,67.62,67.9,66.9,67.15,2758278
AEP,2018-05-30,68.0,68.21,67.1,67.21,2940236
AEP,2018-05-31,67.95,68.43,67.49,67.92,4191340
AEP,2018-06-01,66.68,67.8,66.4294,67.69,2789715
AEP,2018-06-04,66.05,67.12,65.95,66.99,2205643
AEP,2018-06-05,65.29,66.05,65.11,65.79,3221856
AEP,2018-06-06,63.81,65.43,63.67,65.29,3976849
AEP,2018-06-07,64.15,64.76,63.75,63.75,3025200
AEP,2018-06-08,64.11,64.4,63.83,64.16,2090757
AEP,2018-06-11,62.93,64.3,62.705,64.29,4329739
AEP,2018-06-12,63.57,63.815,62.75,62.75,4908277
AEP,2018-06-13,63.46,63.97,63.04,63.7,3539383
AEP,2018-06-14,64.62,64.81,63.53,63.76,3694369
AEP,2018-06-15,65.05,65.13,64.19,64.48,5315108
AEP,2018-06-18,65.46,65.55,64.94,65.02,3214125
AEP,2018-06-19,66.87,66.89,65.55,65.55,5873022
AEP,2018-06-20,66.9,66.97,66.45,66.86,3062402
AEP,2018-06-21,67.47,67.64,66.74,66.86,3129849
AEP,2018-06-22,67.35,67.82,67.32,67.5,3244615
AEP,2018-06-25,69.03,69.08,67.57,67.57,3942068
AEP,2018-06-26,69.3,69.73,68.8,69.0,3360776
