Symbol,Date,Close,High,Low,Open,Volume
AES,2018-01-01,10.83,10.83,10.83,10.83,0
AES,2018-01-02,10.88,10.92,10.78,10.87,4564609
AES,2018-01-03,10.87,10.97,10.79,10.85,6181224
AES,2018-01-04,10.83,10.97,10.83,10.84,5149992
AES,2018-01-05,10.87,10.92,10.78,10.86,5388218
AES,2018-01-08,10.87,10.93,10.825,10.9,6689072
AES,2018-01-09,10.76,10.91,10.75,10.83,9311659
AES,2018-01-10,10.78,10.8,10.64,10.73,5026242
AES,2018-01-11,10.96,10.985,10.75,10.77,8242730
AES,2018-01-12,11.04,11.135,10.9,10.97,8527359
AES,2018-01-15,11.04,11.04,11.04,11.04,0
AES,2018-01-16,10.68,11.12,10.67,11.1,12412784
AES,2018-01-17,10.72,10.85,10.7,10.77,7138257
AES,2018-01-18,11.53,11.95,11.36,11.81,30169704
AES,2018-01-19,11.75,11.75,11.49,11.59,15030341
AES,2018-01-22,11.38,11.81,11.28,11.8,17730224
AES,2018-01-23,11.42,11.57,11.28,11.3,10852633
AES,2018-01-24,11.16,11.41,11.06,11.39,14293176
AES,2018-01-25,11.49,11.5,11.14,11.15,11566646
AES,2018-01-26,11.72,11.74,11.49,11.55,9121139
AES,2018-01-29,11.81,11.92,11.605,11.68,12887417
AES,2018-01-30,11.61,11.85,11.57,11.78,12587803
AES,2018-01-31,11.56,11.635,11.51,11.55,24509153
AES,2018-02-01,11.51,11.67,11.46,11.59,6781029
AES,2018-02-02,11.12,11.49,11.11,11.35,10120041
AES,2018-02-05,10.6,11.12,10.54,11.11,15763864
AES,2018-02-06,10.58,10.64,10.15,10.4,11696040
AES,2018-02-07,10.48,10.78,10.465,10.6,8786251
AES,2018-02-08,10.06,10.45,10.05,10.44,13049456
AES,2018-02-09,10.2,10.28,9.865,10.13,10305190
AES,2018-02-12,10.27,10.335,10.03,10.23,9008788
AES,2018-02-13,10.32,10.39,10.16,10.26,6312210
AES,2018-02-14,10.27,10.33,10.14,10.23,5931479
AES,2018-02-15,10.52,10.52,10.32,10.36,7138479
AES,2018-02-16,10.45,10.61,10.43,10.44,5665558
AES,2018-02-19,10.45,10.45,10.45,10.45,0
AES,2018-02-20,10.4,10.54,10.36,10.39,7467373
AES,2018-02-21,10.23,10.5673,10.23,10.44,5365639
AES,2018-02-22,10.3,10.43,10.25,10.26,6706846
AES,2018-02-23,10.49,10.52,10.325,10.36,4672313
AES,2018-02-26,10.45,10.54,10.35,10.51,10759889
AES,2018-02-27,11.22,11.25,10.57,10.75,22078348
AES,2018-02-28,10.87,11.32,10.86,11.28,10198403
AES,2018-03-01,10.96,11.27,10.89,10.92,9875404
AES,2018-03-02,10.86,11.0,10.7,10.9,7723567
AES,2018-03-05,10.98,10.99,10.8,10.9,12072514
AES,2018-03-06,10.93,11.095,10.8301,11.04,8263142
AES,2018-03-07,10.8,10.92,10.71,10.87,7118294
AES,2018-03-08,10.84,10.94,10.83,10.84,5443754
AES,2018-03-09,10.85,10.86,10.65,10.86,5797318
AES,2018-03-12,10.74,10.88,10.62,10.85,7481003
AES,2018-03-13,10.67,10.83,10.62,10.79,5786389
AES,2018-03-14,10.7,10.78,10.65,10.7,4334815
AES,2018-03-15,10.69,10.765,10.49,10.69,9498865
AES,2018-03-16,10.84,10.91,10.7,10.73,7325794
AES,2018-03-19,10.77,10.9,10.7,10.88,5646648
AES,2018-03-20,10.71,10.86,10.63,10.8,6359660
AES,2018-03-21,10.8,10.95,10.67,10.72,5687933
AES,2018-03-22,10.82,11.035,10.69,10.8,7888924
AES,2018-03-23,10.72,11.02,10.68,10.91,6536184
AES,2018-03-26,10.84,10.89,10.655,10.76,5769714
AES,2018-03-27,10.95,11.11,10.82,10.84,6993555
AES,2018-03-28,11.23,11.23,10.94,10.98,12332949
AES,2018-03-29,11.37,11.43,11.145,11.24,8712918
AES,2018-03-30,11.37,11.37,11.37,11.37,0
AES,2018-04-02,11.37,11.465,11.225,11.38,13767457
AES,2018-04-03,11.5,11.52,11.19,11.35,8743008
AES,2018-04-04,11.39,11.56,11.295,11.45,12904945
AES,2018-04-05,11.5,11.57,11.31,11.41,6277399
AES,2018-04-06,11.42,11.56,11.395,11.47,6935153
AES,2018-04-09,11.39,11.515,11.33,11.42,6087302
AES,2018-04-10,11.43,11.51,11.37,11.51,4516299
AES,2018-04-11,11.42,11.5,11.375,11.38,3826300
AES,2018-04-12,11.29,11.43,11.25,11.41,5565302
AES,2018-04-13,11.34,11.42,11.305,11.33,2556298
AES,2018-04-16,11.57,11.58,11.36,11.41,6429222
AES,2018-04-17,11.74,11.83,11.46,11.57,6433661
AES,2018-04-18,11.75,11.805,11.705,11.78,6396768
AES,2018-04-19,11.75,11.77,11.64,11.72,4225802
AES,2018-04-20,11.62,11.74,11.58,11.74,3287324
AES,2018-04-23,11.86,11.92,11.63,11.67,8928879
AES,2018-04-24,12.0,12.11,11.83,11.86,8287812
AES,2018-04-25,12.03,12.05,11.9,11.95,5840609
AES,2018-04-26,12.17,12.25,12.0,12.06,5236800
AES,2018-04-27,12.31,12.45,12.14,12.16,6476796
AES,2018-04-30,12.24,12.3068,12.17,12.21,7833515
AES,2018-05-01,12.21,12.26,12.095,12.25,5700349
AES,2018-05-02,12.19,12.3,12.13,12.17,7816413
AES,2018-05-03,12.3,12.32,12.05,12.19,5957628
AES,2018-05-04,12.33,12.4,12.24,12.28,3365666
AES,2018-05-07,12.37,12.38,12.19,12.32,13131851
AES,2018-05-08,11.73,12.17,11.66,12.15,15873744
AES,2018-05-09,12.07,12.09,11.7675,11.87,8094407
AES,2018-05-10,12.31,12.32,12.071,12.1,4207719
AES,2018-05-11,12.29,12.38,12.24,12.34,3981608
AES,2018-05-14,12.35,12.405,12.29,12.32,5406736
AES,2018-05-15,12.3,12.34,12.22,12.3,6206106
AES,2018-05-16,12.28,12.32,12.11,12.19,5026025
AES,2018-05-17,12.05,12.32,12.005,12.28,8142784
AES,2018-05-18,11.93,12.0625,11.8018,12.06,6871629
AES,2018-05-21,12.06,12.13,11.94,11.99,5888392
AES,2018-05-22,12.2,12.255,12.095,12.12,5303973
AES,2018-05-23,12.19,12.225,12.07,12.13,5047909
AES,2018-05-24,12.39,12.43,12.15,12.22,4152183
AES,2018-05-25,12.41,12.5,12.36,12.39,3671726
AES,2018-05-28,12.41,12.41,12.41,12.41,0
AES,2018-05-29,12.41,12.49,12.3,12.37,5008915
AES,2018-05-30,12.67,12.71,12.35,12.43,7856125
AES,2018-05-31,12.75,12.86,12.62,12.62,6795179
AES,2018-06-01,12.79,12.835,12.63,12.71,6194939
AES,2018-06-04,12.93,13.085,12.81,12.86,8255281
AES,2018-06-05,12.93,13.25,12.87,13.0,13218760
AES,2018-06-06,12.51,12.98,12.47,12.96,7097834
AES,2018-06-07,12.72,12.79,12.51,12.53,6098214
AES,2018-06-08,12.77,12.77,12.6,12.71,5656600
AES,2018-06-11,12.83,12.9,12.65,12.8,3889263
AES,2018-06-12,13.04,13.07,12.81,12.86,6081355
AES,2018-06-13,13.13,13.16,13.05,13.1,6413683
AES,2018-06-14,13.18,13.345,13.08,13.18,7081347
AES,2018-06-15,13.07,13.28,12.88,13.13,9932420
AES,2018-06-18,13.07,13.16,13.0,13.05,5218282
AES,2018-06-19,13.08,13.2,12.96,13.08,9251358
AES,2018-06-20,12.93,13.14,12.84,13.09,7131925
AES,2018-06-21,12.89,12.995,12.87,12.95,4496334
AES,2018-06-22,12.86,12.97,12.82,12.95,7981058
