Symbol,Date,Close,High,Low,Open,Volume
AET,2018-01-01,180.39,180.39,180.39,180.39,0
AET,2018-01-02,180.69,181.96,180.06,180.94,2942074
AET,2018-01-03,181.8,181.96,180.1,180.75,2332070
AET,2018-01-04,183.37,184.39,181.84,181.87,3321347
AET,2018-01-05,185.81,186.0,183.5,183.7,3674232
AET,2018-01-08,184.65,186.36,184.65,185.47,2049481
AET,2018-01-09,183.6,185.529,182.0,184.58,3756790
AET,2018-01-10,183.48,184.01,182.2,182.31,4152548
AET,2018-01-11,184.21,184.36,183.34,183.43,3596113
AET,2018-01-12,184.2,185.17,183.71,184.3,2414419
AET,2018-01-15,184.2,184.2,184.2,184.2,0
AET,2018-01-16,184.64,185.39,184.17,184.44,2335205
AET,2018-01-17,185.1,185.66,184.135,185.17,1775933
AET,2018-01-18,185.49,186.41,184.88,184.88,2219429
AET,2018-01-19,187.8,187.95,185.355,186.03,3419784
AET,2018-01-22,189.34,189.61,188.0,188.4,2576435
AET,2018-01-23,189.31,189.635,188.12,189.0,1990261
AET,2018-01-24,190.14,190.94,189.47,189.47,2464051
AET,2018-01-25,191.87,192.93,190.0,190.14,2613102
AET,2018-01-26,193.1,193.1,191.56,192.72,2742909
AET,2018-01-29,193.74,194.4,192.56,192.96,1363969
AET,2018-01-30,187.89,189.79,185.41,186.26,6423931
AET,2018-01-31,186.82,190.57,186.82,188.65,3425768
AET,2018-02-01,187.39,188.85,186.16,186.52,2596718
AET,2018-02-02,185.0,187.39,184.57,186.7,2199354
AET,2018-02-05,180.95,185.39,180.78,184.49,2996979
AET,2018-02-06,182.01,183.51,178.8,179.36,3450429
AET,2018-02-07,181.49,184.12,181.39,181.49,2123860
AET,2018-02-08,178.0,181.9,178.0,181.8,3694547
AET,2018-02-09,176.39,178.85,173.61,178.66,4046386
AET,2018-02-12,177.38,178.86,175.4,176.58,4543659
AET,2018-02-13,178.52,178.75,176.82,177.04,2011528
AET,2018-02-14,176.77,178.57,176.73,177.81,1913984
AET,2018-02-15,177.17,178.02,175.89,177.28,2274553
AET,2018-02-16,178.51,178.87,176.63,176.74,2138366
AET,2018-02-19,178.51,178.51,178.51,178.51,0
AET,2018-02-20,178.03,178.69,176.66,178.0,1909648
AET,2018-02-21,175.77,178.66,175.77,178.0,3276242
AET,2018-02-22,175.06,176.89,174.99,176.54,1432158
AET,2018-02-23,175.55,176.04,174.27,175.12,1819930
AET,2018-02-26,175.75,176.53,174.92,175.83,1515352
