Symbol,Date,Close,High,Low,Open,Volume
AGN,2018-01-01,163.58,163.58,163.58,163.58,0
AGN,2018-01-02,170.32,171.12,163.46,164.05,3161623
AGN,2018-01-03,170.14,172.47,168.82,172.0,2609163
AGN,2018-01-04,171.58,171.98,168.85,171.2,1742685
AGN,2018-01-05,172.29,172.82,171.0,172.43,1749573
AGN,2018-01-08,170.56,173.26,168.325,172.96,2800789
AGN,2018-01-09,175.65,177.3,171.03,171.49,3744247
AGN,2018-01-10,173.99,175.19,171.86,174.6,2120265
AGN,2018-01-11,177.12,177.35,173.81,174.49,2015162
AGN,2018-01-12,176.05,180.555,175.79,177.62,2802192
AGN,2018-01-15,176.05,176.05,176.05,176.05,0
AGN,2018-01-16,178.66,179.8,176.6025,176.96,2653869
AGN,2018-01-17,176.72,179.45,176.33,179.45,2220065
AGN,2018-01-18,179.64,179.95,176.1,177.27,2819410
AGN,2018-01-19,181.33,181.97,179.12,180.87,4043472
AGN,2018-01-22,188.15,188.43,180.725,181.0,5269596
AGN,2018-01-23,188.06,193.33,186.3,190.5,3845394
AGN,2018-01-24,186.72,189.88,185.73,188.39,2002022
AGN,2018-01-25,187.12,187.7,184.1401,186.98,2004282
AGN,2018-01-26,186.93,187.42,184.33,187.24,1974694
AGN,2018-01-29,187.3,189.94,187.01,189.94,2731152
AGN,2018-01-30,184.38,186.13,182.36,184.15,2346764
AGN,2018-01-31,180.26,184.87,179.63,184.34,2933298
AGN,2018-02-01,178.54,180.95,178.11,179.98,2106462
AGN,2018-02-02,172.51,178.12,172.3,177.74,3388432
AGN,2018-02-05,165.0,172.43,165.0,171.9,4653545
AGN,2018-02-06,168.33,175.0,160.3,166.3,8286363
AGN,2018-02-07,170.39,172.98,167.07,168.93,3722660
AGN,2018-02-08,164.2,172.58,164.11,170.64,3622384
AGN,2018-02-09,162.77,166.58,157.7,165.04,4240750
AGN,2018-02-12,162.46,164.74,160.27,164.04,3066724
AGN,2018-02-13,158.72,162.46,156.11,161.25,3247910
