Symbol,Date,Close,High,Low,Open,Volume
AKAM,2018-01-01,65.04,65.04,65.04,65.04,0
AKAM,2018-01-02,65.56,65.94,64.7,65.13,1426411
AKAM,2018-01-03,65.94,66.0,65.1,65.27,2287733
AKAM,2018-01-04,65.6,66.25,65.44,66.16,1870571
AKAM,2018-01-05,65.83,65.86,65.4601,65.7,1055977
AKAM,2018-01-08,65.88,66.09,65.21,65.95,1185988
AKAM,2018-01-09,67.49,69.56,65.27,65.75,4529854
AKAM,2018-01-10,66.33,67.97,66.2495,67.56,2098469
AKAM,2018-01-11,65.21,65.91,64.36,65.33,2858864
AKAM,2018-01-12,65.52,65.66,65.07,65.32,1083361
AKAM,2018-01-15,65.52,65.52,65.52,65.52,0
AKAM,2018-01-16,64.5,65.555,64.18,65.53,3788277
AKAM,2018-01-17,65.4,65.4,64.53,64.94,1144932
AKAM,2018-01-18,65.08,65.43,64.91,65.04,971649
AKAM,2018-01-19,65.63,65.87,65.07,65.3,1370301
AKAM,2018-01-22,65.65,65.65,65.03,65.41,1330311
AKAM,2018-01-23,66.0,66.4,65.65,65.65,1004782
AKAM,2018-01-24,66.02,66.46,65.85,66.28,1197759
AKAM,2018-01-25,66.87,67.15,65.9455,66.41,1306046
AKAM,2018-01-26,67.62,67.87,66.97,67.1,1507761
AKAM,2018-01-29,67.25,67.7284,66.981,67.39,1318783
AKAM,2018-01-30,66.56,67.2,65.98,66.56,1878580
AKAM,2018-01-31,66.99,68.3,66.59,67.0,1965934
AKAM,2018-02-01,67.56,67.9,65.75,66.42,1440142
AKAM,2018-02-02,65.72,67.3,65.37,67.28,1650847
AKAM,2018-02-05,62.81,66.0,62.69,65.34,2148223
AKAM,2018-02-06,63.67,64.04,61.41,61.7,3249136
AKAM,2018-02-07,64.48,68.65,64.31,67.75,9634937
AKAM,2018-02-08,62.49,64.96,62.46,64.79,2481385
AKAM,2018-02-09,64.13,64.63,61.0,63.05,2452611
AKAM,2018-02-12,64.93,65.47,63.9,64.65,1609848
AKAM,2018-02-13,64.49,65.03,64.42,64.55,1625640
AKAM,2018-02-14,66.87,67.15,64.5,64.57,1974305
AKAM,2018-02-15,67.4,67.43,66.61,66.81,1673764
AKAM,2018-02-16,66.89,67.95,66.82,67.0,1170537
AKAM,2018-02-19,66.89,66.89,66.89,66.89,0
AKAM,2018-02-20,66.77,67.37,66.28,66.52,1444080
AKAM,2018-02-21,66.32,67.78,66.28,66.97,1771067
AKAM,2018-02-22,66.25,67.11,66.04,66.42,1060143
AKAM,2018-02-23,67.36,67.37,66.38,66.52,929865
AKAM,2018-02-26,68.6,69.0,67.56,67.56,1347111
AKAM,2018-02-27,68.24,68.93,67.39,68.5,1259023
AKAM,2018-02-28,67.46,69.0,67.46,68.7,1040242
AKAM,2018-03-01,67.92,68.74,67.15,67.44,1258684
AKAM,2018-03-02,69.43,69.5,66.67,66.93,1493030
AKAM,2018-03-05,69.81,70.115,68.2782,68.84,1398682
AKAM,2018-03-06,69.94,70.7,69.46,70.0,1002078
AKAM,2018-03-07,69.99,70.42,69.36,69.5,2000354
AKAM,2018-03-08,75.08,75.19,70.3001,70.5,4378303
AKAM,2018-03-09,76.07,78.28,73.98,76.72,3748122
AKAM,2018-03-12,74.97,75.99,74.551,75.87,1299608
AKAM,2018-03-13,73.3,75.6,73.15,75.1,1428366
AKAM,2018-03-14,73.25,73.6,72.69,73.12,987354
AKAM,2018-03-15,74.71,75.38,74.0891,74.8,1851968
AKAM,2018-03-16,74.02,74.87,74.0,74.52,2620622
AKAM,2018-03-19,72.49,74.0,71.99,73.51,1324281
AKAM,2018-03-20,73.68,73.79,72.54,72.54,1288573
AKAM,2018-03-21,73.39,73.9,73.135,73.73,927070
AKAM,2018-03-22,71.65,73.19,71.62,72.76,848814
AKAM,2018-03-23,70.19,72.41,70.1,71.69,1211357
AKAM,2018-03-26,72.18,72.35,70.37,71.34,1070116
AKAM,2018-03-27,70.75,72.6826,70.28,72.26,932108
AKAM,2018-03-28,70.05,71.43,69.86,70.68,5695431
AKAM,2018-03-29,70.98,71.52,70.03,70.82,2001075
AKAM,2018-03-30,70.98,70.98,70.98,70.98,0
AKAM,2018-04-02,69.25,70.81,68.81,70.81,1411445
AKAM,2018-04-03,70.12,70.27,69.31,69.5,1493969
AKAM,2018-04-04,70.41,70.62,68.5,68.83,1692194
AKAM,2018-04-05,72.29,72.59,70.8,71.17,1513883
AKAM,2018-04-06,69.34,71.44,69.14,71.38,1433715
AKAM,2018-04-09,70.46,71.61,69.79,69.86,1121961
AKAM,2018-04-10,72.49,72.71,71.02,71.31,1257121
AKAM,2018-04-11,71.59,72.57,71.47,71.55,800226
AKAM,2018-04-12,71.92,72.6,71.82,72.13,968419
AKAM,2018-04-13,71.43,72.24,71.1001,72.24,1237222
AKAM,2018-04-16,71.64,72.24,71.42,71.98,882418
AKAM,2018-04-17,72.49,72.77,71.75,71.99,935627
AKAM,2018-04-18,72.85,73.19,72.275,72.55,1050092
AKAM,2018-04-19,72.46,73.12,71.88,72.48,695920
AKAM,2018-04-20,71.3,73.0,71.14,72.71,832302
AKAM,2018-04-23,71.67,72.27,71.08,71.61,704087
AKAM,2018-04-24,70.97,72.24,70.31,72.0,1174719
AKAM,2018-04-25,70.78,71.14,69.78,71.14,918300
AKAM,2018-04-26,71.53,71.89,70.76,71.03,817103
AKAM,2018-04-27,71.1,71.8712,71.04,71.84,692530
AKAM,2018-04-30,71.65,72.225,71.05,71.51,3787824
AKAM,2018-05-01,70.84,74.5,68.931,74.0,4723504
AKAM,2018-05-02,71.65,71.9,70.78,70.78,1902413
AKAM,2018-05-03,71.45,71.6,70.4,71.3,1381769
AKAM,2018-05-04,72.01,72.32,70.2,71.0,1142621
AKAM,2018-05-07,73.12,73.13,71.9,72.18,1311440
AKAM,2018-05-08,73.68,73.9,73.12,73.54,1515893
AKAM,2018-05-09,77.3,77.39,73.77,73.95,2720062
AKAM,2018-05-10,76.36,77.59,76.07,77.33,2256265
AKAM,2018-05-11,76.3,76.9,76.08,76.36,952866
AKAM,2018-05-14,76.69,77.27,76.42,76.65,2038638
AKAM,2018-05-15,76.29,76.67,75.6,76.37,1123921
AKAM,2018-05-16,74.59,76.49,74.18,76.08,2420025
AKAM,2018-05-17,76.09,76.26,75.25,75.54,6090394
AKAM,2018-05-18,75.34,76.0,75.11,75.84,1423635
AKAM,2018-05-21,76.46,76.68,75.545,75.88,1676261
AKAM,2018-05-22,76.39,78.25,76.26,77.64,1590522
AKAM,2018-05-23,77.02,77.045,75.69,75.78,1257581
AKAM,2018-05-24,77.48,77.89,77.07,77.31,1824788
AKAM,2018-05-25,76.51,77.44,76.28,77.08,1128499
AKAM,2018-05-28,76.51,76.51,76.51,76.51,0
AKAM,2018-05-29,75.82,77.19,75.17,76.39,1713412
AKAM,2018-05-30,76.08,76.629,75.37,76.11,2996808
AKAM,2018-05-31,75.38,76.02,75.0,76.02,2639112
AKAM,2018-06-01,76.0,76.47,75.54,75.7,2820773
AKAM,2018-06-04,77.07,77.09,75.8811,76.0,2451756
AKAM,2018-06-05,78.99,79.41,77.305,77.35,4148639
AKAM,2018-06-06,78.01,79.3,77.21,79.1,2594395
AKAM,2018-06-07,78.28,78.75,77.81,78.26,1958887
AKAM,2018-06-08,78.48,78.58,77.281,78.0,2522002
AKAM,2018-06-11,79.26,79.58,78.5,78.54,1398967
AKAM,2018-06-12,80.57,80.7,79.08,79.42,2964058
AKAM,2018-06-13,80.95,81.38,80.21,80.41,1956712
AKAM,2018-06-14,80.86,81.56,80.77,81.11,2136425
AKAM,2018-06-15,81.97,81.98,80.26,80.56,3554151
AKAM,2018-06-18,82.58,82.71,81.02,81.51,2088687
AKAM,2018-06-19,81.68,82.21,80.89,81.81,2608017
AKAM,2018-06-20,82.3,82.98,81.75,81.89,1529567
AKAM,2018-06-21,81.69,83.08,81.3654,82.37,2196620
AKAM,2018-06-22,80.32,81.85,79.72,81.85,5841386
AKAM,2018-06-25,77.65,79.6,77.51,79.6,3333218
AKAM,2018-06-26,75.72,76.1,73.48,74.49,4347455
