Symbol,Date,Close,High,Low,Open,Volume
ALGN,2018-01-01,222.19,222.19,222.19,222.19,0
ALGN,2018-01-02,224.62,226.19,220.36,222.61,979676
ALGN,2018-01-03,231.2,231.48,225.01,226.06,924662
ALGN,2018-01-04,233.3,235.66,230.25,234.9,1363030
ALGN,2018-01-05,241.07,243.3,234.22,234.88,1569541
ALGN,2018-01-08,248.9,250.99,241.04,242.0,2066955
ALGN,2018-01-09,251.44,253.64,250.0,250.0,1212424
ALGN,2018-01-10,248.31,250.89,243.28,249.15,874823
ALGN,2018-01-11,252.91,253.2,246.01,248.0,722535
ALGN,2018-01-12,258.43,259.95,250.01,254.1,893102
ALGN,2018-01-15,258.43,258.43,258.43,258.43,0
ALGN,2018-01-16,263.88,268.175,260.561,262.12,1198294
ALGN,2018-01-17,272.25,273.6,264.25,265.16,1174837
ALGN,2018-01-18,270.7,272.69,266.51,272.25,1088463
ALGN,2018-01-19,269.46,269.75,263.2,268.1,1231386
ALGN,2018-01-22,267.1,271.73,258.92,269.64,1147212
ALGN,2018-01-23,272.16,276.99,266.88,267.0,973433
ALGN,2018-01-24,272.28,274.39,267.6,273.52,798882
ALGN,2018-01-25,273.56,276.23,270.0,273.7,566317
ALGN,2018-01-26,283.97,287.32,273.27,275.16,1132636
ALGN,2018-01-29,276.77,284.97,268.16,284.45,1585169
ALGN,2018-01-30,270.08,272.0,245.0,270.45,2451336
ALGN,2018-01-31,262.0,270.6,248.2101,261.01,4011384
ALGN,2018-02-01,255.57,262.65,252.2,261.59,1735592
ALGN,2018-02-02,257.38,262.57,250.86,251.57,1622810
ALGN,2018-02-05,242.4,259.139,241.66,252.21,1878132
ALGN,2018-02-06,241.45,245.65,228.0,232.71,2283401
ALGN,2018-02-07,234.33,242.22,233.6,241.0,1160687
ALGN,2018-02-08,220.71,233.96,220.7,233.57,1918329
ALGN,2018-02-09,229.37,232.41,219.11,223.75,1549902
ALGN,2018-02-12,233.13,235.0,225.91,233.25,1206753
ALGN,2018-02-13,233.73,236.7,229.68,230.76,727366
ALGN,2018-02-14,246.34,246.9,231.3482,231.98,1214386
ALGN,2018-02-15,252.77,253.71,245.39,250.0,1410724
ALGN,2018-02-16,251.5,255.3899,249.04,253.85,1056711
ALGN,2018-02-19,251.5,251.5,251.5,251.5,0
ALGN,2018-02-20,255.45,259.75,250.5,250.57,1138852
ALGN,2018-02-21,252.14,262.8235,252.0,255.36,1086042
ALGN,2018-02-22,259.68,262.33,253.26,254.16,1084831
ALGN,2018-02-23,265.07,266.8,258.14,261.99,939952
ALGN,2018-02-26,266.58,268.4,262.42,266.8,722125
ALGN,2018-02-27,263.87,267.27,263.5,265.48,635605
ALGN,2018-02-28,262.52,267.78,262.44,264.9,657310
ALGN,2018-03-01,245.55,259.8375,244.15,255.0,1833437
ALGN,2018-03-02,253.71,254.89,241.3,243.65,1016135
ALGN,2018-03-05,255.49,256.64,247.6404,252.84,818321
ALGN,2018-03-06,255.97,257.39,252.16,256.01,741077
ALGN,2018-03-07,262.9,263.92,252.13,252.46,679264
ALGN,2018-03-08,268.18,268.6899,263.57,264.92,630034
ALGN,2018-03-09,271.74,273.22,269.99,270.0,854946
ALGN,2018-03-12,275.61,277.315,271.13,272.07,827123
ALGN,2018-03-13,269.71,276.98,267.29,276.56,854297
ALGN,2018-03-14,272.48,274.07,269.27,271.29,612009
ALGN,2018-03-15,272.87,276.14,269.7617,272.23,719162
ALGN,2018-03-16,270.41,274.15,267.5741,273.76,810140
ALGN,2018-03-19,265.39,274.4,262.13,268.65,868000
ALGN,2018-03-20,270.4,270.67,264.77,266.92,542791
ALGN,2018-03-21,270.14,271.99,267.2,270.67,578267
ALGN,2018-03-22,260.13,269.8,260.0,266.55,714085
ALGN,2018-03-23,250.92,265.84,250.28,260.13,996912
ALGN,2018-03-26,261.52,261.87,250.15,254.0,893474
ALGN,2018-03-27,248.3,264.7398,245.821,263.98,1041693
ALGN,2018-03-28,244.42,248.9,241.03,248.52,1175005
ALGN,2018-03-29,251.13,257.4668,243.08,245.98,1259386
ALGN,2018-03-30,251.13,251.13,251.13,251.13,0
ALGN,2018-04-02,242.69,254.8,238.17,251.0,927845
ALGN,2018-04-03,243.62,248.0924,240.08,244.01,847526
ALGN,2018-04-04,248.93,250.015,238.5,239.72,752945
ALGN,2018-04-05,255.35,259.73,251.32,251.32,1096548
ALGN,2018-04-06,245.23,255.718,243.2,252.4,909745
ALGN,2018-04-09,249.06,255.26,247.62,248.37,578875
ALGN,2018-04-10,258.27,259.96,252.34,254.17,942501
ALGN,2018-04-11,257.02,260.4587,254.525,255.58,490842
ALGN,2018-04-12,263.76,264.88,258.47,259.62,579685
ALGN,2018-04-13,261.72,267.21,259.5,266.22,594139
ALGN,2018-04-16,265.5,268.32,263.02,264.77,533568
ALGN,2018-04-17,272.65,274.52,267.78,269.17,958148
ALGN,2018-04-18,277.05,280.23,270.57,274.0,885870
ALGN,2018-04-19,252.78,267.0153,250.27,265.82,2458586
ALGN,2018-04-20,247.07,256.66,245.41,253.38,1323286
ALGN,2018-04-23,247.2,251.37,245.0069,248.63,846489
ALGN,2018-04-24,239.66,251.47,235.825,248.62,1267377
ALGN,2018-04-25,245.63,245.78,234.4,238.47,1298132
ALGN,2018-04-26,259.89,266.095,242.71,261.99,2927841
ALGN,2018-04-27,257.9,260.84,251.48,259.99,981712
ALGN,2018-04-30,249.85,258.63,249.58,258.63,1103485
ALGN,2018-05-01,251.34,252.69,247.51,249.21,570351
ALGN,2018-05-02,249.47,252.93,249.17,250.4,746038
ALGN,2018-05-03,255.14,255.41,244.4,249.0,964708
ALGN,2018-05-04,258.97,260.26,246.38,251.99,1020926
ALGN,2018-05-07,265.03,267.04,259.23,259.25,1186251
ALGN,2018-05-08,265.46,266.08,260.23,263.54,820822
ALGN,2018-05-09,268.0,270.6,265.49,265.49,747026
ALGN,2018-05-10,277.73,280.25,267.13,268.01,1202471
ALGN,2018-05-11,286.49,288.36,277.99,278.29,1471608
ALGN,2018-05-14,286.42,296.4699,284.75,286.99,1231448
ALGN,2018-05-15,283.77,284.26,276.81,283.53,868337
ALGN,2018-05-16,287.96,292.82,281.61,283.5,881111
ALGN,2018-05-17,292.72,294.91,287.73,289.52,927859
ALGN,2018-05-18,298.0,299.46,292.76,293.49,900783
ALGN,2018-05-21,302.46,304.99,299.47,300.0,853905
ALGN,2018-05-22,297.86,306.11,294.0,305.96,856189
ALGN,2018-05-23,308.2,308.67,297.17,297.86,1243445
ALGN,2018-05-24,317.04,318.59,308.005,310.13,1347353
