Symbol,Date,Close,High,Low,Open,Volume
ALK,2018-01-01,73.51,73.51,73.51,73.51,0
ALK,2018-01-02,75.01,75.12,73.82,74.04,1738002
ALK,2018-01-03,74.66,75.1,73.685,75.08,1652958
ALK,2018-01-04,73.85,75.08,72.82,74.79,1343896
ALK,2018-01-05,73.74,74.26,73.46,74.26,1087556
ALK,2018-01-08,72.75,73.74,72.2132,73.74,1339880
ALK,2018-01-09,71.29,72.53,71.2,72.1,2398071
ALK,2018-01-10,72.05,72.42,70.0,70.37,1797809
ALK,2018-01-11,74.81,75.46,72.6,72.73,2401820
ALK,2018-01-12,73.52,75.14,73.07,75.0,2946913
ALK,2018-01-15,73.52,73.52,73.52,73.52,0
ALK,2018-01-16,71.28,74.0396,71.16,73.7,2360498
ALK,2018-01-17,70.82,72.53,70.74,71.67,2275844
ALK,2018-01-18,69.79,71.11,69.76,70.99,1979851
ALK,2018-01-19,68.88,70.315,68.35,70.3,3372454
ALK,2018-01-22,68.55,69.17,67.06,68.75,3007437
ALK,2018-01-23,69.47,69.995,68.44,68.56,2557629
ALK,2018-01-24,64.69,66.57,64.51,66.2,6209014
ALK,2018-01-25,62.07,63.53,59.25,62.31,10475991
ALK,2018-01-26,64.54,64.5919,61.51,62.25,3973947
ALK,2018-01-29,65.48,65.93,64.15,64.26,3702733
ALK,2018-01-30,64.2,65.03,63.7668,64.24,2677620
ALK,2018-01-31,65.73,67.03,64.38,64.38,3643134
ALK,2018-02-01,64.08,65.85,64.04,65.54,2492777
ALK,2018-02-02,64.56,65.88,64.0202,65.2,5700907
ALK,2018-02-05,62.74,65.09,62.71,63.86,5581640
ALK,2018-02-06,63.19,63.65,61.08,62.24,4789408
ALK,2018-02-07,64.23,64.96,63.04,63.14,2025459
ALK,2018-02-08,64.04,65.23,63.82,64.25,4271875
ALK,2018-02-09,64.72,65.23,63.64,64.67,5139971
ALK,2018-02-12,66.01,66.79,64.95,65.11,3346500
ALK,2018-02-13,66.89,67.18,65.25,65.45,2907208
ALK,2018-02-14,66.76,67.5,65.72,66.6,2385900
ALK,2018-02-15,66.17,67.27,64.77,66.68,3555568
ALK,2018-02-16,64.97,66.34,64.82,65.83,1860763
ALK,2018-02-19,64.97,64.97,64.97,64.97,0
ALK,2018-02-20,64.39,65.0,63.99,64.94,1540796
ALK,2018-02-21,64.69,66.61,64.36,64.5,2239134
ALK,2018-02-22,64.17,65.7,64.03,65.14,1246691
ALK,2018-02-23,64.98,65.17,63.94,64.45,1365969
ALK,2018-02-26,66.15,66.31,64.44,65.46,1631293
ALK,2018-02-27,64.89,66.635,64.8,66.24,1512871
ALK,2018-02-28,64.5,65.459,64.25,65.03,1130265
ALK,2018-03-01,64.65,66.07,63.85,64.29,2448512
ALK,2018-03-02,63.38,64.355,62.42,64.0,2071243
ALK,2018-03-05,63.62,64.16,62.52,63.05,2347007
ALK,2018-03-06,64.3,64.45,63.22,63.75,1379410
