Symbol,Date,Close,High,Low,Open,Volume
ALL,2018-01-01,104.71,104.71,104.71,104.71,0
ALL,2018-01-02,101.92,104.52,101.68,104.07,4788853
ALL,2018-01-03,101.98,102.74,101.65,101.92,1993808
ALL,2018-01-04,100.8,102.73,100.69,102.26,2017440
ALL,2018-01-05,101.87,101.93,100.22,101.24,1587969
ALL,2018-01-08,101.39,101.85,101.08,101.84,1434930
ALL,2018-01-09,100.94,101.73,100.5,100.65,2223515
ALL,2018-01-10,100.43,101.24,100.31,100.81,2480812
ALL,2018-01-11,100.78,101.155,100.21,100.82,1571670
ALL,2018-01-12,102.11,102.32,99.83,100.9,2404649
ALL,2018-01-15,102.11,102.11,102.11,102.11,0
ALL,2018-01-16,102.13,102.73,101.6101,102.21,1860881
ALL,2018-01-17,103.94,103.99,102.28,102.51,1765381
ALL,2018-01-18,104.0,104.325,102.98,103.85,2909853
ALL,2018-01-19,103.7,104.42,103.13,104.42,1548986
ALL,2018-01-22,104.43,104.43,103.24,103.7,1358108
ALL,2018-01-23,101.25,104.47,100.3,104.22,4676556
ALL,2018-01-24,99.87,101.53,99.58,101.43,4988048
ALL,2018-01-25,100.73,101.01,99.52,100.39,2466911
ALL,2018-01-26,100.53,101.62,99.89,100.94,2777106
ALL,2018-01-29,98.04,100.59,98.0,100.25,2215698
ALL,2018-01-30,98.45,99.3,97.42,97.74,2100127
ALL,2018-01-31,98.77,99.37,98.34,98.5,2146628
ALL,2018-02-01,98.72,99.35,98.01,98.57,2422471
ALL,2018-02-02,97.94,100.06,97.84,98.62,2300754
ALL,2018-02-05,95.02,98.69,95.02,97.27,4883538
ALL,2018-02-06,96.6,96.97,92.72,93.65,4312430
ALL,2018-02-07,96.87,98.295,95.9151,96.14,3174347
ALL,2018-02-08,90.06,96.7,90.02,96.03,5282247
ALL,2018-02-09,90.89,91.41,88.29,91.0,5770568
ALL,2018-02-12,90.73,92.735,90.25,91.6,4116987
ALL,2018-02-13,92.13,92.24,89.59,90.23,3503753
ALL,2018-02-14,95.03,95.125,91.81,91.81,3111405
ALL,2018-02-15,94.52,95.19,93.28,94.97,2807357
ALL,2018-02-16,95.04,95.72,94.07,94.12,2565406
ALL,2018-02-19,95.04,95.04,95.04,95.04,0
ALL,2018-02-20,93.65,94.9,93.25,94.42,2190525
ALL,2018-02-21,93.41,95.04,93.32,93.49,1831291
ALL,2018-02-22,92.8,94.7605,92.49,93.41,2469202
ALL,2018-02-23,94.37,94.45,93.03,93.15,2174951
ALL,2018-02-26,95.75,96.04,94.45,94.69,1979773
ALL,2018-02-27,94.01,96.05,94.0,95.46,2693348
ALL,2018-02-28,92.26,94.76,92.22,94.49,3377734
ALL,2018-03-01,92.06,93.815,91.56,92.33,3582277
ALL,2018-03-02,91.61,91.75,90.66,91.08,1917187
ALL,2018-03-05,92.89,93.37,90.87,91.18,2958623
ALL,2018-03-06,93.43,93.55,92.16,93.29,1771505
ALL,2018-03-07,93.39,93.78,92.46,92.53,2382631
ALL,2018-03-08,94.33,94.41,93.0,93.7,2059553
ALL,2018-03-09,96.03,96.11,94.56,95.0,2874093
ALL,2018-03-12,94.85,95.95,94.63,95.95,2067529
ALL,2018-03-13,96.41,96.6886,95.05,95.44,3349615
ALL,2018-03-14,96.41,97.74,96.12,96.83,2738516
ALL,2018-03-15,96.81,97.48,96.06,96.6,2473763
ALL,2018-03-16,97.53,97.9625,97.0,97.04,3425300
ALL,2018-03-19,96.78,97.74,96.11,97.53,2406472
ALL,2018-03-20,97.39,97.69,96.71,97.02,1441277
ALL,2018-03-21,96.84,97.79,96.67,97.27,1514372
ALL,2018-03-22,94.65,97.07,94.49,96.25,1999166
ALL,2018-03-23,92.25,95.09,92.14,94.76,2036547
ALL,2018-03-26,94.52,94.91,92.87,93.45,1771609
ALL,2018-03-27,93.39,95.07,92.92,94.71,1540361
ALL,2018-03-28,94.61,95.65,93.48,93.71,2173576
ALL,2018-03-29,94.8,95.9,94.8,95.1,2449288
ALL,2018-03-30,94.8,94.8,94.8,94.8,0
ALL,2018-04-02,93.7,96.94,92.111,95.94,2563368
ALL,2018-04-03,95.12,95.46,92.99,93.51,2028678
ALL,2018-04-04,96.53,96.74,94.2801,94.52,1789269
ALL,2018-04-05,97.13,97.78,96.75,97.06,1853300
ALL,2018-04-06,95.9,97.22,95.09,96.39,2159690
ALL,2018-04-09,95.78,97.49,95.44,96.49,1450187
ALL,2018-04-10,97.12,97.6,96.37,96.85,1304881
ALL,2018-04-11,96.2,96.82,95.98,96.34,1739388
ALL,2018-04-12,96.75,97.45,96.47,96.66,1649759
ALL,2018-04-13,96.36,97.69,95.87,97.66,1685855
ALL,2018-04-16,97.53,97.93,96.6,97.08,1765742
ALL,2018-04-17,97.75,99.05,97.52,97.96,1810504
ALL,2018-04-18,97.79,98.085,96.56,97.88,2160235
ALL,2018-04-19,97.98,99.06,97.56,98.18,2360844
ALL,2018-04-20,98.31,99.26,97.76,98.36,1542684
ALL,2018-04-23,98.61,98.9,97.81,98.81,1528419
ALL,2018-04-24,97.39,99.2,96.865,98.54,1952680
ALL,2018-04-25,97.49,97.96,96.415,97.45,2048804
ALL,2018-04-26,97.53,97.84,96.78,97.65,1110867
ALL,2018-04-27,98.19,98.39,97.434,97.45,1292793
ALL,2018-04-30,97.82,99.1,97.82,98.7,1519951
ALL,2018-05-01,98.2,98.2,96.615,97.6,1547201
ALL,2018-05-02,94.06,97.98,92.34,97.8,4938795
ALL,2018-05-03,94.05,94.51,91.78,93.43,2695614
ALL,2018-05-04,94.52,95.13,92.86,93.4,1681825
ALL,2018-05-07,95.06,95.51,93.9,94.57,1729938
ALL,2018-05-08,95.71,96.0,95.16,95.47,2227467
ALL,2018-05-09,96.41,96.46,95.28,95.49,2360468
ALL,2018-05-10,96.1,96.57,95.8,96.55,1541693
ALL,2018-05-11,96.38,97.78,96.06,96.22,1810230
ALL,2018-05-14,95.46,96.79,95.29,96.5,1987339
ALL,2018-05-15,95.86,96.27,95.23,95.51,1900272
ALL,2018-05-16,95.62,96.36,95.2,95.84,1482553
ALL,2018-05-17,95.0,95.53,94.84,95.46,2306880
ALL,2018-05-18,94.92,95.35,94.6,95.17,1854052
ALL,2018-05-21,95.61,95.93,94.78,95.25,1105502
ALL,2018-05-22,95.88,96.5233,95.34,95.6,968672
ALL,2018-05-23,95.59,95.85,95.08,95.52,1448484
ALL,2018-05-24,95.52,95.72,94.69,95.56,1121486
ALL,2018-05-25,95.45,95.715,95.22,95.3,1313212
ALL,2018-05-28,95.45,95.45,95.45,95.45,0
ALL,2018-05-29,94.24,95.0,93.66,94.65,2351149
ALL,2018-05-30,94.37,95.16,93.9,94.4,2107128
ALL,2018-05-31,93.48,94.28,93.21,94.28,1761386
ALL,2018-06-01,93.86,94.4,93.43,94.25,1821377
ALL,2018-06-04,94.25,94.38,93.86,94.22,1031414
ALL,2018-06-05,93.7,94.35,93.265,94.17,2179916
ALL,2018-06-06,93.01,94.39,91.02,94.08,4230242
ALL,2018-06-07,93.2,93.34,92.28,93.15,2140305
ALL,2018-06-08,93.71,93.9284,93.2,93.39,1476816
ALL,2018-06-11,93.62,93.99,93.4,93.62,1290941
ALL,2018-06-12,93.5,94.71,92.94,94.07,2089365
ALL,2018-06-13,93.27,94.92,93.24,93.61,2174285
ALL,2018-06-14,92.8,93.72,92.4,93.59,2131055
ALL,2018-06-15,93.81,93.87,92.37,92.4,4038537
ALL,2018-06-18,92.99,93.16,92.5,93.02,1946373
ALL,2018-06-19,93.48,93.71,92.3,92.3,1773628
ALL,2018-06-20,92.18,93.83,92.02,93.5,1464257
ALL,2018-06-21,92.23,92.86,91.47,92.01,2333405
ALL,2018-06-22,92.24,92.99,92.1,92.74,2587195
ALL,2018-06-25,91.63,92.7299,91.0,92.19,2576315
ALL,2018-06-26,92.22,92.665,91.51,91.85,2107576
