Symbol,Date,Close,High,Low,Open,Volume
ALXN,2018-01-01,119.59,119.59,119.59,119.59,0
ALXN,2018-01-02,124.05,124.3,119.99,121.63,2340519
ALXN,2018-01-03,124.95,126.29,122.41,125.15,2519025
ALXN,2018-01-04,122.69,125.82,122.13,125.82,2094987
ALXN,2018-01-05,122.8,123.91,121.5821,123.91,2733214
ALXN,2018-01-08,119.7,122.8,118.0,122.64,3201102
ALXN,2018-01-09,121.8,122.11,120.0335,120.5,1776086
ALXN,2018-01-10,121.46,121.92,120.13,121.7,1724439
ALXN,2018-01-11,122.48,122.96,120.22,121.5,1571728
ALXN,2018-01-12,122.71,123.63,121.59,123.0,1228288
ALXN,2018-01-15,122.71,122.71,122.71,122.71,0
ALXN,2018-01-16,124.48,126.06,123.0,123.0,4154584
ALXN,2018-01-17,122.12,125.54,121.6,125.54,2074949
ALXN,2018-01-18,120.35,122.43,120.04,122.43,1477282
ALXN,2018-01-19,121.05,121.725,120.38,120.6,1799064
ALXN,2018-01-22,123.67,124.03,120.59,121.24,1430817
ALXN,2018-01-23,125.59,126.16,122.66,123.43,1658218
ALXN,2018-01-24,125.01,129.15,123.875,126.04,1525946
ALXN,2018-01-25,124.95,126.455,124.04,125.88,954565
ALXN,2018-01-26,128.09,128.27,125.4,125.57,1510118
ALXN,2018-01-29,126.79,128.44,126.25,127.33,1259876
ALXN,2018-01-30,122.36,127.5,122.32,126.19,1700188
ALXN,2018-01-31,119.32,122.73,119.19,122.34,2088404
ALXN,2018-02-01,118.09,119.535,116.8901,118.45,2706959
ALXN,2018-02-02,116.15,117.98,115.62,117.42,1389226
ALXN,2018-02-05,112.72,118.615,112.7,117.26,2050656
ALXN,2018-02-06,114.91,115.15,109.61,110.65,2094313
ALXN,2018-02-07,117.15,119.12,113.59,113.95,2695826
ALXN,2018-02-08,108.47,118.84,108.27,116.31,3744416
ALXN,2018-02-09,108.6,110.99,104.951,109.06,3039212
ALXN,2018-02-12,115.43,115.98,109.52,109.56,2659627
ALXN,2018-02-13,113.97,115.36,112.56,114.28,2426517
ALXN,2018-02-14,123.2,123.8,112.59,113.17,3156776
ALXN,2018-02-15,122.71,125.3,120.66,123.07,2595683
ALXN,2018-02-16,120.47,123.17,119.24,122.57,3898513
ALXN,2018-02-19,120.47,120.47,120.47,120.47,0
ALXN,2018-02-20,118.85,122.11,118.47,119.46,2022816
ALXN,2018-02-21,117.1,120.12,117.04,119.43,1555206
