Symbol,Date,Close,High,Low,Open,Volume
AMD,2018-01-01,10.28,10.28,10.28,10.28,0
AMD,2018-01-02,10.98,11.02,10.34,10.42,44146332
AMD,2018-01-03,11.55,12.14,11.36,11.61,154066661
AMD,2018-01-04,12.12,12.43,11.97,12.095,109502970
AMD,2018-01-05,11.88,12.22,11.66,12.19,63808946
AMD,2018-01-08,12.28,12.3,11.85,12.01,63346034
AMD,2018-01-09,11.82,12.02,11.71,12.0,62560940
AMD,2018-01-10,11.96,12.15,11.56,11.63,52561170
AMD,2018-01-11,12.14,12.19,11.9001,12.07,38354916
AMD,2018-01-12,12.02,12.07,11.8,11.82,47149344
AMD,2018-01-15,12.02,12.02,12.02,12.02,0
AMD,2018-01-16,11.91,12.2,11.8,12.05,42686623
AMD,2018-01-17,12.18,12.19,11.82,11.9,39020825
AMD,2018-01-18,12.47,12.68,12.15,12.18,62086151
AMD,2018-01-19,12.59,12.88,12.54,12.56,46800669
AMD,2018-01-22,12.65,12.74,12.37,12.61,34758615
AMD,2018-01-23,12.94,12.995,12.76,12.82,46417226
AMD,2018-01-24,12.71,13.05,12.6,13.02,41956439
AMD,2018-01-25,12.41,12.94,12.32,12.78,42966567
AMD,2018-01-26,12.95,12.95,12.62,12.7,44238971
AMD,2018-01-29,13.32,13.47,13.05,13.13,66645418
AMD,2018-01-30,12.87,13.27,12.69,13.12,91236383
AMD,2018-01-31,13.74,13.85,13.15,13.24,140977843
AMD,2018-02-01,13.25,13.84,13.21,13.62,67543333
AMD,2018-02-02,12.45,13.06,12.43,13.05,79432558
AMD,2018-02-05,11.57,12.18,10.93,12.05,116568862
AMD,2018-02-06,11.65,11.74,11.0,11.04,87123202
AMD,2018-02-07,11.6,11.9,11.53,11.7,55758364
AMD,2018-02-08,11.22,11.85,11.21,11.72,56471761
AMD,2018-02-09,11.31,11.57,10.63,11.54,85458235
AMD,2018-02-12,11.68,11.8,11.43,11.47,63160875
AMD,2018-02-13,11.78,11.82,11.53,11.6,33661383
AMD,2018-02-14,12.2,12.31,11.63,11.72,51756817
AMD,2018-02-15,12.19,12.625,12.07,12.4,59593761
AMD,2018-02-16,11.82,12.225,11.82,12.11,47332348
AMD,2018-02-19,11.82,11.82,11.82,11.82,0
AMD,2018-02-20,12.02,12.19,11.71,11.72,47096492
AMD,2018-02-21,11.72,12.12,11.72,12.12,40195847
AMD,2018-02-22,11.84,11.995,11.63,11.82,37886263
AMD,2018-02-23,12.07,12.16,11.94,11.95,33317579
AMD,2018-02-26,12.42,12.43,12.05,12.14,42265208
AMD,2018-02-27,12.53,12.88,12.39,12.43,55975268
AMD,2018-02-28,12.11,12.73,12.1,12.66,43387460
AMD,2018-03-01,11.9,12.27,11.66,12.26,63207377
AMD,2018-03-02,11.81,11.93,11.43,11.67,58123518
AMD,2018-03-05,11.91,12.055,11.61,11.69,43734836
AMD,2018-03-06,11.76,12.045,11.71,12.01,46751179
AMD,2018-03-07,12.24,12.82,11.55,11.58,127603194
AMD,2018-03-08,11.97,12.59,11.74,12.395,76011217
AMD,2018-03-09,11.7,12.0392,11.58,12.03,89674365
AMD,2018-03-12,11.52,11.82,11.48,11.76,83748671
AMD,2018-03-13,11.64,12.035,11.095,11.5,174302560
AMD,2018-03-14,11.36,11.72,11.26,11.7,80540846
AMD,2018-03-15,11.46,11.55,11.19,11.43,66373911
AMD,2018-03-16,11.47,11.55,11.32,11.49,37590983
AMD,2018-03-19,11.43,11.74,11.351,11.41,53308617
AMD,2018-03-20,11.11,11.52,11.0,11.41,65116930
AMD,2018-03-21,11.26,11.34,11.11,11.16,44691711
AMD,2018-03-22,10.91,11.26,10.85,11.1,59944232
AMD,2018-03-23,10.63,10.97,10.57,10.91,54844461
AMD,2018-03-26,10.44,10.8,10.18,10.71,75878505
AMD,2018-03-27,10.0,10.59,9.9,10.51,68551265
AMD,2018-03-28,9.81,10.1689,9.79,9.99,64832148
AMD,2018-03-29,10.05,10.08,9.81,9.94,48681415
AMD,2018-03-30,10.05,10.05,10.05,10.05,0
AMD,2018-04-02,9.53,10.14,9.51,9.99,64824596
AMD,2018-04-03,9.55,9.77,9.3,9.63,54891576
AMD,2018-04-04,9.77,9.81,9.04,9.08,67356888
AMD,2018-04-05,10.02,10.2,9.91,10.05,65758791
AMD,2018-04-06,9.61,10.1,9.5,9.83,51087146
AMD,2018-04-09,9.53,9.84,9.52,9.75,38382608
AMD,2018-04-10,9.98,10.04,9.71,9.75,43036502
AMD,2018-04-11,9.82,10.03,9.79,9.87,29169324
AMD,2018-04-12,10.08,10.1,9.82,9.98,47784419
AMD,2018-04-13,9.93,10.22,9.88,10.2,38935658
AMD,2018-04-16,10.09,10.17,9.9,10.0,28875069
AMD,2018-04-17,10.52,10.53,10.2,10.28,45360314
AMD,2018-04-18,10.36,10.65,10.33,10.51,42449590
AMD,2018-04-19,10.11,10.3284,9.99,10.18,57841640
AMD,2018-04-20,9.99,10.14,9.95,10.05,39011902
AMD,2018-04-23,10.04,10.19,9.97,10.09,42971272
AMD,2018-04-24,10.09,10.35,9.95,10.19,44992223
AMD,2018-04-25,9.71,10.09,9.56,10.06,90577981
AMD,2018-04-26,11.04,11.19,10.61,10.87,145284090
AMD,2018-04-27,11.11,11.36,11.02,11.2,74347782
AMD,2018-04-30,10.88,11.14,10.87,11.055,50608764
AMD,2018-05-01,11.13,11.15,10.77,10.83,43441602
AMD,2018-05-02,10.97,11.155,10.97,11.1,29267302
AMD,2018-05-03,10.93,11.06,10.83,10.902,33310595
AMD,2018-05-04,11.28,11.29,10.8701,10.88,47884940
AMD,2018-05-07,11.59,11.68,11.3,11.32,54001692
AMD,2018-05-08,11.61,11.66,11.4,11.49,35218414
AMD,2018-05-09,11.95,11.98,11.57,11.65,49605743
AMD,2018-05-10,12.13,12.18,11.95,11.98,49744484
AMD,2018-05-11,11.95,12.03,11.69,11.89,43863746
AMD,2018-05-14,12.23,12.36,12.11,12.14,50263792
AMD,2018-05-15,12.45,12.46,12.16,12.18,44183179
AMD,2018-05-16,12.82,12.98,12.62,12.64,73363996
AMD,2018-05-17,12.82,12.9,12.66,12.79,38692510
