Symbol,Date,Close,High,Low,Open,Volume
AME,2018-01-01,72.47,72.47,72.47,72.47,0
AME,2018-01-02,72.75,73.29,72.14,72.89,791826
AME,2018-01-03,73.39,73.39,72.43,72.43,1118547
AME,2018-01-04,73.98,74.5,73.6,73.67,1166511
AME,2018-01-05,73.79,74.3,73.52,74.12,2134963
AME,2018-01-08,74.28,74.34,73.2,73.73,1642386
AME,2018-01-09,74.0,74.36,73.75,74.19,1166510
AME,2018-01-10,73.72,73.93,73.46,73.79,789229
AME,2018-01-11,74.57,74.58,73.62,73.76,930383
AME,2018-01-12,75.2,75.42,74.6,74.89,738661
AME,2018-01-15,75.2,75.2,75.2,75.2,0
AME,2018-01-16,74.91,75.62,74.59,75.45,774116
AME,2018-01-17,76.03,76.14,75.048,75.38,1297595
AME,2018-01-18,76.07,76.44,75.8,76.36,1174137
AME,2018-01-19,76.98,77.32,76.41,76.41,1649683
AME,2018-01-22,76.5,76.94,76.1,76.8,792259
AME,2018-01-23,77.0,77.38,76.35,76.48,823500
AME,2018-01-24,76.9,77.35,76.1,77.13,806871
AME,2018-01-25,76.98,77.5408,76.38,77.37,695201
AME,2018-01-26,78.08,78.09,76.78,77.37,775336
AME,2018-01-29,77.49,78.155,77.47,77.74,1029674
AME,2018-01-30,76.55,77.9,76.55,77.33,1638371
AME,2018-01-31,76.3,77.24,75.93,76.74,1612107
AME,2018-02-01,77.91,78.51,76.15,77.31,1625763
AME,2018-02-02,77.25,78.37,77.16,77.84,1949820
AME,2018-02-05,73.9,77.46,73.88,76.78,2557551
AME,2018-02-06,74.71,75.32,71.585,72.41,2698939
AME,2018-02-07,74.16,75.0,74.1,74.25,1569087
AME,2018-02-08,72.05,74.49,72.01,74.13,1594486
AME,2018-02-09,72.3,72.92,71.16,72.73,2040009
AME,2018-02-12,74.0,74.33,72.64,73.05,1739764
AME,2018-02-13,74.42,74.56,73.51,73.86,981307
AME,2018-02-14,74.71,74.87,73.84,74.05,902150
AME,2018-02-15,75.84,75.87,74.55,75.35,1162046
AME,2018-02-16,76.55,76.94,75.42,75.56,1391067
AME,2018-02-19,76.55,76.55,76.55,76.55,0
AME,2018-02-20,75.72,77.06,75.64,76.14,1143845
AME,2018-02-21,76.35,77.11,75.82,75.82,1261520
AME,2018-02-22,76.47,77.135,76.29,76.49,744574
AME,2018-02-23,76.76,77.05,75.9,76.89,1005961
AME,2018-02-26,78.4,78.62,76.95,77.19,1271641
AME,2018-02-27,77.68,79.1,77.67,78.35,1054111
AME,2018-02-28,75.74,78.02,75.71,77.88,1494130
AME,2018-03-01,74.18,75.88,73.73,75.75,985410
AME,2018-03-02,74.52,74.7,73.191,73.56,997209
AME,2018-03-05,75.2,75.49,73.605,73.97,935073
AME,2018-03-06,76.11,76.125,74.78,75.53,1074018
AME,2018-03-07,76.52,76.68,74.29,75.28,1322219
AME,2018-03-08,77.25,77.28,76.35,76.75,849013
AME,2018-03-09,78.79,78.81,77.57,77.8,778914
AME,2018-03-12,78.35,78.87,78.11,78.81,969208
AME,2018-03-13,78.38,79.3199,78.13,78.52,807527
AME,2018-03-14,78.2,79.01,78.075,78.95,766439
AME,2018-03-15,77.96,78.58,77.82,78.36,612724
AME,2018-03-16,78.68,78.83,77.73,77.95,1433902
AME,2018-03-19,77.87,78.52,77.17,78.36,830492
AME,2018-03-20,78.43,78.96,78.07,78.2,982687
AME,2018-03-21,78.13,79.15,78.13,78.6,998680
AME,2018-03-22,76.18,77.84,76.12,77.4,1226204
AME,2018-03-23,74.61,76.82,74.53,76.4,931622
AME,2018-03-26,76.79,76.93,74.98,75.71,924151
AME,2018-03-27,75.07,77.01,74.91,76.88,1164033
AME,2018-03-28,74.95,75.59,74.52,75.04,1230450
AME,2018-03-29,75.97,76.56,75.3198,75.49,851989
AME,2018-03-30,75.97,75.97,75.97,75.97,0
AME,2018-04-02,74.66,75.97,73.52,75.97,841288
AME,2018-04-03,75.63,75.67,74.4,74.87,981951
AME,2018-04-04,75.67,75.89,73.89,74.44,883247
AME,2018-04-05,76.41,76.74,75.9,76.04,867453
