Symbol,Date,Close,High,Low,Open,Volume
AMG,2018-01-01,205.25,205.25,205.25,205.25,0
AMG,2018-01-02,203.04,206.52,202.5,206.52,273212
AMG,2018-01-03,202.12,204.97,200.19,204.22,278897
AMG,2018-01-04,198.54,203.73,198.24,202.58,363066
AMG,2018-01-05,199.47,199.71,197.77,198.94,247777
AMG,2018-01-08,200.53,200.97,198.61,199.4,230898
AMG,2018-01-09,200.27,202.86,199.68,200.61,304798
AMG,2018-01-10,198.38,201.985,196.99,200.39,333145
AMG,2018-01-11,200.72,200.72,198.0,198.64,264406
AMG,2018-01-12,202.8,203.12,200.44,201.75,245522
AMG,2018-01-15,202.8,202.8,202.8,202.8,0
AMG,2018-01-16,203.01,206.07,201.51,204.84,387241
AMG,2018-01-17,207.68,208.4999,202.92,204.41,331294
AMG,2018-01-18,205.32,208.24,204.99,207.99,216520
AMG,2018-01-19,212.0,213.86,206.76,206.76,489960
AMG,2018-01-22,213.97,214.0,209.52,211.66,259923
AMG,2018-01-23,212.92,214.534,211.9739,213.84,222408
AMG,2018-01-24,211.45,214.29,210.11,214.27,491660
AMG,2018-01-25,211.0,212.0,209.4,212.0,217130
AMG,2018-01-26,215.76,216.995,211.13,211.31,399447
AMG,2018-01-29,209.21,212.84,203.56,206.15,570975
AMG,2018-01-30,203.22,209.25,201.89,208.25,761698
AMG,2018-01-31,199.63,203.84,197.355,203.84,859692
AMG,2018-02-01,201.76,202.43,196.687,198.39,474274
AMG,2018-02-02,197.11,200.52,195.29,199.86,450329
AMG,2018-02-05,188.5,197.645,186.6,194.65,526223
AMG,2018-02-06,190.7,191.18,181.0135,182.0,702295
AMG,2018-02-07,187.87,191.35,186.67,188.61,590015
AMG,2018-02-08,179.11,187.91,178.921,187.32,719019
AMG,2018-02-09,180.24,182.07,173.93,181.96,593023
AMG,2018-02-12,181.19,184.21,179.48,181.6,381060
AMG,2018-02-13,181.93,182.49,178.64,180.64,638692
AMG,2018-02-14,189.45,189.62,179.9,180.53,689105
