Symbol,Date,Close,High,Low,Open,Volume
AMGN,2018-01-01,173.9,173.9,173.9,173.9,0
AMGN,2018-01-02,177.0,177.8155,174.42,175.35,2301141
AMGN,2018-01-03,180.34,181.4405,175.76,176.91,3083966
AMGN,2018-01-04,179.58,180.86,178.75,180.63,2021054
AMGN,2018-01-05,180.65,180.88,179.03,180.84,2211382
AMGN,2018-01-08,180.6,181.25,178.43,180.48,2356166
AMGN,2018-01-09,183.38,184.53,180.12,180.53,3031748
AMGN,2018-01-10,182.86,183.7,180.37,182.66,2542692
AMGN,2018-01-11,181.96,182.86,181.1,182.86,2101258
AMGN,2018-01-12,185.04,185.61,181.751,182.34,3111445
AMGN,2018-01-15,185.04,185.04,185.04,185.04,0
AMGN,2018-01-16,185.54,187.4499,184.17,185.62,3374626
AMGN,2018-01-17,188.01,189.3,185.9001,187.7,4018235
AMGN,2018-01-18,187.59,188.56,185.5,187.445,3084923
AMGN,2018-01-19,189.28,189.72,187.6,188.36,3652314
AMGN,2018-01-22,192.33,192.57,189.43,189.73,3579782
AMGN,2018-01-23,191.99,196.03,191.6,193.0,3486666
AMGN,2018-01-24,190.63,192.9399,189.51,192.75,2765713
AMGN,2018-01-25,190.08,191.8,188.9,191.4,2471001
AMGN,2018-01-26,196.01,196.8,190.99,191.05,3920250
AMGN,2018-01-29,198.0,201.23,195.65,196.21,4565702
AMGN,2018-01-30,191.27,196.468,190.55,196.18,3990821
AMGN,2018-01-31,186.05,192.27,184.65,191.64,4677703
AMGN,2018-02-01,185.56,186.83,182.33,185.0,4078062
AMGN,2018-02-02,187.01,192.6,183.01,183.46,7030078
AMGN,2018-02-05,174.75,188.5981,174.62,186.82,6922758
AMGN,2018-02-06,176.65,180.28,172.04,177.99,7527691
AMGN,2018-02-07,177.47,180.99,176.0,176.25,5715671
AMGN,2018-02-08,173.12,180.42,173.0,177.93,6026757
AMGN,2018-02-09,173.46,175.46,168.251,174.13,6093941
AMGN,2018-02-12,174.87,176.67,173.0,174.3,4324797
AMGN,2018-02-13,175.94,176.7,172.46,173.87,3834715
AMGN,2018-02-14,179.52,180.31,174.06,174.08,5958665
AMGN,2018-02-15,183.6,185.0,179.895,180.0,4493377
AMGN,2018-02-16,183.55,186.12,182.68,183.8,4365816
AMGN,2018-02-19,183.55,183.55,183.55,183.55,0
AMGN,2018-02-20,182.98,184.31,182.14,182.89,4078367
AMGN,2018-02-21,182.43,185.5,182.4,183.19,4054586
AMGN,2018-02-22,182.45,185.16,182.01,182.51,3868197
AMGN,2018-02-23,186.67,186.79,182.7701,183.63,4163363
AMGN,2018-02-26,188.5,190.37,187.03,187.46,4943620
AMGN,2018-02-27,185.79,190.1,185.55,188.83,5016122
AMGN,2018-02-28,183.77,187.39,183.69,185.88,4543991
AMGN,2018-03-01,183.29,185.57,180.3847,184.21,11757819
AMGN,2018-03-02,185.08,185.8,181.05,181.06,19115483
AMGN,2018-03-05,190.13,190.69,185.0,185.05,15187803
AMGN,2018-03-06,190.35,191.64,186.93,188.2,18446497
AMGN,2018-03-07,187.53,190.22,186.41,189.73,7009925
AMGN,2018-03-08,187.16,188.4,185.51,187.9,9192574
AMGN,2018-03-09,191.1,191.38,186.32,188.0,5674128
AMGN,2018-03-12,189.3,190.39,188.32,189.5,6972437
AMGN,2018-03-13,189.75,190.83,188.631,189.6,4712854
AMGN,2018-03-14,190.57,192.62,189.8,191.18,3613278
AMGN,2018-03-15,189.75,190.88,187.91,190.05,3320541
AMGN,2018-03-16,188.24,190.25,187.23,189.75,16878417
AMGN,2018-03-19,182.55,187.93,180.665,187.29,3970418
AMGN,2018-03-20,182.03,184.02,181.1675,183.06,2582201
AMGN,2018-03-21,181.59,184.04,181.4,181.43,2531127
AMGN,2018-03-22,176.08,180.75,176.0,179.92,3553034
AMGN,2018-03-23,169.43,179.18,169.35,176.57,4529564
AMGN,2018-03-26,175.19,175.87,170.11,172.78,4217074
AMGN,2018-03-27,171.15,176.36,169.82,176.16,3963147
AMGN,2018-03-28,170.46,172.5,168.02,171.35,4545862
AMGN,2018-03-29,170.48,172.235,169.64,170.99,3769788
AMGN,2018-03-30,170.48,170.48,170.48,170.48,0
AMGN,2018-04-02,166.05,170.58,163.31,169.92,4759751
AMGN,2018-04-03,168.22,169.22,165.08,166.97,3373984
AMGN,2018-04-04,173.52,174.27,165.88,166.17,3796683
AMGN,2018-04-05,172.0,174.43,170.99,174.0,2766596
AMGN,2018-04-06,168.14,171.72,166.2,170.86,3747770
AMGN,2018-04-09,169.62,172.95,167.99,169.2,3856821
AMGN,2018-04-10,173.13,173.88,170.11,170.89,2907981
AMGN,2018-04-11,172.41,174.07,171.6,171.8,2575883
AMGN,2018-04-12,171.02,174.11,170.96,172.68,3471370
AMGN,2018-04-13,171.48,172.43,170.79,172.11,2656377
AMGN,2018-04-16,171.38,173.13,171.07,172.75,2656361
AMGN,2018-04-17,174.88,175.6321,171.58,173.0,3283901
AMGN,2018-04-18,175.11,176.16,174.44,174.61,2205595
AMGN,2018-04-19,172.93,175.4,171.79,174.47,2269424
AMGN,2018-04-20,171.56,173.47,170.57,173.1,2958550
AMGN,2018-04-23,174.66,176.97,171.25,171.62,3568697
AMGN,2018-04-24,171.94,175.76,170.53,175.55,4389385
AMGN,2018-04-25,174.83,175.44,170.34,173.66,4693756
AMGN,2018-04-26,175.37,176.68,171.7901,175.42,3682396
AMGN,2018-04-27,177.46,177.92,174.8554,174.92,2424823
AMGN,2018-04-30,174.48,178.74,174.35,177.91,3608703
AMGN,2018-05-01,169.28,173.99,167.98,172.15,4799360
AMGN,2018-05-02,169.43,171.07,168.3,169.3,4085731
AMGN,2018-05-03,166.39,170.34,166.05,169.28,4152914
AMGN,2018-05-04,167.98,169.5,165.22,165.96,3429998
AMGN,2018-05-07,168.06,169.9299,167.5,168.58,3175776
AMGN,2018-05-08,168.49,170.5,167.5,168.81,3937743
AMGN,2018-05-09,169.64,170.53,167.09,168.7,2861407
AMGN,2018-05-10,170.77,171.49,169.36,170.26,2947132
AMGN,2018-05-11,173.89,174.35,170.03,170.38,3740536
AMGN,2018-05-14,175.96,177.8,173.04,174.1,3370643
AMGN,2018-05-15,172.34,175.31,171.1,174.81,4491682
AMGN,2018-05-16,173.8,174.58,170.62,171.35,2494165
AMGN,2018-05-17,174.65,175.43,172.53,173.31,2268360
AMGN,2018-05-18,176.3,177.34,174.69,176.51,3377156
AMGN,2018-05-21,176.47,177.94,175.9,177.12,2557238
AMGN,2018-05-22,178.36,179.57,176.51,176.71,2742654
