Symbol,Date,Close,High,Low,Open,Volume
AMP,2018-01-01,169.47,169.47,169.47,169.47,0
AMP,2018-01-02,169.91,170.72,168.85,170.64,812370
AMP,2018-01-03,169.07,170.19,168.67,169.95,798721
AMP,2018-01-04,169.69,171.41,169.6,169.74,870171
AMP,2018-01-05,170.27,170.475,169.65,170.32,819234
AMP,2018-01-08,172.0,172.27,169.23,170.38,1006302
AMP,2018-01-09,174.08,176.17,172.89,172.97,1639414
AMP,2018-01-10,175.83,176.08,173.44,173.92,901852
AMP,2018-01-11,178.98,179.41,176.33,176.62,726764
AMP,2018-01-12,182.04,182.37,178.75,179.64,1153204
AMP,2018-01-15,182.04,182.04,182.04,182.04,0
AMP,2018-01-16,177.31,183.9,176.89,183.59,1618534
AMP,2018-01-17,178.47,179.27,175.66,177.47,1202439
AMP,2018-01-18,177.57,180.9,177.23,178.5,752584
AMP,2018-01-19,178.81,180.42,177.04,178.01,1246706
AMP,2018-01-22,177.94,179.285,176.81,178.9,1131821
AMP,2018-01-23,178.31,178.76,176.27,177.27,1142111
AMP,2018-01-24,180.31,180.52,177.215,179.29,1537097
AMP,2018-01-25,173.13,180.3367,172.41,179.41,1920083
AMP,2018-01-26,179.84,179.93,172.7,173.77,1487325
AMP,2018-01-29,177.45,180.99,177.08,179.54,887730
AMP,2018-01-30,172.01,176.87,171.84,175.99,1190613
AMP,2018-01-31,168.7,173.79,167.44,172.67,1458786
AMP,2018-02-01,171.08,171.17,168.22,168.61,1172450
AMP,2018-02-02,167.5,171.05,166.8,169.99,1095363
AMP,2018-02-05,160.39,167.62,159.83,165.77,1739273
AMP,2018-02-06,160.56,161.84,154.03,154.52,1900163
AMP,2018-02-07,160.11,164.34,159.0,159.33,1313224
AMP,2018-02-08,152.5,160.9,152.445,160.1,1608326
AMP,2018-02-09,153.88,155.64,148.62,154.78,1484579
AMP,2018-02-12,155.91,158.1,154.75,155.64,1079021
AMP,2018-02-13,156.62,157.48,153.62,154.78,1544948
AMP,2018-02-14,160.55,160.84,154.525,155.49,1068586
AMP,2018-02-15,159.0,161.75,157.41,161.59,910193
AMP,2018-02-16,159.81,160.88,158.08,158.15,769777
AMP,2018-02-19,159.81,159.81,159.81,159.81,0
AMP,2018-02-20,158.76,160.95,157.65,158.57,771934
AMP,2018-02-21,159.38,163.88,158.49,159.05,988006
AMP,2018-02-22,158.01,161.18,157.73,160.63,784218
AMP,2018-02-23,160.28,160.41,158.5083,158.89,770974
AMP,2018-02-26,162.32,162.67,160.45,161.28,662718
AMP,2018-02-27,159.77,163.85,159.71,162.24,1005396
AMP,2018-02-28,156.44,161.38,156.36,160.12,1211325
AMP,2018-03-01,153.66,157.19,152.34,156.33,1309446
AMP,2018-03-02,150.91,152.1,147.9,151.35,1661171
AMP,2018-03-05,155.62,156.06,148.0,149.56,1318164
AMP,2018-03-06,155.57,156.515,154.02,156.32,646073
AMP,2018-03-07,155.74,156.09,153.665,153.93,886093
AMP,2018-03-08,156.41,156.7,154.31,156.41,737322
AMP,2018-03-09,161.11,161.58,157.12,158.01,816108
AMP,2018-03-12,159.88,161.16,159.39,160.9,682379
AMP,2018-03-13,158.91,161.52,158.345,160.84,1174954
AMP,2018-03-14,157.01,159.99,156.58,159.99,559857
AMP,2018-03-15,155.39,157.59,155.04,157.32,815731
AMP,2018-03-16,157.1,158.61,155.19,155.55,1525891
AMP,2018-03-19,156.04,157.69,154.83,156.79,581987
AMP,2018-03-20,157.14,158.0,156.525,156.91,912891
AMP,2018-03-21,157.86,159.95,154.91,157.29,698998
AMP,2018-03-22,151.06,156.475,150.9,155.8,1123594
AMP,2018-03-23,144.89,152.37,144.55,151.18,1063530
AMP,2018-03-26,149.55,149.95,146.5,147.77,1242543
AMP,2018-03-27,147.31,151.54,146.15,150.01,950517
AMP,2018-03-28,146.96,148.28,145.0,147.79,1268122
AMP,2018-03-29,147.94,149.7,147.11,147.58,1074526
AMP,2018-03-30,147.94,147.94,147.94,147.94,0
AMP,2018-04-02,142.67,148.33,140.1,147.59,1248110
AMP,2018-04-03,144.7,145.06,142.11,143.76,1157534
AMP,2018-04-04,145.7,146.07,141.65,141.65,918026
AMP,2018-04-05,145.97,146.95,145.18,146.64,1026084
AMP,2018-04-06,141.31,144.72,140.19,143.72,763089
AMP,2018-04-09,141.38,144.73,141.25,142.32,608029
AMP,2018-04-10,144.29,145.1599,143.18,143.37,708757
AMP,2018-04-11,141.37,142.78,140.74,142.78,640895
AMP,2018-04-12,143.53,144.48,141.92,142.2,868207
AMP,2018-04-13,141.63,145.03,141.02,144.86,715864
AMP,2018-04-16,143.59,145.21,141.66,143.05,979953
AMP,2018-04-17,144.07,146.385,143.72,144.9,1578806
AMP,2018-04-18,144.62,146.32,144.38,144.4,893052
AMP,2018-04-19,145.58,146.82,144.71,144.71,1240191
AMP,2018-04-20,143.69,146.12,143.32,146.0,1388044
AMP,2018-04-23,145.49,147.47,143.7,144.1,1332330
AMP,2018-04-24,142.66,152.565,141.36,149.01,1852299
AMP,2018-04-25,141.44,143.0,140.11,141.71,1227491
AMP,2018-04-26,142.18,143.55,140.185,141.66,1472988
AMP,2018-04-27,141.74,143.38,141.49,142.06,858734
AMP,2018-04-30,140.21,143.5,140.19,142.1,835381
AMP,2018-05-01,139.05,140.92,138.15,140.05,1152984
AMP,2018-05-02,132.99,138.51,132.59,137.57,2193137
AMP,2018-05-03,131.49,133.64,129.87,132.38,1589871
AMP,2018-05-04,134.57,135.55,130.57,130.57,1126198
AMP,2018-05-07,134.1,135.53,133.11,134.83,1437407
AMP,2018-05-08,134.31,135.17,133.045,133.77,1639824
AMP,2018-05-09,134.24,135.26,133.66,135.15,1410745
AMP,2018-05-10,135.51,136.64,133.74,134.21,1064083
AMP,2018-05-11,137.07,138.88,136.25,136.25,943834
AMP,2018-05-14,138.96,139.72,137.6,137.61,1512469
AMP,2018-05-15,138.16,139.32,137.72,138.27,1226623
AMP,2018-05-16,139.91,140.88,138.06,138.06,1006650
AMP,2018-05-17,141.45,142.185,139.15,139.67,1382487
AMP,2018-05-18,141.01,141.7,140.3,141.35,1026914
AMP,2018-05-21,142.49,143.69,142.09,142.15,991905
AMP,2018-05-22,144.24,145.21,142.61,142.75,1039391
AMP,2018-05-23,142.17,143.44,140.21,142.99,982947
AMP,2018-05-24,142.62,143.01,140.56,141.51,775166
AMP,2018-05-25,142.23,143.17,141.46,141.82,960537
AMP,2018-05-28,142.23,142.23,142.23,142.23,0
AMP,2018-05-29,136.27,140.28,135.42,140.1,976311
AMP,2018-05-30,139.51,140.21,137.56,138.0,973323
AMP,2018-05-31,138.63,140.21,138.05,140.21,1864693
AMP,2018-06-01,140.25,141.52,139.67,140.97,979528
AMP,2018-06-04,140.3,141.305,139.59,140.91,813903
AMP,2018-06-05,139.66,140.49,137.845,139.87,1116187
