Symbol,Date,Close,High,Low,Open,Volume
AMT,2018-01-01,142.67,142.67,142.67,142.67,0
AMT,2018-01-02,141.13,143.22,140.91,143.16,1881211
AMT,2018-01-03,141.68,142.5,140.86,141.05,1770593
AMT,2018-01-04,139.61,141.96,139.58,141.44,1729564
AMT,2018-01-05,140.51,140.7,139.59,140.23,2119359
AMT,2018-01-08,142.01,143.24,140.66,140.66,1882127
AMT,2018-01-09,141.05,142.25,140.86,142.1,1581550
AMT,2018-01-10,137.61,140.6,136.03,140.41,3330524
AMT,2018-01-11,134.97,138.01,134.51,138.0,3244102
AMT,2018-01-12,133.0,135.5,132.54,135.39,3197282
AMT,2018-01-15,133.0,133.0,133.0,133.0,0
AMT,2018-01-16,135.63,137.9999,133.24,133.24,3193909
AMT,2018-01-17,136.64,137.1599,135.55,136.12,1999706
AMT,2018-01-18,135.19,136.67,134.72,136.58,3416403
AMT,2018-01-19,137.62,137.68,134.75,135.9,3284691
AMT,2018-01-22,139.24,139.24,137.41,137.69,1826817
AMT,2018-01-23,141.2,141.44,139.2,139.51,2923425
AMT,2018-01-24,141.76,142.6799,141.01,141.1,3061531
AMT,2018-01-25,142.96,143.06,141.5,142.46,2409540
AMT,2018-01-26,145.13,145.135,142.8355,143.14,2107947
AMT,2018-01-29,144.33,145.99,143.68,144.9,3901721
AMT,2018-01-30,145.15,145.66,142.8352,143.88,2440014
AMT,2018-01-31,147.7,148.84,145.24,145.41,3184697
AMT,2018-02-01,147.06,149.36,146.54,148.02,2351036
AMT,2018-02-02,145.22,146.74,144.23,146.44,2474550
AMT,2018-02-05,142.04,146.29,141.77,144.14,3000876
AMT,2018-02-06,140.17,142.17,137.63,140.28,3817038
AMT,2018-02-07,140.0,142.33,139.24,139.85,2245859
AMT,2018-02-08,133.57,140.93,133.46,139.88,3890078
AMT,2018-02-09,136.05,136.93,130.37,134.35,3977336
AMT,2018-02-12,136.23,137.23,133.83,136.99,3820973
AMT,2018-02-13,136.31,136.92,134.86,136.03,3710257
AMT,2018-02-14,135.48,135.9,132.62,135.03,4829308
AMT,2018-02-15,136.22,136.93,133.045,135.56,3223301
AMT,2018-02-16,140.02,141.05,135.8,135.86,3024737
AMT,2018-02-19,140.02,140.02,140.02,140.02,0
AMT,2018-02-20,139.24,140.7,138.67,139.16,2220485
AMT,2018-02-21,137.44,140.25,137.34,139.43,2812090
AMT,2018-02-22,138.98,140.48,137.23,137.96,3075900
AMT,2018-02-23,141.87,141.87,138.87,139.6,1925002
AMT,2018-02-26,142.74,142.95,142.08,142.14,2214061
AMT,2018-02-27,140.7,142.99,135.81,142.72,4572523
AMT,2018-02-28,139.33,141.62,139.31,141.31,4015611
AMT,2018-03-01,135.37,139.62,134.91,139.0,3177951
AMT,2018-03-02,134.0,134.75,132.02,134.63,3224579
AMT,2018-03-05,136.81,137.24,133.27,133.27,2486090
AMT,2018-03-06,138.88,140.43,136.21,136.73,3144476
AMT,2018-03-07,140.0,140.84,137.63,137.99,2749973
AMT,2018-03-08,142.74,142.87,140.11,140.51,3025499
AMT,2018-03-09,143.58,144.325,142.53,142.67,2172253
AMT,2018-03-12,145.08,145.7,143.31,143.31,2443005
AMT,2018-03-13,146.25,150.12,145.32,145.32,2159068
AMT,2018-03-14,146.46,147.32,145.59,146.5,2467355
AMT,2018-03-15,146.65,147.425,145.91,146.98,2142766
AMT,2018-03-16,146.55,147.1999,145.37,146.37,4063123
AMT,2018-03-19,145.12,146.62,144.02,146.26,2581653
AMT,2018-03-20,146.31,147.68,145.38,145.38,2491059
AMT,2018-03-21,142.33,146.81,142.18,146.81,2422311
AMT,2018-03-22,143.01,145.1915,141.28,141.87,2454067
AMT,2018-03-23,142.27,144.84,141.91,142.98,2228627
AMT,2018-03-26,145.21,145.51,142.61,144.23,2172577
AMT,2018-03-27,144.46,147.15,142.97,145.14,3043186
AMT,2018-03-28,144.3,146.205,144.06,144.31,2423063
AMT,2018-03-29,145.34,145.82,143.61,144.8,2978285
