Symbol,Date,Close,High,Low,Open,Volume
AMZN,2018-01-01,1169.47,1169.47,1169.47,1169.47,0
AMZN,2018-01-02,1189.01,1190.0,1170.51,1172.0,2694494
AMZN,2018-01-03,1204.2,1205.49,1188.3,1188.3,3108793
AMZN,2018-01-04,1209.59,1215.8699,1204.66,1205.0,3022089
AMZN,2018-01-05,1229.14,1229.14,1210.0,1217.51,3544743
AMZN,2018-01-08,1246.87,1253.079,1232.03,1236.0,4279475
AMZN,2018-01-09,1252.7,1259.33,1241.76,1256.9,3661316
AMZN,2018-01-10,1254.33,1254.33,1237.23,1245.15,2686017
AMZN,2018-01-11,1276.68,1276.77,1256.46,1259.74,3125048
AMZN,2018-01-12,1305.2,1305.76,1273.3925,1273.3925,5443730
AMZN,2018-01-15,1305.2,1305.2,1305.2,1305.2,0
AMZN,2018-01-16,1304.86,1339.94,1292.3,1323.0,7220701
AMZN,2018-01-17,1295.0,1314.0,1280.88,1312.24,5253754
AMZN,2018-01-18,1293.32,1304.6,1284.02,1293.95,4026915
AMZN,2018-01-19,1294.58,1313.0,1292.99,1312.0,4578536
AMZN,2018-01-22,1327.31,1327.45,1296.6636,1297.17,4140061
AMZN,2018-01-23,1362.54,1364.9,1337.34,1338.09,5169306
AMZN,2018-01-24,1357.51,1388.16,1338.0,1374.82,6807457
AMZN,2018-01-25,1377.95,1378.34,1357.62,1368.0,4753012
AMZN,2018-01-26,1402.05,1402.53,1380.91,1392.01,4857310
AMZN,2018-01-29,1417.68,1431.39,1400.44,1409.18,5701898
AMZN,2018-01-30,1437.82,1439.25,1392.0,1403.17,5871942
AMZN,2018-01-31,1450.89,1472.58,1450.04,1451.3,6424693
AMZN,2018-02-01,1390.0,1459.8799,1385.1419,1445.0,9113808
AMZN,2018-02-02,1429.95,1498.0,1414.0,1477.39,11125722
AMZN,2018-02-05,1390.0,1458.98,1320.72,1402.62,11494985
AMZN,2018-02-06,1442.84,1443.99,1351.79,1361.46,11066819
