Symbol,Date,Close,High,Low,Open,Volume
APC,2018-01-01,53.64,53.64,53.64,53.64,0
APC,2018-01-02,54.77,54.85,54.0,54.13,3829887
APC,2018-01-03,54.77,55.46,54.65,54.7,4328261
APC,2018-01-04,55.65,55.67,54.26,54.94,4500777
APC,2018-01-05,55.02,55.73,54.565,55.4,3920786
APC,2018-01-08,55.39,55.56,54.65,54.97,4765018
APC,2018-01-09,55.52,55.92,55.245,55.66,4637033
APC,2018-01-10,55.41,56.52,55.37,55.61,4625033
APC,2018-01-11,58.5,59.04,55.58,55.78,11122228
APC,2018-01-12,58.98,59.17,58.19,58.82,4907195
APC,2018-01-15,58.98,58.98,58.98,58.98,0
APC,2018-01-16,58.55,59.72,58.51,58.94,6092529
APC,2018-01-17,58.97,59.525,57.9086,58.75,4472747
APC,2018-01-18,58.29,59.15,58.07,58.73,4229556
APC,2018-01-19,58.2,58.47,57.88,58.03,6056385
APC,2018-01-22,60.72,60.73,58.2,58.3,6220088
APC,2018-01-23,60.94,61.37,60.2001,60.85,6338221
APC,2018-01-24,61.43,61.78,60.73,61.25,5828912
APC,2018-01-25,61.49,61.84,60.98,61.48,7888249
APC,2018-01-26,61.84,62.51,61.3,61.62,5981721
APC,2018-01-29,60.96,62.35,60.855,61.44,3379968
APC,2018-01-30,59.75,60.48,58.96,60.18,5362427
APC,2018-01-31,60.05,60.36,59.44,59.75,3910249
APC,2018-02-01,61.37,61.5,60.05,60.58,4614176
APC,2018-02-02,59.11,60.81,58.88,60.59,8902338
APC,2018-02-05,56.85,59.5,56.53,58.13,8064603
APC,2018-02-06,57.49,57.56,53.97,55.95,8742165
APC,2018-02-07,58.72,61.23,57.67,60.76,12011935
APC,2018-02-08,56.2,59.78,56.18,59.07,8008036
APC,2018-02-09,56.13,57.24,53.8476,56.76,8746600
APC,2018-02-12,57.82,58.6932,56.83,57.0,6654901
APC,2018-02-13,57.18,57.89,56.77,57.33,4234710
APC,2018-02-14,59.78,59.94,56.2,56.4,5783251
APC,2018-02-15,59.62,60.0,58.54,59.96,5431858
APC,2018-02-16,59.18,60.115,59.07,59.34,3857361
APC,2018-02-19,59.18,59.18,59.18,59.18,0
APC,2018-02-20,59.25,61.05,59.16,59.3,5979258
APC,2018-02-21,57.27,59.69,57.23,59.24,6568559
APC,2018-02-22,58.28,59.54,57.67,57.85,4823311
APC,2018-02-23,60.82,60.99,58.5,58.89,5063642
APC,2018-02-26,60.4,61.46,59.91,61.24,4283420
APC,2018-02-27,58.47,60.4,58.45,60.21,5515821
APC,2018-02-28,57.04,58.995,57.02,58.45,5429619
APC,2018-03-01,57.12,57.83,56.65,57.19,4270399
APC,2018-03-02,57.45,57.63,56.04,56.71,6565576
APC,2018-03-05,58.95,59.35,57.04,57.24,6540703
APC,2018-03-06,58.81,59.34,58.35,59.34,3803490
APC,2018-03-07,57.72,59.14,57.46,58.24,5257298
APC,2018-03-08,57.08,58.0,56.63,57.65,4725076
APC,2018-03-09,58.03,58.38,57.48,57.58,4359895
APC,2018-03-12,58.98,59.26,57.87,58.0,4073431
APC,2018-03-13,58.55,59.5,58.28,59.09,3111356
APC,2018-03-14,58.92,59.37,58.58,58.71,4076723
APC,2018-03-15,57.91,59.87,57.72,59.24,6348733
APC,2018-03-16,58.53,59.33,58.07,58.07,4680811
APC,2018-03-19,57.02,58.46,56.6261,57.91,4394278
APC,2018-03-20,58.48,59.35,57.54,57.64,4343205
APC,2018-03-21,61.5,61.63,58.86,58.92,7388248
APC,2018-03-22,60.66,61.465,60.13,60.54,6470649
APC,2018-03-23,61.56,63.05,61.07,61.36,6852141
APC,2018-03-26,62.59,62.69,60.73,62.39,4982491
APC,2018-03-27,60.8,63.05,60.38,63.0,4447475
APC,2018-03-28,58.9,61.59,58.75,60.81,6661276
APC,2018-03-29,60.41,60.68,59.21,59.51,5891234
APC,2018-03-30,60.41,60.41,60.41,60.41,0
APC,2018-04-02,58.17,60.13,56.79,60.09,5988784
APC,2018-04-03,59.2,59.3199,57.36,58.66,3837846
APC,2018-04-04,59.08,59.245,57.63,58.02,3572658
APC,2018-04-05,60.11,60.78,59.37,59.42,5008262
APC,2018-04-06,58.86,60.27,57.74,59.5,10749711
APC,2018-04-09,59.83,61.025,59.12,59.38,5066539
APC,2018-04-10,61.81,62.7,60.7,60.76,6270964
