Symbol,Date,Close,High,Low,Open,Volume
APD,2018-01-01,164.08,164.08,164.08,164.08,0
APD,2018-01-02,165.51,165.54,163.8,164.88,1051894
APD,2018-01-03,166.41,166.62,165.0,165.56,798204
APD,2018-01-04,167.05,167.85,166.675,167.31,932370
APD,2018-01-05,168.45,168.97,167.09,167.96,742202
APD,2018-01-08,168.63,168.81,167.12,168.26,802117
APD,2018-01-09,169.06,170.485,168.38,169.07,834852
APD,2018-01-10,168.35,169.1914,167.77,169.08,902678
APD,2018-01-11,169.97,170.53,168.76,169.04,695181
APD,2018-01-12,170.15,170.31,168.92,170.0,648674
APD,2018-01-15,170.15,170.15,170.15,170.15,0
APD,2018-01-16,166.75,171.49,165.76,171.43,1115533
APD,2018-01-17,168.56,169.16,167.2,168.25,806367
APD,2018-01-18,166.9,168.9875,166.25,167.8,1032532
APD,2018-01-19,167.8,167.98,166.76,167.0,1057417
APD,2018-01-22,168.6,168.68,166.55,167.64,976833
APD,2018-01-23,169.6,169.71,167.65,167.99,1058563
APD,2018-01-24,170.81,171.11,169.74,169.75,877653
APD,2018-01-25,174.0,175.17,171.69,171.69,2585876
APD,2018-01-26,169.85,171.28,162.69,164.23,2700882
APD,2018-01-29,166.67,170.31,165.96,166.95,2032487
APD,2018-01-30,168.3,168.93,165.89,166.7,1790584
APD,2018-01-31,168.37,169.34,167.17,168.98,1867806
APD,2018-02-01,166.79,168.3,165.35,167.21,1476987
APD,2018-02-02,162.84,166.4,162.5789,166.4,1356909
APD,2018-02-05,156.33,163.54,155.55,162.41,1707475
APD,2018-02-06,160.22,160.79,153.51,154.35,2396601
APD,2018-02-07,158.21,161.83,158.11,159.59,1650018
APD,2018-02-08,152.8,158.65,152.71,158.11,1218682
APD,2018-02-09,158.09,159.01,152.88,155.16,1787004
APD,2018-02-12,159.68,160.7,158.35,159.04,1266296
APD,2018-02-13,159.44,160.0586,157.64,159.27,1189327
APD,2018-02-14,161.27,161.665,157.49,157.87,1115468
APD,2018-02-15,163.6,164.04,160.0,162.01,1092687
APD,2018-02-16,163.63,164.42,161.92,163.17,1195187
APD,2018-02-19,163.63,163.63,163.63,163.63,0
APD,2018-02-20,162.91,164.01,162.31,162.82,1248744
APD,2018-02-21,160.76,164.875,160.71,163.06,711651
APD,2018-02-22,162.57,163.52,160.71,161.61,771870
APD,2018-02-23,164.27,164.31,162.8,163.78,632615
APD,2018-02-26,165.44,165.84,163.57,164.49,891655
APD,2018-02-27,163.61,166.47,163.61,165.74,757210
APD,2018-02-28,160.79,164.97,160.75,163.72,816445
APD,2018-03-01,160.83,161.57,159.17,160.69,1453108
APD,2018-03-02,159.77,160.59,157.92,160.26,1560262
APD,2018-03-05,163.28,163.62,158.855,159.13,990493
APD,2018-03-06,164.2,165.53,161.99,163.55,771666
APD,2018-03-07,164.53,165.005,162.39,162.54,893738
APD,2018-03-08,167.08,168.44,165.03,166.06,1990659
APD,2018-03-09,171.1,171.41,167.635,168.41,1369881
APD,2018-03-12,170.88,171.94,170.2,171.13,1210500
