Symbol,Date,Close,High,Low,Open,Volume
APH,2018-01-01,87.8,87.8,87.8,87.8,0
APH,2018-01-02,87.8,88.85,87.5501,88.47,1227466
APH,2018-01-03,88.94,88.96,87.5001,87.58,1342023
APH,2018-01-04,88.63,89.27,88.63,89.0,1398304
APH,2018-01-05,89.71,89.81,88.9,89.14,1101917
APH,2018-01-08,90.67,90.71,89.64,89.64,1361341
APH,2018-01-09,90.81,91.51,90.76,91.0,1250130
APH,2018-01-10,89.51,90.69,89.26,90.59,936307
APH,2018-01-11,90.79,90.82,89.33,89.52,769773
APH,2018-01-12,91.83,91.94,90.4625,90.86,845965
APH,2018-01-15,91.83,91.83,91.83,91.83,0
APH,2018-01-16,91.28,92.61,91.19,92.0,1482074
APH,2018-01-17,92.85,93.0,91.12,91.95,933823
APH,2018-01-18,92.29,93.28,92.12,92.87,1516392
APH,2018-01-19,93.13,93.62,92.88,93.16,1790558
APH,2018-01-22,91.98,93.49,91.78,93.13,2060798
APH,2018-01-23,91.82,92.2,91.67,91.95,1486278
APH,2018-01-24,91.2,93.53,90.96,92.66,2465934
APH,2018-01-25,91.2,92.68,91.0,91.5,2190257
APH,2018-01-26,92.73,92.73,90.94,91.74,1661556
APH,2018-01-29,92.13,93.0,91.965,92.36,1988233
APH,2018-01-30,92.55,93.03,91.2,91.36,1510745
APH,2018-01-31,92.77,93.11,92.4,93.07,1541989
APH,2018-02-01,92.82,93.52,91.4,91.4,1321914
APH,2018-02-02,91.25,92.84,91.19,92.53,1700830
APH,2018-02-05,88.41,92.01,88.08,90.76,1915134
APH,2018-02-06,88.56,88.88,85.71,86.72,2469254
APH,2018-02-07,88.28,89.83,87.46,88.01,1782008
APH,2018-02-08,84.44,88.52,84.4,88.24,2568751
APH,2018-02-09,84.78,85.45,82.15,84.94,2680062
APH,2018-02-12,86.41,86.9,85.69,85.79,1797787
APH,2018-02-13,86.88,87.08,85.8,85.84,874556
APH,2018-02-14,87.34,87.44,86.24,86.3,1073923
APH,2018-02-15,89.14,89.14,87.79,88.01,1628132
APH,2018-02-16,89.99,90.72,88.65,88.75,1227940
APH,2018-02-19,89.99,89.99,89.99,89.99,0
APH,2018-02-20,90.36,90.83,89.3,89.5,1181133
APH,2018-02-21,90.42,91.55,90.42,90.49,1032964
APH,2018-02-22,90.23,91.2,90.06,90.79,1210859
APH,2018-02-23,90.83,90.86,89.92,90.48,971319
APH,2018-02-26,92.41,92.425,90.7,91.07,803407
APH,2018-02-27,91.94,93.53,91.94,92.59,1142942
APH,2018-02-28,91.39,92.7,91.38,92.4,1269923
APH,2018-03-01,88.95,91.56,88.24,91.15,1567691
APH,2018-03-02,89.65,89.85,88.14,88.5,1151699
APH,2018-03-05,89.18,89.72,88.22,88.98,1088635
APH,2018-03-06,89.75,90.13,89.125,89.5,1034624
APH,2018-03-07,90.26,90.48,88.51,88.81,1103587
APH,2018-03-08,90.58,90.65,89.93,90.32,1351620
APH,2018-03-09,92.44,92.65,90.846,91.13,1195053
APH,2018-03-12,92.66,93.07,92.34,92.51,1305126
APH,2018-03-13,92.51,93.5,92.22,93.16,886865
APH,2018-03-14,91.37,92.96,91.205,92.85,575243
APH,2018-03-15,91.95,92.39,91.21,91.55,692688
APH,2018-03-16,92.0,92.93,91.47,92.16,1803673
APH,2018-03-19,91.34,92.11,90.35,91.9,1203286
APH,2018-03-20,91.7,92.01,91.18,91.69,857031
APH,2018-03-21,91.03,92.02,90.82,91.61,750175
APH,2018-03-22,88.17,90.46,88.07,90.0,1097632
APH,2018-03-23,85.33,88.72,85.22,88.2,1107240
APH,2018-03-26,87.09,87.16,85.38,86.39,1153280
APH,2018-03-27,85.59,88.0,85.09,87.39,1050758
APH,2018-03-28,84.85,85.88,83.956,85.79,929293
APH,2018-03-29,86.13,86.98,85.06,85.4,1355274
APH,2018-03-30,86.13,86.13,86.13,86.13,0
APH,2018-04-02,84.05,86.28,82.73,86.13,1324574
APH,2018-04-03,84.8,84.87,83.17,84.28,1373929
APH,2018-04-04,84.99,85.16,82.13,82.13,1521251
APH,2018-04-05,84.77,85.74,84.48,85.54,1164885
APH,2018-04-06,82.57,84.57,81.9,84.32,1235725
APH,2018-04-09,83.58,84.61,82.78,83.13,1425925
APH,2018-04-10,85.37,85.72,84.55,84.92,1926757
APH,2018-04-11,85.28,85.95,84.8501,84.87,1612535
APH,2018-04-12,86.14,86.49,85.32,85.79,1035404
APH,2018-04-13,85.61,86.6671,85.37,86.5,749499
APH,2018-04-16,86.47,86.81,85.75,86.3,754770
APH,2018-04-17,86.82,87.14,86.29,86.81,999875
APH,2018-04-18,87.2,87.67,86.72,87.21,763199
APH,2018-04-19,86.2,87.11,86.01,87.08,1033917
APH,2018-04-20,85.21,85.96,84.67,85.95,1515979
APH,2018-04-23,84.4,85.685,84.28,85.6,1528000
APH,2018-04-24,82.77,85.1,82.03,84.96,2392908
APH,2018-04-25,82.88,83.95,80.42,83.65,2801481
APH,2018-04-26,83.79,83.81,82.6045,83.15,1580142
APH,2018-04-27,84.28,84.605,83.51,83.9,1789558
APH,2018-04-30,83.71,84.85,83.71,84.39,1534717
APH,2018-05-01,83.94,84.1355,82.77,83.35,1290337
APH,2018-05-02,83.96,84.78,83.75,84.2,1742373
APH,2018-05-03,84.28,84.46,82.83,83.41,1293270
APH,2018-05-04,85.35,85.59,83.645,83.78,1415037
APH,2018-05-07,85.82,86.16,85.47,85.47,1370088
APH,2018-05-08,85.74,85.99,85.17,85.88,1282469
APH,2018-05-09,86.31,86.47,85.26,85.78,1124588
APH,2018-05-10,87.27,87.31,86.14,86.82,977523
APH,2018-05-11,87.98,88.02,86.995,87.09,1182297
APH,2018-05-14,88.19,88.31,87.78,88.14,1072806
APH,2018-05-15,87.86,88.17,87.58,88.06,1110140
APH,2018-05-16,88.35,88.69,87.61,88.23,1020016
APH,2018-05-17,88.12,88.69,87.915,88.22,999070
APH,2018-05-18,87.98,88.37,87.62,87.92,907349
APH,2018-05-21,88.93,88.94,88.22,88.49,991736
APH,2018-05-22,88.1,89.2,88.03,89.2,1091948
APH,2018-05-23,88.2,88.22,87.06,87.61,1118372
APH,2018-05-24,87.8,88.61,87.39,88.11,807843
APH,2018-05-25,87.27,87.81,86.82,87.68,1100380
APH,2018-05-28,87.27,87.27,87.27,87.27,0
APH,2018-05-29,86.98,87.64,86.26,86.54,1439851
APH,2018-05-30,87.57,87.95,87.39,87.49,956583
APH,2018-05-31,86.93,87.79,86.34,86.42,1786012
APH,2018-06-01,88.37,88.5232,87.35,87.57,1049269
APH,2018-06-04,88.09,88.6999,87.95,88.41,1214552
APH,2018-06-05,89.95,89.98,87.22,88.01,1334658
APH,2018-06-06,90.44,90.44,89.42,90.0,1048245
APH,2018-06-07,90.81,90.87,90.24,90.5,1486735
APH,2018-06-08,90.91,90.98,90.0731,90.46,1086008
APH,2018-06-11,90.72,91.1,90.58,90.97,1389473
APH,2018-06-12,90.87,90.88,89.51,90.53,1364975
APH,2018-06-13,91.05,91.27,90.66,90.92,1105215
APH,2018-06-14,91.2,91.54,90.72,91.17,1053970
APH,2018-06-15,91.32,91.97,90.19,90.68,1743033
APH,2018-06-18,90.8,90.8,89.88,90.58,805511
APH,2018-06-19,89.68,89.82,88.65,89.57,949346
APH,2018-06-20,89.84,90.2078,89.41,90.02,970864
APH,2018-06-21,88.46,89.85,88.31,89.81,1048824
APH,2018-06-22,89.2,89.36,88.32,88.95,1304652
APH,2018-06-25,87.79,89.0,86.89,89.0,1339154
APH,2018-06-26,87.17,88.3099,87.15,87.64,1382888
