Symbol,Date,Close,High,Low,Open,Volume
ARE,2018-01-01,130.59,130.59,130.59,130.59,0
ARE,2018-01-02,129.93,131.0,129.68,131.0,540403
ARE,2018-01-03,129.32,130.27,128.92,130.15,469967
ARE,2018-01-04,126.74,128.41,125.2,125.36,2719641
ARE,2018-01-05,127.0,127.88,126.73,126.9,1075575
ARE,2018-01-08,127.28,128.18,126.83,127.37,918994
ARE,2018-01-09,126.32,127.31,126.08,127.24,866146
ARE,2018-01-10,125.28,126.29,124.479,126.29,1087388
ARE,2018-01-11,125.1,126.54,124.92,125.94,840115
ARE,2018-01-12,125.12,125.36,123.58,125.1,1622004
ARE,2018-01-15,125.12,125.12,125.12,125.12,0
ARE,2018-01-16,124.93,126.6,124.84,125.28,558247
ARE,2018-01-17,125.5,126.14,124.25,125.46,1227147
ARE,2018-01-18,125.38,125.9,124.55,125.47,651543
ARE,2018-01-19,125.95,126.11,125.13,125.68,616812
ARE,2018-01-22,127.32,127.32,125.355,125.96,738629
ARE,2018-01-23,127.67,127.87,126.8,127.3,524049
ARE,2018-01-24,126.62,127.93,125.9,127.41,562129
ARE,2018-01-25,126.97,127.11,126.02,126.5,425465
ARE,2018-01-26,126.47,127.41,125.55,127.26,365743
ARE,2018-01-29,124.51,126.21,124.17,126.21,570715
ARE,2018-01-30,125.75,126.12,123.34,125.45,727398
ARE,2018-01-31,129.7,129.7,125.87,125.87,926192
ARE,2018-02-01,125.22,130.405,125.15,129.7,848941
ARE,2018-02-02,124.12,125.679,122.68,124.46,672220
ARE,2018-02-05,119.88,124.43,119.68,123.94,852131
ARE,2018-02-06,118.54,120.29,116.45,119.11,1051676
ARE,2018-02-07,118.96,120.91,117.77,118.2,963488
ARE,2018-02-08,114.58,120.375,114.0,118.59,1065853
ARE,2018-02-09,118.04,118.91,114.59,115.83,958186
ARE,2018-02-12,119.08,119.68,115.36,118.81,920817
ARE,2018-02-13,120.36,120.86,117.86,118.85,792487
ARE,2018-02-14,120.06,120.45,117.9,119.34,498772
ARE,2018-02-15,121.74,121.77,120.16,120.57,559750
ARE,2018-02-16,122.66,123.18,121.73,121.9,575957
ARE,2018-02-19,122.66,122.66,122.66,122.66,0
ARE,2018-02-20,120.97,123.94,120.8,122.28,774519
ARE,2018-02-21,118.43,121.22,118.32,120.57,680856
ARE,2018-02-22,119.97,120.8,119.04,119.07,515924
ARE,2018-02-23,122.65,122.67,120.2,120.5,273958
ARE,2018-02-26,123.38,123.4,121.69,123.17,308953
ARE,2018-02-27,120.84,123.555,120.45,123.15,543491
ARE,2018-02-28,121.31,123.25,121.28,121.3,848276
ARE,2018-03-01,122.6,123.1,120.22,120.81,653889
ARE,2018-03-02,123.49,123.7,121.13,122.24,512202
ARE,2018-03-05,124.99,125.825,122.52,122.77,618839
ARE,2018-03-06,125.41,125.76,123.18,124.91,589452
ARE,2018-03-07,125.78,126.24,124.75,124.96,470484
ARE,2018-03-08,125.64,126.4,124.88,126.16,388090
ARE,2018-03-09,125.98,126.42,124.51,126.27,471960
ARE,2018-03-12,126.03,126.55,125.47,125.95,714545
ARE,2018-03-13,126.56,127.5,125.69,126.26,439494
ARE,2018-03-14,126.4,127.32,125.46,126.84,586726
ARE,2018-03-15,127.08,127.49,126.3,126.59,436725
ARE,2018-03-16,128.24,128.57,126.42,126.7,1269042
ARE,2018-03-19,127.24,128.455,126.5,128.25,490267
ARE,2018-03-20,126.39,128.21,125.91,127.36,621297
ARE,2018-03-21,125.36,126.425,124.445,126.4,364994
ARE,2018-03-22,122.18,125.82,122.04,124.78,1061627
ARE,2018-03-23,118.6,122.47,118.0601,122.06,968974
ARE,2018-03-26,121.11,121.35,118.76,119.74,764855
ARE,2018-03-27,121.98,124.13,119.59,121.61,981063
ARE,2018-03-28,123.56,123.83,121.73,121.78,441217
ARE,2018-03-29,124.89,125.07,123.2301,123.78,590892
ARE,2018-03-30,124.89,124.89,124.89,124.89,0
ARE,2018-04-02,121.79,125.12,120.58,124.84,718255
ARE,2018-04-03,122.83,123.26,121.16,122.03,601440
ARE,2018-04-04,124.43,124.55,121.57,122.29,509862
ARE,2018-04-05,123.17,124.71,122.555,124.71,543111
ARE,2018-04-06,122.07,123.76,121.73,123.54,456275
ARE,2018-04-09,121.34,122.75,121.16,122.17,627538
ARE,2018-04-10,121.7,122.12,121.11,122.02,557856
