Symbol,Date,Close,High,Low,Open,Volume
ATVI,2018-01-01,63.32,63.32,63.32,63.32,0
ATVI,2018-01-02,64.31,64.67,63.37,63.54,5138815
ATVI,2018-01-03,65.31,65.745,64.3955,64.55,4383944
ATVI,2018-01-04,64.66,65.87,64.36,65.75,3919811
ATVI,2018-01-05,66.37,66.47,64.49,64.88,4999128
ATVI,2018-01-08,66.63,67.27,65.65,66.49,4622445
ATVI,2018-01-09,66.19,66.75,64.9,66.75,5995943
ATVI,2018-01-10,66.83,66.94,65.78,65.93,4504020
ATVI,2018-01-11,69.24,69.33,67.23,68.29,8176290
ATVI,2018-01-12,70.36,70.71,69.05,69.7,8021879
ATVI,2018-01-15,70.36,70.36,70.36,70.36,0
ATVI,2018-01-16,68.71,71.18,68.4,70.92,5371714
ATVI,2018-01-17,70.36,70.82,68.79,69.97,7076063
ATVI,2018-01-18,69.8,70.725,69.17,70.11,5620207
ATVI,2018-01-19,70.57,70.84,69.48,70.22,5210041
ATVI,2018-01-22,71.3,71.4,69.68,70.45,3862712
ATVI,2018-01-23,71.55,72.3651,71.15,71.32,5194898
ATVI,2018-01-24,70.08,71.9,69.88,71.66,9137394
ATVI,2018-01-25,70.82,71.2,69.95,70.6,4676928
ATVI,2018-01-26,72.52,72.59,70.755,71.34,5748494
ATVI,2018-01-29,72.45,72.68,71.7,72.5,7863823
ATVI,2018-01-30,71.61,71.88,70.7276,71.435,5284585
ATVI,2018-01-31,74.13,74.945,72.96,72.96,7058952
ATVI,2018-02-01,73.35,74.24,73.16,73.48,5136990
ATVI,2018-02-02,71.42,72.96,71.38,72.66,6198415
ATVI,2018-02-05,67.98,71.13,66.91,70.54,10160732
ATVI,2018-02-06,69.7,69.84,65.72,66.0,10524316
ATVI,2018-02-07,69.46,70.86,69.43,69.62,6255211
ATVI,2018-02-08,65.83,69.79,65.76,69.63,11179322
ATVI,2018-02-09,67.08,67.78,63.32,66.99,18582250
ATVI,2018-02-12,68.32,69.2,67.16,67.16,8315677
ATVI,2018-02-13,68.03,68.21,67.18,67.96,5373597
ATVI,2018-02-14,69.65,69.9,67.11,67.21,7197634
ATVI,2018-02-15,71.99,72.07,69.05,70.0,6182546
ATVI,2018-02-16,70.19,72.1252,69.79,71.96,6497699
ATVI,2018-02-19,70.19,70.19,70.19,70.19,0
ATVI,2018-02-20,70.84,71.29,69.75,69.97,5386393
ATVI,2018-02-21,70.22,71.84,70.22,70.9,5555734
ATVI,2018-02-22,69.49,70.7,69.07,70.06,5229239
ATVI,2018-02-23,72.07,72.07,69.79,69.95,5842100
ATVI,2018-02-26,73.16,74.12,72.68,72.68,4868504
ATVI,2018-02-27,72.61,73.36,72.0221,73.05,4141839
ATVI,2018-02-28,73.13,74.82,72.97,73.15,7469666
ATVI,2018-03-01,72.01,73.42,71.52,73.16,8123915
ATVI,2018-03-02,74.01,74.35,70.74,71.22,6942413
ATVI,2018-03-05,75.1,75.35,72.92,73.66,6276549
ATVI,2018-03-06,73.92,75.48,72.86,75.4,8413256
ATVI,2018-03-07,74.07,74.14,72.75,73.38,5834774
ATVI,2018-03-08,76.81,76.91,74.23,74.51,8860522
ATVI,2018-03-09,78.22,78.25,76.41,76.855,8934731
ATVI,2018-03-12,76.86,79.63,76.29,79.24,8450783
ATVI,2018-03-13,75.93,77.85,75.805,77.49,5108464
ATVI,2018-03-14,74.22,76.46,73.93,76.35,11755687
ATVI,2018-03-15,73.38,73.7,72.51,72.99,9989751
ATVI,2018-03-16,71.68,73.9,71.61,73.87,10549935
ATVI,2018-03-19,71.05,72.15,69.81,71.0,8278549
ATVI,2018-03-20,71.37,72.08,70.84,71.34,3994453
ATVI,2018-03-21,71.61,72.63,71.11,71.2,4868797
ATVI,2018-03-22,69.76,71.625,69.645,70.63,5108118
ATVI,2018-03-23,68.04,70.52,68.02,69.86,5386419
ATVI,2018-03-26,70.08,70.14,68.43,69.43,4709366
ATVI,2018-03-27,66.29,70.67,65.56,70.67,7334865
ATVI,2018-03-28,65.97,66.54,64.45,65.93,10463557
ATVI,2018-03-29,67.46,68.01,64.92,66.34,11704314
ATVI,2018-03-30,67.46,67.46,67.46,67.46,0
ATVI,2018-04-02,65.09,67.23,64.0918,66.8,9041779
ATVI,2018-04-03,65.48,65.86,64.09,65.39,7186376
ATVI,2018-04-04,66.27,66.52,63.52,63.955,5231650
ATVI,2018-04-05,66.53,67.66,66.15,67.2,4489722
ATVI,2018-04-06,64.56,66.36,64.13,65.85,4599116
ATVI,2018-04-09,65.77,66.77,64.96,65.16,6588199
ATVI,2018-04-10,66.52,67.05,65.3,66.96,6354661
ATVI,2018-04-11,65.85,66.77,65.71,65.8,3140316
ATVI,2018-04-12,67.22,67.58,65.8,66.25,4614940
ATVI,2018-04-13,65.88,67.59,65.29,67.46,4842582
ATVI,2018-04-16,66.56,66.85,65.76,66.53,5717845
ATVI,2018-04-17,68.28,68.52,67.1,67.25,5676297
ATVI,2018-04-18,68.69,69.01,67.97,68.75,4257371
ATVI,2018-04-19,67.68,68.72,67.44,68.25,4564284
ATVI,2018-04-20,66.3,67.47,65.96,67.44,4759437
ATVI,2018-04-23,66.23,67.84,65.965,66.6,4423568
ATVI,2018-04-24,65.34,67.24,64.71,66.62,4825775
ATVI,2018-04-25,64.82,65.76,64.01,65.38,3903632
ATVI,2018-04-26,66.34,66.695,64.93,65.26,4601529
ATVI,2018-04-27,65.79,67.3,65.51,66.69,4749705
ATVI,2018-04-30,66.35,66.6,65.28,65.86,5060767
ATVI,2018-05-01,67.8,67.99,65.59,66.15,4360295
ATVI,2018-05-02,68.39,68.89,67.66,67.94,7675147
ATVI,2018-05-03,66.82,71.03,64.06,68.49,22232009
ATVI,2018-05-04,69.84,69.92,66.0228,66.3,11358668
ATVI,2018-05-07,70.37,70.73,69.6,70.27,5744520
ATVI,2018-05-08,69.61,70.16,69.18,69.66,4059218
ATVI,2018-05-09,71.31,72.04,69.81,69.98,5664539
ATVI,2018-05-10,72.9,72.91,71.32,71.78,5069928
ATVI,2018-05-11,71.7,72.78,71.27,72.77,4996266
ATVI,2018-05-14,71.7,72.34,71.035,71.87,2964785
ATVI,2018-05-15,70.17,71.155,69.67,70.98,3896220
ATVI,2018-05-16,70.33,71.94,70.1,71.13,5029462
ATVI,2018-05-17,71.66,71.9,70.11,70.3,6447396
ATVI,2018-05-18,71.99,72.14,71.05,71.52,5673341
ATVI,2018-05-21,71.45,73.5,71.19,72.5,6392087
ATVI,2018-05-22,71.35,72.57,71.23,71.95,4008827
ATVI,2018-05-23,71.74,71.805,70.55,70.73,3809449
ATVI,2018-05-24,70.8,71.94,70.05,71.75,5467998
ATVI,2018-05-25,71.46,71.81,70.6,70.66,3705573
ATVI,2018-05-28,71.46,71.46,71.46,71.46,0
ATVI,2018-05-29,70.64,71.19,69.87,70.8,4855943
ATVI,2018-05-30,70.69,71.21,70.51,70.92,4049246
ATVI,2018-05-31,70.91,72.28,70.69,70.83,5955799
ATVI,2018-06-01,73.03,73.21,70.77,71.42,6388352
ATVI,2018-06-04,72.79,73.86,72.66,73.25,4134503
ATVI,2018-06-05,72.77,73.35,72.19,72.79,5354048
ATVI,2018-06-06,74.79,75.01,73.26,73.26,6638541
ATVI,2018-06-07,73.95,75.28,73.08,74.79,4686510
ATVI,2018-06-08,74.29,74.83,73.45,73.45,4672568
ATVI,2018-06-11,75.0,75.53,74.225,74.25,5108047
ATVI,2018-06-12,75.94,76.04,74.791,75.23,4311531
ATVI,2018-06-13,76.67,77.52,75.7,76.04,8634789
ATVI,2018-06-14,77.71,79.25,76.8,76.83,6717555
ATVI,2018-06-15,77.41,77.83,76.37,77.66,6596147
ATVI,2018-06-18,77.87,77.93,76.47,77.02,3993044
