Symbol,Date,Close,High,Low,Open,Volume
AWK,2018-01-01,91.49,91.49,91.49,91.49,0
AWK,2018-01-02,89.08,91.48,88.59,91.0,1140208
AWK,2018-01-03,88.45,89.43,87.91,88.51,947297
AWK,2018-01-04,87.61,88.82,87.35,88.27,931758
AWK,2018-01-05,86.75,88.03,86.36,87.78,1141271
AWK,2018-01-08,87.5,87.52,86.8001,87.0,1284302
AWK,2018-01-09,86.71,87.535,85.87,87.5,864397
AWK,2018-01-10,85.7,86.51,85.36,86.51,828976
AWK,2018-01-11,84.74,84.99,84.02,84.86,1394240
AWK,2018-01-12,80.83,84.62,80.57,84.41,4003733
AWK,2018-01-15,80.83,80.83,80.83,80.83,0
AWK,2018-01-16,82.22,83.6,80.96,81.25,3111494
AWK,2018-01-17,82.51,82.8,81.98,82.09,1482198
AWK,2018-01-18,82.41,83.13,81.83,82.47,1561120
AWK,2018-01-19,83.01,83.53,82.38,82.84,1323868
AWK,2018-01-22,82.96,83.75,82.66,83.45,1317832
AWK,2018-01-23,84.2,84.7,82.83,82.86,1113950
AWK,2018-01-24,83.75,84.4889,83.63,84.2,853493
AWK,2018-01-25,84.53,84.61,83.2,83.97,764845
AWK,2018-01-26,84.94,85.0,83.83,84.65,869541
AWK,2018-01-29,83.74,84.65,83.2,84.65,829815
AWK,2018-01-30,83.11,84.03,82.84,82.93,1030566
AWK,2018-01-31,83.17,83.27,82.5207,83.27,1175213
AWK,2018-02-01,81.84,83.505,81.53,83.28,1334666
AWK,2018-02-02,81.22,82.29,81.0,81.71,1101786
AWK,2018-02-05,78.82,81.54,78.61,81.0,1883739
AWK,2018-02-06,78.96,79.26,76.79,78.02,2169607
AWK,2018-02-07,77.96,79.74,77.96,79.0,1268677
AWK,2018-02-08,76.06,78.46,76.04,77.77,1572047
AWK,2018-02-09,77.94,78.68,76.39,76.61,1775391
AWK,2018-02-12,77.92,78.34,77.07,78.21,1016929
AWK,2018-02-13,78.77,78.93,77.31,77.83,921193
AWK,2018-02-14,78.33,78.82,77.68,78.1,726330
AWK,2018-02-15,79.71,79.72,78.35,78.43,718145
AWK,2018-02-16,80.5,81.06,79.43,79.69,1012733
AWK,2018-02-19,80.5,80.5,80.5,80.5,0
AWK,2018-02-20,79.85,80.83,79.57,80.25,1025979
AWK,2018-02-21,78.85,81.06,78.82,79.04,1250359
AWK,2018-02-22,78.74,79.545,78.26,78.87,988204
AWK,2018-02-23,80.63,80.8,78.81,78.81,655775
AWK,2018-02-26,80.8,81.64,80.58,81.5,804279
AWK,2018-02-27,79.96,81.94,79.73,80.99,986728
AWK,2018-02-28,79.36,80.76,79.36,79.88,1069318
AWK,2018-03-01,79.15,80.37,78.39,79.28,1233896
AWK,2018-03-02,78.88,80.14,78.15,78.96,1373786
AWK,2018-03-05,80.19,80.88,78.66,78.73,1992421
AWK,2018-03-06,79.69,80.37,79.51,80.15,1122522
AWK,2018-03-07,80.18,80.52,79.15,79.43,1061772
AWK,2018-03-08,80.8,81.075,80.25,80.5,947975
AWK,2018-03-09,81.36,81.38,80.46,80.93,665894
AWK,2018-03-12,82.2,82.39,81.32,81.35,959385
AWK,2018-03-13,80.75,82.67,80.63,82.49,916451
AWK,2018-03-14,81.2,81.825,80.56,81.04,904716
AWK,2018-03-15,81.47,82.23,81.2,81.31,785287
AWK,2018-03-16,82.16,82.4,81.48,81.68,1952223
AWK,2018-03-19,81.52,82.59,80.92,82.16,1002807
AWK,2018-03-20,81.42,81.97,81.2,81.51,645376
AWK,2018-03-21,80.85,82.04,80.59,81.43,570641
AWK,2018-03-22,80.15,82.07,80.1,80.9,791227
AWK,2018-03-23,79.23,81.62,79.02,80.76,784694
AWK,2018-03-26,79.87,80.01,78.89,79.41,742440
AWK,2018-03-27,80.69,81.69,79.25,80.0,1111371
AWK,2018-03-28,81.19,81.43,80.57,80.81,846725
AWK,2018-03-29,82.13,82.54,81.34,81.34,1069593
AWK,2018-03-30,82.13,82.13,82.13,82.13,0
AWK,2018-04-02,81.2,82.32,80.46,82.29,927673
AWK,2018-04-03,81.16,81.55,80.51,81.1,1058245
AWK,2018-04-04,81.2,81.4534,80.259,80.82,763448
AWK,2018-04-05,82.11,82.21,80.21,81.32,734055
AWK,2018-04-06,81.92,82.74,81.82,82.23,1216387
AWK,2018-04-09,82.14,82.72,81.45,81.87,728389
AWK,2018-04-10,81.8,82.65,81.665,82.42,747660
AWK,2018-04-11,81.81,82.24,81.33,81.58,794302
AWK,2018-04-12,80.65,81.475,80.25,80.9,2152584
AWK,2018-04-13,80.86,81.58,80.65,81.04,934656
AWK,2018-04-16,82.62,83.0,81.85,82.0,1254355
AWK,2018-04-17,84.07,84.45,82.8,83.03,1032154
AWK,2018-04-18,83.68,84.575,83.68,84.13,959530
AWK,2018-04-19,83.66,83.9,83.15,83.53,896870
AWK,2018-04-20,83.67,83.88,83.1668,83.69,834581
AWK,2018-04-23,84.28,84.29,83.18,83.64,575455
AWK,2018-04-24,84.77,85.24,84.03,84.53,828182
AWK,2018-04-25,84.75,85.23,84.01,84.54,504266
AWK,2018-04-26,85.89,86.03,84.32,85.12,679919
AWK,2018-04-27,86.78,86.99,85.81,85.87,936602
AWK,2018-04-30,86.58,87.1899,86.37,86.91,745378
AWK,2018-05-01,86.63,86.8,86.11,86.38,571359
AWK,2018-05-02,86.23,86.7,85.56,86.46,916679
AWK,2018-05-03,85.29,86.45,84.11,86.02,1107425
AWK,2018-05-04,85.72,85.95,84.61,85.2,555799
AWK,2018-05-07,84.8,85.8,84.52,85.8,647764
AWK,2018-05-08,83.01,84.62,82.83,84.21,629841
AWK,2018-05-09,83.23,83.37,82.45,83.19,853389
AWK,2018-05-10,83.74,83.82,82.9,83.4,607427
AWK,2018-05-11,83.48,83.9,83.04,83.9,480846
AWK,2018-05-14,82.67,83.83,82.49,83.48,838093
AWK,2018-05-15,81.48,82.56,81.03,82.4,806483
AWK,2018-05-16,80.52,81.75,80.32,81.53,691835
AWK,2018-05-17,80.34,80.6,79.95,80.1,723425
AWK,2018-05-18,80.45,80.88,79.93,80.61,765669
AWK,2018-05-21,80.53,80.87,80.05,80.52,753515
AWK,2018-05-22,80.51,81.13,80.4012,80.81,630377
AWK,2018-05-23,80.94,81.1501,80.56,80.64,644680
AWK,2018-05-24,82.05,82.16,80.835,81.17,1015009
AWK,2018-05-25,82.99,83.21,81.88,82.05,1033093
AWK,2018-05-28,82.99,82.99,82.99,82.99,0
AWK,2018-05-29,83.92,84.52,82.78,82.97,1052516
AWK,2018-05-30,84.21,84.6778,83.5255,83.75,618821
AWK,2018-05-31,83.14,84.63,83.07,83.91,863258
AWK,2018-06-01,82.13,83.64,82.0,83.4,742380
AWK,2018-06-04,81.64,82.6,81.43,82.22,604451
AWK,2018-06-05,80.47,81.69,80.26,81.69,811981
AWK,2018-06-06,79.22,80.74,78.91,80.68,1011744
AWK,2018-06-07,79.27,80.09,78.95,79.44,1497323
AWK,2018-06-08,79.28,79.8,78.64,79.53,968499
AWK,2018-06-11,78.35,79.41,77.73,79.13,1059141
AWK,2018-06-12,79.48,79.54,78.04,78.26,774357
AWK,2018-06-13,78.93,79.86,78.57,79.49,970396
AWK,2018-06-14,79.78,79.9,78.96,78.96,963504
AWK,2018-06-15,81.05,81.14,78.91,79.67,2407791
AWK,2018-06-18,81.95,81.965,80.84,80.84,867910
AWK,2018-06-19,82.8,83.25,81.82,81.82,1234612
AWK,2018-06-20,83.17,83.41,82.57,82.96,815620
AWK,2018-06-21,82.36,83.4,82.2,83.09,658658
AWK,2018-06-22,83.42,83.59,82.34,82.47,952984
AWK,2018-06-25,85.3,85.49,83.33,83.65,1125007
AWK,2018-06-26,85.29,85.99,85.001,85.08,911726
