Symbol,Date,Close,High,Low,Open,Volume
AXP,2018-01-01,99.31,99.31,99.31,99.31,0
AXP,2018-01-02,98.94,99.73,98.22,99.73,2746672
AXP,2018-01-03,99.55,99.76,99.02,99.24,2976441
AXP,2018-01-04,100.85,101.65,99.91,100.03,3122034
AXP,2018-01-05,101.08,101.08,100.27,100.85,2550286
AXP,2018-01-08,100.15,101.2,100.12,101.0,1896547
AXP,2018-01-09,100.52,100.8,100.27,100.36,2978533
AXP,2018-01-10,101.22,101.59,100.33,100.39,2279173
AXP,2018-01-11,100.73,101.44,100.2,101.44,2745414
AXP,2018-01-12,100.97,101.03,99.93,100.86,3231524
AXP,2018-01-15,100.97,100.97,100.97,100.97,0
AXP,2018-01-16,100.34,102.385,100.15,102.01,3813954
AXP,2018-01-17,100.76,101.0,99.24,100.99,4469669
AXP,2018-01-18,99.86,100.84,99.58,100.84,5290672
AXP,2018-01-19,98.03,98.94,96.3475,97.01,12306039
AXP,2018-01-22,98.32,98.34,96.84,97.26,4983551
AXP,2018-01-23,97.98,98.4,97.44,98.16,4375157
AXP,2018-01-24,99.3,99.5101,98.16,98.25,4949481
AXP,2018-01-25,99.69,100.1099,99.2,99.43,3375241
AXP,2018-01-26,99.63,99.95,98.95,99.85,3668677
AXP,2018-01-29,99.41,100.18,99.2265,99.75,3472131
AXP,2018-01-30,98.71,100.1,98.6907,99.45,3466484
AXP,2018-01-31,99.4,99.7149,98.5,98.74,3202864
AXP,2018-02-01,100.0,100.04,98.4,98.95,2952078
AXP,2018-02-02,96.68,99.6885,96.64,99.53,4663298
AXP,2018-02-05,92.01,96.7247,88.61,95.83,6421934
AXP,2018-02-06,94.18,94.22,88.5105,89.75,7243978
AXP,2018-02-07,93.61,94.85,93.41,93.53,3796803
AXP,2018-02-08,88.34,93.97,88.28,93.75,5814910
AXP,2018-02-09,91.72,92.52,87.54,89.47,8017550
AXP,2018-02-12,94.7,95.675,92.42,92.58,7419214
AXP,2018-02-13,94.56,94.81,92.8201,94.03,3366658
AXP,2018-02-14,96.23,96.56,93.67,93.97,3446758
AXP,2018-02-15,96.56,97.21,95.44,97.06,3057394
AXP,2018-02-16,96.79,97.49,96.25,96.37,3280686
AXP,2018-02-19,96.79,96.79,96.79,96.79,0
AXP,2018-02-20,97.19,97.71,96.5,96.58,3514720
