Symbol,Date,Close,High,Low,Open,Volume
LNT,2018-01-01,42.61,42.61,42.61,42.61,0
LNT,2018-01-02,42.11,42.72,42.045,42.62,1392976
LNT,2018-01-03,41.74,42.36,41.49,42.03,1481837
LNT,2018-01-04,41.25,41.99,41.21,41.64,1352481
LNT,2018-01-05,41.08,41.49,40.92,41.38,1665006
LNT,2018-01-08,41.54,41.58,41.05,41.08,1718948
LNT,2018-01-09,40.91,41.5,40.88,41.43,1747392
LNT,2018-01-10,40.19,40.81,40.15,40.7,1785791
LNT,2018-01-11,39.84,40.33,39.71,40.12,1567437
LNT,2018-01-12,39.53,39.91,39.49,39.77,1642836
LNT,2018-01-15,39.53,39.53,39.53,39.53,0
LNT,2018-01-16,39.56,39.89,39.33,39.76,4681814
LNT,2018-01-17,40.06,40.17,39.65,39.7,2385903
LNT,2018-01-18,39.68,40.11,39.36,40.07,2024166
LNT,2018-01-19,39.41,39.955,39.34,39.81,2040877
LNT,2018-01-22,39.55,39.86,39.45,39.6,1689159
LNT,2018-01-23,40.16,40.24,39.59,39.59,1809940
LNT,2018-01-24,39.85,40.07,39.83,40.02,1076849
LNT,2018-01-25,40.39,40.42,39.79,39.85,1414617
LNT,2018-01-26,40.3,40.54,39.9,40.47,1479946
LNT,2018-01-29,39.61,40.18,39.61,40.13,1284252
LNT,2018-01-30,39.26,39.79,39.18,39.65,1912017
LNT,2018-01-31,39.75,39.8,39.07,39.28,1930614
LNT,2018-02-01,39.08,39.9,38.97,39.74,1502578
LNT,2018-02-02,38.91,39.19,38.46,38.46,1888751
LNT,2018-02-05,38.22,39.335,38.22,38.87,2431260
LNT,2018-02-06,37.51,38.03,36.84,37.78,3223825
LNT,2018-02-07,37.5,38.04,37.35,37.5,1891515
LNT,2018-02-08,37.14,38.145,37.13,37.49,2675012
LNT,2018-02-09,38.42,38.72,37.14,37.14,3225472
LNT,2018-02-12,38.48,38.67,38.04,38.43,2176856
LNT,2018-02-13,38.63,38.755,37.89,38.31,1773953
LNT,2018-02-14,38.11,38.49,38.05,38.38,1924144
LNT,2018-02-15,39.05,39.06,38.23,38.32,1758916
LNT,2018-02-16,39.75,39.81,38.87,38.93,3173221
LNT,2018-02-19,39.75,39.75,39.75,39.75,0
LNT,2018-02-20,39.14,39.7,38.95,39.51,2616641
LNT,2018-02-21,38.62,39.4,38.62,39.0,1757561
LNT,2018-02-22,38.6,38.9854,38.45,38.71,2138196
LNT,2018-02-23,39.42,39.42,38.01,38.33,1958994
LNT,2018-02-26,39.53,39.59,39.1,39.45,1645426
LNT,2018-02-27,38.8,39.82,38.79,39.5,1935060
LNT,2018-02-28,38.65,39.12,38.64,38.97,1929824
LNT,2018-03-01,38.49,39.2,38.32,38.71,2222189
LNT,2018-03-02,38.22,38.96,37.85,38.58,2124209
LNT,2018-03-05,38.93,38.99,37.91,38.05,2390164
LNT,2018-03-06,38.17,38.71,38.11,38.58,1415141
LNT,2018-03-07,38.06,38.32,37.92,38.11,1081202
LNT,2018-03-08,38.32,38.43,38.07,38.07,1028559
LNT,2018-03-09,38.71,38.71,38.195,38.35,1721686
LNT,2018-03-12,39.21,39.32,38.75,38.84,3295737
LNT,2018-03-13,39.3,39.7,39.14,39.31,2350361
LNT,2018-03-14,39.54,39.86,39.27,39.44,1928438
LNT,2018-03-15,39.66,40.01,39.375,39.46,2048215
LNT,2018-03-16,40.13,40.22,39.68,39.81,5792678
LNT,2018-03-19,39.83,40.3,39.645,40.0,1668829
LNT,2018-03-20,39.68,40.08,39.6,39.84,1151019
LNT,2018-03-21,39.66,40.2,39.555,39.72,1150929
LNT,2018-03-22,39.83,40.58,39.64,39.71,1653486
LNT,2018-03-23,39.45,40.26,39.38,39.94,1933902
LNT,2018-03-26,39.84,39.91,39.43,39.49,1284076
LNT,2018-03-27,40.53,40.86,39.64,39.91,1744852
LNT,2018-03-28,40.62,40.94,40.44,40.61,1985788
LNT,2018-03-29,40.86,41.04,40.59,40.64,1485795
LNT,2018-03-30,40.86,40.86,40.86,40.86,0
LNT,2018-04-02,40.79,41.27,40.46,40.95,2066164
LNT,2018-04-03,40.82,41.05,40.59,40.73,1731011
LNT,2018-04-04,40.92,41.14,40.555,40.89,1759394
LNT,2018-04-05,41.33,41.37,40.34,40.88,2004438
LNT,2018-04-06,41.02,41.45,40.89,41.37,2155282
LNT,2018-04-09,41.05,41.355,40.82,41.0,1684385
LNT,2018-04-10,40.75,41.13,40.67,40.97,2198446
LNT,2018-04-11,41.02,41.09,40.66,40.72,1907125
LNT,2018-04-12,40.52,41.2,40.38,41.02,2067996
LNT,2018-04-13,41.11,41.23,40.67,40.7,1469404
LNT,2018-04-16,41.59,41.745,41.25,41.29,1292778
LNT,2018-04-17,41.85,42.07,41.52,41.64,1476306
LNT,2018-04-18,41.6,42.3,41.58,41.96,2232116
LNT,2018-04-19,41.53,41.64,41.26,41.53,1373490
LNT,2018-04-20,41.54,41.59,41.225,41.59,1672998
LNT,2018-04-23,41.69,41.89,41.45,41.59,970252
LNT,2018-04-24,42.1,42.36,41.789,41.83,1713089
LNT,2018-04-25,42.23,42.5,41.82,41.97,1415004
LNT,2018-04-26,42.86,42.965,42.03,42.29,1489795
LNT,2018-04-27,43.06,43.13,42.44,42.44,1291916
LNT,2018-04-30,42.95,43.27,42.89,43.22,1538928
LNT,2018-05-01,42.82,43.07,42.78,43.0,1234469
LNT,2018-05-02,42.87,43.18,42.64,42.76,1752677
LNT,2018-05-03,43.23,43.465,42.04,42.69,1753392
LNT,2018-05-04,43.27,43.45,43.06,43.26,1599650
LNT,2018-05-07,42.94,43.29,42.84,43.23,1040588
LNT,2018-05-08,41.72,42.76,41.64,42.76,1636785
LNT,2018-05-09,41.26,41.85,41.02,41.84,1663108
LNT,2018-05-10,41.74,41.765,41.35,41.57,1110803
LNT,2018-05-11,41.66,41.91,41.59,41.77,974622
LNT,2018-05-14,41.41,41.78,41.13,41.71,1424180
LNT,2018-05-15,41.05,41.34,40.74,41.08,1493325
LNT,2018-05-16,40.89,41.16,40.57,41.07,1472105
LNT,2018-05-17,40.64,41.13,40.545,40.87,1446372
LNT,2018-05-18,40.57,40.86,40.295,40.74,1760660
LNT,2018-05-21,40.28,40.71,40.16,40.6,2436430
LNT,2018-05-22,40.28,40.5,40.11,40.32,1422296
LNT,2018-05-23,40.49,40.66,40.26,40.39,1917778
LNT,2018-05-24,40.75,40.865,40.44,40.54,2062910
LNT,2018-05-25,40.79,40.94,40.66,40.74,1696361
LNT,2018-05-28,40.79,40.79,40.79,40.79,0
LNT,2018-05-29,41.0,41.17,40.58,40.65,2773093
LNT,2018-05-30,41.44,41.55,40.74,40.8,2348138
LNT,2018-05-31,41.42,41.81,41.09,41.41,1986960
LNT,2018-06-01,40.63,41.3,40.47,41.3,1415365
LNT,2018-06-04,40.23,40.76,40.1,40.75,1360623
LNT,2018-06-05,39.75,40.31,39.53,40.24,1967121
LNT,2018-06-06,39.13,39.85,39.06,39.77,1626748
LNT,2018-06-07,39.19,39.65,38.99,39.15,1450377
LNT,2018-06-08,39.23,39.39,39.07,39.31,974850
LNT,2018-06-11,38.38,39.335,38.35,39.24,1128938
LNT,2018-06-12,39.05,39.1,38.22,38.37,1252621
LNT,2018-06-13,39.17,39.435,38.91,39.17,2028735
LNT,2018-06-14,39.62,39.65,39.18,39.18,1503509
LNT,2018-06-15,39.96,40.08,39.35,39.58,3015591
LNT,2018-06-18,40.33,40.35,39.86,39.93,1386180
LNT,2018-06-19,41.08,41.09,40.47,40.47,2097516
LNT,2018-06-20,41.05,41.255,40.775,41.13,1298788
LNT,2018-06-21,40.97,41.21,40.83,41.04,1102631
LNT,2018-06-22,41.09,41.28,40.865,41.28,1498748
LNT,2018-06-25,42.26,42.42,41.07,41.16,2735917
LNT,2018-06-26,42.28,42.65,41.54,42.17,1781662
