Symbol,Date,Close,High,Low,Open,Volume
MMM,2018-01-01,235.37,235.37,235.37,235.37,0
MMM,2018-01-02,235.64,237.07,232.805,235.78,2930951
MMM,2018-01-03,235.63,235.73,233.29,235.07,2193713
MMM,2018-01-04,238.71,239.44,236.47,237.0,2243101
MMM,2018-01-05,240.57,240.9,237.74,238.65,1835909
MMM,2018-01-08,239.79,240.94,239.18,239.38,1869025
MMM,2018-01-09,241.28,241.7845,239.34,239.6,1695114
MMM,2018-01-10,241.14,242.57,240.03,241.0,1640853
MMM,2018-01-11,242.31,242.34,239.75,240.74,1487650
MMM,2018-01-12,244.47,246.0,242.5,243.07,1974312
MMM,2018-01-15,244.47,244.47,244.47,244.47,0
MMM,2018-01-16,244.74,247.19,243.83,245.3,2411131
MMM,2018-01-17,248.11,248.53,245.8,246.85,2519000
MMM,2018-01-18,245.91,249.0,244.92,248.13,2233505
MMM,2018-01-19,248.18,248.5,245.6,246.63,2013467
MMM,2018-01-22,247.3,247.89,245.08,247.13,1660506
MMM,2018-01-23,246.31,247.26,245.12,246.91,1822654
MMM,2018-01-24,247.69,248.54,246.25,247.99,3471044
MMM,2018-01-25,252.36,254.8,247.1,250.0,3507873
MMM,2018-01-26,258.63,259.77,253.39,253.43,3730628
MMM,2018-01-29,256.01,259.34,255.97,258.51,2306292
MMM,2018-01-30,251.54,255.69,251.41,255.6,2412632
MMM,2018-01-31,250.5,253.13,249.6,251.49,3136406
MMM,2018-02-01,247.94,250.09,246.1795,247.44,2665501
MMM,2018-02-02,245.17,248.75,244.88,246.43,3925658
MMM,2018-02-05,231.44,244.4,226.01,243.5,6590490
MMM,2018-02-06,233.63,234.57,226.81,227.51,5108142
MMM,2018-02-07,233.19,237.52,232.821,233.19,2885570
MMM,2018-02-08,222.89,233.31,222.65,233.16,3751281
MMM,2018-02-09,225.21,226.96,218.18,224.61,4518613
MMM,2018-02-12,229.19,230.38,226.1,227.49,3290351
MMM,2018-02-13,231.36,231.97,228.93,229.71,2523579
MMM,2018-02-14,232.0,232.87,228.47,229.45,2337783
MMM,2018-02-15,234.87,234.9,230.88,233.31,2127496
MMM,2018-02-16,236.67,238.435,233.39,234.97,2221752
MMM,2018-02-19,236.67,236.67,236.67,236.67,0
MMM,2018-02-20,235.07,236.67,233.91,234.54,2675916
MMM,2018-02-21,232.18,237.86,232.1,234.71,2561377
MMM,2018-02-22,236.0,237.37,232.26,232.43,2284538
MMM,2018-02-23,237.02,237.89,234.39,236.85,1616681
MMM,2018-02-26,244.14,244.86,238.51,239.01,3086811
MMM,2018-02-27,240.78,244.67,240.72,244.61,1778336
MMM,2018-02-28,235.51,242.28,235.4,241.64,2461376
MMM,2018-03-01,231.34,236.83,229.53,236.15,3487126
MMM,2018-03-02,230.37,231.27,226.33,229.75,2912828
MMM,2018-03-05,232.81,233.71,228.53,230.0,2235348
MMM,2018-03-06,233.66,235.92,230.8,234.05,2091101
MMM,2018-03-07,235.57,236.22,230.59,231.22,2213792
MMM,2018-03-08,236.34,237.69,234.12,236.35,1955197
MMM,2018-03-09,241.35,241.37,236.17,238.0,1840871
MMM,2018-03-12,239.8,243.0999,239.301,242.1,2151266
MMM,2018-03-13,237.57,242.97,236.891,240.9,2009863
MMM,2018-03-14,234.29,239.32,233.85,238.8,2239704
MMM,2018-03-15,235.87,238.08,234.2,235.22,1770516
MMM,2018-03-16,237.22,238.17,235.67,235.67,4858043
MMM,2018-03-19,231.56,236.33,230.26,236.01,2621661
MMM,2018-03-20,232.45,234.39,231.58,232.12,1727967
MMM,2018-03-21,234.14,237.22,232.31,233.0,1588258
MMM,2018-03-22,223.17,232.12,222.8,232.04,4295470
MMM,2018-03-23,215.36,224.27,215.27,223.5,4221155
MMM,2018-03-26,220.24,220.8,215.18,217.86,3573985
MMM,2018-03-27,215.87,221.86,214.73,221.02,2696665
MMM,2018-03-28,216.54,219.66,214.91,217.23,2522861
MMM,2018-03-29,219.52,221.38,217.46,217.79,2643041
MMM,2018-03-30,219.52,219.52,219.52,219.52,0
MMM,2018-04-02,212.62,218.72,209.468,218.05,3840833
MMM,2018-04-03,216.33,216.46,210.93,213.0,3006825
MMM,2018-04-04,217.56,217.9225,211.12,212.39,2488891
MMM,2018-04-05,218.67,220.31,216.56,218.64,2879937
MMM,2018-04-06,212.25,218.85,211.0,217.4,2503915
MMM,2018-04-09,212.81,216.86,212.4,213.75,2186066
MMM,2018-04-10,216.98,218.71,215.23,215.32,2877276
MMM,2018-04-11,214.33,215.89,213.4982,214.201,1819778
MMM,2018-04-12,216.42,217.68,215.01,215.72,2292869
MMM,2018-04-13,215.52,218.68,214.46,218.09,2034539
MMM,2018-04-16,217.7,219.27,216.59,217.2,2060517
MMM,2018-04-17,220.09,221.69,218.74,219.15,1853521
MMM,2018-04-18,219.52,221.01,219.16,220.39,1599252
MMM,2018-04-19,218.85,219.3,217.03,218.04,1453128
MMM,2018-04-20,217.75,220.28,216.74,218.41,2634318
MMM,2018-04-23,215.88,218.73,214.75,218.02,2520707
MMM,2018-04-24,201.13,206.5,196.89,206.5,11671410
MMM,2018-04-25,198.84,201.75,197.01,201.1,6205385
MMM,2018-04-26,197.09,199.6275,196.17,198.68,4124297
MMM,2018-04-27,196.12,197.11,194.4,196.77,3354762
MMM,2018-04-30,194.39,198.34,194.18,196.96,4008740
MMM,2018-05-01,195.02,195.5399,191.44,194.03,4710476
MMM,2018-05-02,194.5,196.41,194.019,195.15,4017614
MMM,2018-05-03,195.68,196.7,192.35,194.52,3425892
MMM,2018-05-04,199.36,199.9299,194.0621,195.07,3071746
MMM,2018-05-07,200.26,201.0,199.58,200.06,2863388
MMM,2018-05-08,201.74,202.11,199.56,200.0,3273549
MMM,2018-05-09,203.42,204.73,201.37,202.03,3361255
MMM,2018-05-10,205.03,205.68,202.391,202.61,2700843
MMM,2018-05-11,205.16,205.37,203.66,204.74,3155722
MMM,2018-05-14,205.76,206.04,204.67,205.67,3385944
MMM,2018-05-15,202.41,205.57,201.64,204.96,2259183
MMM,2018-05-16,200.21,201.04,199.05,200.52,2913530
MMM,2018-05-17,200.36,201.4,198.69,199.27,2265781
MMM,2018-05-18,198.96,200.76,198.45,200.28,2925657
MMM,2018-05-21,201.76,202.9273,200.0,200.5,2126485
MMM,2018-05-22,198.97,202.11,198.73,201.96,2313924
MMM,2018-05-23,198.67,198.8,196.56,197.74,2737706
MMM,2018-05-24,199.41,200.18,196.931,198.83,2023788
MMM,2018-05-25,199.03,199.41,197.93,198.33,1686498
MMM,2018-05-28,199.03,199.03,199.03,199.03,0
MMM,2018-05-29,195.74,198.51,195.1,198.0,2346792
MMM,2018-05-30,198.68,199.38,196.7,197.09,2095400
MMM,2018-05-31,197.23,198.45,196.26,198.11,5091876
MMM,2018-06-01,199.59,200.42,198.28,198.75,1827016
MMM,2018-06-04,201.06,201.69,200.07,200.73,2408362
MMM,2018-06-05,201.2,202.1,200.89,201.08,2246119
MMM,2018-06-06,203.86,204.05,201.5528,201.84,2297660
MMM,2018-06-07,205.07,205.89,203.76,204.18,2279213
MMM,2018-06-08,206.59,206.75,204.41,204.98,2170219
MMM,2018-06-11,205.12,206.79,205.0,206.59,2302892
MMM,2018-06-12,204.92,205.95,203.95,205.67,1806066
MMM,2018-06-13,204.89,205.66,203.73,205.14,2097873
MMM,2018-06-14,203.63,206.2715,203.5,205.76,2221453
MMM,2018-06-15,204.97,205.06,200.11,202.55,5449476
MMM,2018-06-18,204.17,204.57,200.25,202.53,2842825
MMM,2018-06-19,199.39,201.83,198.33,201.26,3206804
MMM,2018-06-20,198.08,200.0,197.26,199.34,2348279
MMM,2018-06-21,195.52,197.84,194.59,197.84,2420380
MMM,2018-06-22,196.5,197.44,195.18,197.39,2838172
