Symbol,Date,Close,High,Low,Open,Volume
MO,2018-01-01,71.41,71.41,71.41,71.41,0
MO,2018-01-02,70.74,71.815,70.03,71.51,5917306
MO,2018-01-03,70.48,70.95,70.27,70.66,6036367
MO,2018-01-04,70.2,70.8,70.13,70.6,6177287
MO,2018-01-05,70.4,70.55,69.86,70.33,6383427
MO,2018-01-08,70.31,70.54,69.82,70.2,6054754
MO,2018-01-09,69.57,70.77,69.4,70.59,6269263
MO,2018-01-10,70.29,70.42,68.87,69.82,6709867
MO,2018-01-11,70.29,71.035,70.03,70.31,7486305
MO,2018-01-12,69.61,70.46,69.53,70.21,7413573
MO,2018-01-15,69.61,69.61,69.61,69.61,0
MO,2018-01-16,68.92,69.9216,68.24,69.84,10521014
MO,2018-01-17,70.15,70.516,68.98,69.12,7724451
MO,2018-01-18,70.03,70.4161,69.57,69.99,8605047
MO,2018-01-19,71.12,71.68,70.63,70.84,8714038
MO,2018-01-22,71.28,71.57,70.9,71.1,4987787
MO,2018-01-23,71.45,71.6101,70.94,71.36,4596396
MO,2018-01-24,71.56,71.86,71.2,71.47,6121821
MO,2018-01-25,69.91,71.69,67.65,71.51,12691810
MO,2018-01-26,71.02,71.24,69.99,70.04,6819052
MO,2018-01-29,69.83,70.82,69.8,70.68,5387908
MO,2018-01-30,69.82,70.21,69.32,69.82,6365224
MO,2018-01-31,70.34,70.65,69.7807,69.87,9800329
MO,2018-02-01,69.93,70.49,68.46,69.9,14240388
MO,2018-02-02,69.4,70.66,69.16,69.9,8652367
MO,2018-02-05,66.04,68.87,65.88,68.44,12619849
MO,2018-02-06,66.53,66.67,63.46,64.79,16146442
MO,2018-02-07,66.79,68.21,66.27,66.45,8352935
MO,2018-02-08,64.05,67.27,64.0,66.66,13457417
MO,2018-02-09,64.03,64.68,62.83,64.53,10713089
MO,2018-02-12,65.35,65.8,64.34,64.47,6739922
MO,2018-02-13,65.64,65.82,64.73,65.0,5226332
MO,2018-02-14,65.18,65.86,64.92,65.38,5532502
MO,2018-02-15,65.32,65.48,64.6,65.35,5366474
MO,2018-02-16,65.46,66.05,64.85,65.35,6202705
MO,2018-02-19,65.46,65.46,65.46,65.46,0
MO,2018-02-20,64.19,65.18,64.18,65.1,6293999
MO,2018-02-21,63.93,64.72,63.8,64.19,7077257
